Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michael Penman,Jamie Schmale,Alyea Teel,Nell Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 1","Oxtongue Lake",0,31,4,29,0,64,210
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 2","Sherborne",2,79,5,61,0,147,362
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 3","Kennisis Lake",2,58,4,50,0,114,291
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 4","West Guilford",2,111,7,83,0,203,420
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 5","West Guilford",6,126,8,85,0,225,398
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 6","Harcourt",2,54,3,33,0,92,237
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 7","Highland Grove",3,95,8,57,1,164,413
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 8","Harburn",1,61,0,47,0,109,224
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 9","Eagle Lake",4,67,6,88,1,166,361
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 10","Harburn",8,64,1,51,1,125,342
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 11","Dysart et al",4,48,6,50,1,109,384
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 12","Dysart et al",1,56,5,44,1,107,327
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 13","Haliburton",4,67,4,45,2,122,360
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 14","Haliburton",3,37,6,71,0,117,409
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 15","Dysart et al",2,81,6,38,0,127,409
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 16","Haliburton",2,53,4,32,0,91,415
