Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Vicky Bayford,Michael Fark,Dale Heath,Avni Soma,William Stevenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48037,"Yellowhead/Yellowhead"," 1","Grande Cache",3,25,1,8,113,0,150,380
48037,"Yellowhead/Yellowhead"," 2","Grande Cache",5,48,2,7,175,3,240,416
48037,"Yellowhead/Yellowhead"," 3","Greenview No. 16",Combined with No./Résultats combinés à ceux du n°2,,,,,,,308
48037,"Yellowhead/Yellowhead"," 4","Greenview No. 16",6,16,0,5,82,0,109,310
48037,"Yellowhead/Yellowhead"," 5","Greenview No. 16",Combined with No./Résultats combinés à ceux du n°8,,,,,,,253
48037,"Yellowhead/Yellowhead"," 6","Greenview No. 16",2,22,1,4,119,2,150,444
48037,"Yellowhead/Yellowhead"," 7A","Grande Cache",2,23,1,2,74,0,102,345
48037,"Yellowhead/Yellowhead"," 7B","Grande Cache",0,7,0,2,8,1,18,19
48037,"Yellowhead/Yellowhead"," 8","Grande Cache",3,22,0,4,148,0,177,352
48037,"Yellowhead/Yellowhead"," 9","Cadomin--Swan Landing",4,46,1,12,203,1,267,640
48037,"Yellowhead/Yellowhead"," 10","Hinton",4,26,4,7,135,3,179,544
48037,"Yellowhead/Yellowhead"," 11","Hinton",1,26,2,8,85,0,122,381
48037,"Yellowhead/Yellowhead"," 12","Hinton",1,18,1,10,128,1,159,477
48037,"Yellowhead/Yellowhead"," 13","Hinton",3,15,0,7,97,0,122,387
48037,"Yellowhead/Yellowhead"," 14","Yellowhead County",1,22,1,4,109,4,141,432
48037,"Yellowhead/Yellowhead"," 15","Hinton",0,31,1,14,94,2,142,500
48037,"Yellowhead/Yellowhead"," 16","Hinton",5,16,0,9,103,2,135,398
48037,"Yellowhead/Yellowhead"," 17","Hinton",4,27,0,5,101,0,137,394
48037,"Yellowhead/Yellowhead"," 18","Hinton",2,18,0,9,62,0,91,315
48037,"Yellowhead/Yellowhead"," 19","Hinton",0,20,0,6,120,1,147,349
48037,"Yellowhead/Yellowhead"," 20","Hinton",1,32,0,5,104,3,145,404
48037,"Yellowhead/Yellowhead"," 21","Hinton",3,10,1,6,109,0,129,455
48037,"Yellowhead/Yellowhead"," 22","Hinton",1,40,0,8,90,0,139,468
48037,"Yellowhead/Yellowhead"," 23","Hinton",5,40,1,10,114,3,173,406
48037,"Yellowhead/Yellowhead"," 24","Hinton",0,29,0,11,109,0,149,332
48037,"Yellowhead/Yellowhead"," 25","Hinton",2,53,2,16,108,3,184,566
48037,"Yellowhead/Yellowhead"," 26","Hinton",1,35,3,9,108,0,156,378
48037,"Yellowhead/Yellowhead"," 27","Hinton",2,18,3,9,141,0,173,446
48037,"Yellowhead/Yellowhead"," 28","Yellowhead County",Combined with No./Résultats combinés à ceux du n°30,,,,,,,310
48037,"Yellowhead/Yellowhead"," 29","Yellowhead County",3,14,0,3,203,0,223,321
48037,"Yellowhead/Yellowhead"," 30","Marlboro",6,24,0,7,186,0,223,365
48037,"Yellowhead/Yellowhead"," 31","Yellowhead County",Combined with No./Résultats combinés à ceux du n°29,,,,,,,223
48037,"Yellowhead/Yellowhead"," 32","Yellowhead County",Combined with No./Résultats combinés à ceux du n°39,,,,,,,264
48037,"Yellowhead/Yellowhead"," 33","Yellowhead County",3,9,1,1,98,0,112,317
48037,"Yellowhead/Yellowhead"," 34","Edson",Combined with No./Résultats combinés à ceux du n°42,,,,,,,316
48037,"Yellowhead/Yellowhead"," 35","Yates",3,21,0,6,177,0,207,319
48037,"Yellowhead/Yellowhead"," 36","Edson",1,13,0,5,76,1,96,361
48037,"Yellowhead/Yellowhead"," 37","Edson",6,13,1,7,123,1,151,383
48037,"Yellowhead/Yellowhead"," 38","Edson",0,10,1,3,100,0,114,371
48037,"Yellowhead/Yellowhead"," 39","Edson",2,40,1,9,183,1,236,346
48037,"Yellowhead/Yellowhead"," 40","Edson",0,21,0,7,146,0,174,484
48037,"Yellowhead/Yellowhead"," 41","Edson",2,19,0,6,94,0,121,362
48037,"Yellowhead/Yellowhead"," 42","Edson",2,32,1,2,151,3,191,388
48037,"Yellowhead/Yellowhead"," 43","Edson",3,16,1,2,106,1,129,371
48037,"Yellowhead/Yellowhead"," 44","Edson",2,20,0,8,132,1,163,483
48037,"Yellowhead/Yellowhead"," 45","Edson",Combined with No./Résultats combinés à ceux du n°48,,,,,,,188
48037,"Yellowhead/Yellowhead"," 46","Edson",Combined with No./Résultats combinés à ceux du n°35,,,,,,,300
48037,"Yellowhead/Yellowhead"," 47","Edson",1,21,1,6,124,0,153,404
48037,"Yellowhead/Yellowhead"," 48","Edson",1,24,3,4,106,0,138,268
48037,"Yellowhead/Yellowhead"," 49","Edson",1,7,0,1,54,0,63,269
48037,"Yellowhead/Yellowhead"," 50","Edson",2,17,0,2,91,0,112,353
48037,"Yellowhead/Yellowhead"," 51","Edson",3,18,2,7,91,0,121,365
48037,"Yellowhead/Yellowhead"," 52","Bickerdike",1,1,0,3,78,1,84,305
