Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Royden Brousseau,Ben Carr,Jaclyn Cummings,Tait Palsson,Chris Petriew,Jorge Requena Ramos,Cam Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 147","Winnipeg",107,90,0,0,1,4,1,0,203,396
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 148","Winnipeg",101,62,1,1,0,0,0,0,165,360
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 149","Winnipeg",84,120,3,0,0,6,1,0,214,480
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 150","Winnipeg",57,114,2,1,3,6,0,0,183,480
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 151","Winnipeg",106,118,3,1,1,2,0,4,235,549
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 152","Winnipeg",131,135,0,1,0,11,0,0,278,576
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 153","Winnipeg",104,117,2,0,0,8,0,0,231,563
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 154","Winnipeg",97,142,0,0,2,4,0,0,245,558
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 155","Winnipeg",20,44,0,0,0,3,0,0,67,181
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 156","Winnipeg",66,76,0,0,0,3,0,0,145,359
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 157","Winnipeg",95,99,0,1,2,4,0,0,201,437
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 158","Winnipeg",99,121,0,0,1,4,0,0,225,461
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 159","Winnipeg",96,134,0,0,2,14,0,0,246,520
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 160","Winnipeg",82,93,0,0,2,1,0,2,180,400
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 161","Winnipeg",58,100,0,0,0,2,0,1,161,426
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 400","Winnipeg",Combined with No./Résultats combinés à ceux du n°7,,,,,,,,,282
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 401","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,109
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 402","Winnipeg",Combined with No./Résultats combinés à ceux du n°145,,,,,,,,,144
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 500","Mobile poll/Bureau itinérant",28,92,2,2,3,26,1,4,158,135
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,29
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 502","Mobile poll/Bureau itinérant",26,39,3,1,0,14,1,1,85,117
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,43
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 504","Mobile poll/Bureau itinérant",20,50,5,1,0,14,1,3,94,152
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 505","Winnipeg",Combined with No./Résultats combinés à ceux du n°96,,,,,,,,,71
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 506","Mobile poll/Bureau itinérant",42,71,6,0,2,18,0,4,143,135
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 507","Winnipeg",Combined with No./Résultats combinés à ceux du n°101,,,,,,,,,55
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 508","Mobile poll/Bureau itinérant",49,147,2,0,2,10,0,2,212,142
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 509","Winnipeg",Combined with No./Résultats combinés à ceux du n°99,,,,,,,,,134
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 510","Winnipeg",Combined with No./Résultats combinés à ceux du n°108,,,,,,,,,46
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 511","Winnipeg",48,135,1,1,0,5,0,6,196,139
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,,103
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°138B,,,,,,,,,95
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,39
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,,135
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,74
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 600","Winnipeg",322,960,5,3,8,56,1,2,1357,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 601","Winnipeg",238,1025,2,1,5,50,1,1,1323,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 602","Winnipeg",347,1547,3,0,23,147,17,7,2091,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 603","Winnipeg",223,826,3,3,14,99,22,3,1193,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 604","Winnipeg",174,879,7,0,13,123,5,5,1206,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 605","Winnipeg",236,1173,4,1,7,151,18,2,1592,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 606","Winnipeg",310,987,2,2,9,77,5,2,1394,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 607","Winnipeg",357,949,11,2,10,93,6,6,1434,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 608","Winnipeg",446,1458,9,2,9,63,5,4,1996,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 609","Winnipeg",246,661,6,0,6,41,3,2,965,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 610","Winnipeg",642,1282,7,2,2,33,5,1,1974,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 611","Winnipeg",665,1320,4,1,6,33,2,10,2041,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 612","Winnipeg",447,835,7,1,11,73,4,5,1383,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 613","Winnipeg",368,583,2,2,4,25,1,0,985,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 614","Winnipeg",321,579,5,0,1,23,1,0,930,
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud",,Group 1/Groupe 1, 401,1013,4,2,15,80,7,71,1593,546
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud",,Group 2/Groupe 2, 433,1277,7,5,12,78,5,57,1874,
