Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patrick Bonin,Charles Champagne,Nathalie Gagnon,Benoit Lanoue,Ednal Marc,Pierre Richard Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Repentigny/Repentigny"," 1","L'Assomption",79,45,7,1,0,32,6,170,423
24060,"Repentigny/Repentigny"," 2","L'Assomption",85,51,3,1,1,42,8,191,428
24060,"Repentigny/Repentigny"," 3","L'Assomption",77,15,3,1,0,59,1,156,343
24060,"Repentigny/Repentigny"," 4","L'Assomption",107,59,19,3,4,67,0,259,494
24060,"Repentigny/Repentigny"," 5","L'Assomption",102,32,5,0,0,70,3,212,445
24060,"Repentigny/Repentigny"," 6","L'Assomption",89,62,10,0,0,79,4,244,486
24060,"Repentigny/Repentigny"," 7","L'Assomption",64,31,4,1,0,55,1,156,416
24060,"Repentigny/Repentigny"," 8","L'Assomption",83,55,6,1,1,75,6,227,514
24060,"Repentigny/Repentigny"," 9","L'Assomption",93,44,4,3,0,70,10,224,465
24060,"Repentigny/Repentigny"," 10","L'Assomption",75,23,5,0,2,44,3,152,404
24060,"Repentigny/Repentigny"," 11","L'Assomption",106,44,8,1,5,87,3,254,476
24060,"Repentigny/Repentigny"," 12","L'Assomption",61,24,2,3,0,75,1,166,357
24060,"Repentigny/Repentigny"," 13","L'Assomption",67,24,4,0,1,63,2,161,336
24060,"Repentigny/Repentigny"," 14","L'Assomption",58,23,0,0,0,33,0,114,376
24060,"Repentigny/Repentigny"," 15","L'Assomption",88,38,3,0,1,59,3,192,449
24060,"Repentigny/Repentigny"," 16","L'Assomption",107,26,2,2,0,62,0,199,483
24060,"Repentigny/Repentigny"," 17","L'Assomption",119,47,5,3,1,103,1,279,569
24060,"Repentigny/Repentigny"," 18","L'Assomption",32,18,4,0,0,24,2,80,322
24060,"Repentigny/Repentigny"," 19","L'Assomption",57,25,2,1,1,75,1,162,329
24060,"Repentigny/Repentigny"," 20","L'Assomption",100,38,5,0,0,73,7,223,435
24060,"Repentigny/Repentigny"," 21","L'Assomption",84,33,3,3,1,53,6,183,339
24060,"Repentigny/Repentigny"," 22","L'Assomption",99,43,3,1,0,62,3,211,379
24060,"Repentigny/Repentigny"," 23","L'Assomption",93,48,6,0,3,63,5,218,395
24060,"Repentigny/Repentigny"," 24","L'Assomption",68,21,8,1,0,27,4,129,428
24060,"Repentigny/Repentigny"," 25","L'Assomption",84,24,5,1,0,47,5,166,427
24060,"Repentigny/Repentigny"," 26","L'Assomption",68,22,1,2,1,39,1,134,419
24060,"Repentigny/Repentigny"," 27","L'Assomption",102,24,8,5,0,46,4,189,500
24060,"Repentigny/Repentigny"," 28","L'Assomption",85,43,16,5,0,72,4,225,509
24060,"Repentigny/Repentigny"," 29","L'Assomption",73,18,12,6,0,44,4,157,498
24060,"Repentigny/Repentigny"," 30","L'Assomption",73,21,6,1,1,28,3,133,339
24060,"Repentigny/Repentigny"," 31","L'Assomption",74,26,4,0,3,39,0,146,370
24060,"Repentigny/Repentigny"," 32","L'Assomption",91,40,11,0,0,56,5,203,410
24060,"Repentigny/Repentigny"," 33","L'Assomption",86,39,5,0,0,36,2,168,428
24060,"Repentigny/Repentigny"," 34","L'Assomption",118,54,5,1,1,48,7,234,531
24060,"Repentigny/Repentigny"," 35","L'Assomption",84,29,5,2,0,40,1,161,440
24060,"Repentigny/Repentigny"," 36","Repentigny",58,44,2,0,1,87,1,193,364
24060,"Repentigny/Repentigny"," 37","Repentigny",78,29,8,3,0,86,3,207,477
