Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tamara Jansen,Kyle Latchford,Jim McMurtry,Vanessa Sharma,Kevin Daniel Wilkie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 1","Surrey",58,36,1,10,0,1,106,402
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 2","Surrey",38,46,2,4,0,0,90,407
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 3","Surrey",37,47,1,3,0,0,88,389
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 4","Surrey",49,54,1,8,0,0,112,503
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 5","Surrey",48,58,0,3,2,0,111,421
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 6","Surrey",41,37,0,2,0,1,81,359
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 7","Surrey",37,47,0,8,3,1,96,421
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 8","Surrey",82,77,1,6,3,0,169,663
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 9","Surrey",62,81,0,8,1,1,153,545
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 10","Surrey",81,63,0,11,1,2,158,601
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 11","Surrey",44,81,0,4,0,0,129,364
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 12","Surrey",91,116,0,9,0,1,217,707
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 13","Surrey",92,98,0,18,2,2,212,780
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 14","Surrey",71,102,1,10,1,1,186,609
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 15","Surrey",98,102,0,10,0,1,211,645
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 16","Surrey",85,87,0,5,1,2,180,692
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 17","Surrey",71,76,2,14,1,3,167,625
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 18","Surrey",74,73,0,9,1,0,157,603
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 19","Surrey",66,39,2,0,2,1,110,401
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 20","Surrey",50,66,0,5,0,2,123,523
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 21","Surrey",80,53,0,8,2,1,144,523
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 22","Surrey",120,119,1,4,4,0,248,907
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 23","Surrey",103,69,0,2,4,1,179,535
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 24","Surrey",76,109,2,8,2,0,197,707
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 25","Surrey",73,55,1,4,0,1,134,561
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 26","Surrey",71,58,0,10,1,0,140,438
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 27","Surrey",72,49,2,7,2,1,133,405
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 28","Surrey",85,65,0,0,3,1,154,542
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 29","Surrey",63,44,1,5,1,1,115,418
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 30","Surrey",88,64,0,6,1,1,160,346
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 31","Surrey",Combined with No./Résultats combinés à ceux du n°30,,,,,,,366
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 32","Surrey",55,37,1,1,2,0,96,528
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 33","Surrey",58,53,0,4,1,1,117,642
