Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Anil Boodhai,Taran Chahal,Harsimran Kaur Hundal,Taha Nazir,Ray Shaver,Amandeep Sodhi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35009,"Brampton Centre/Brampton-Centre"," 1","Brampton",2,72,0,0,0,77,0,151,441
35009,"Brampton Centre/Brampton-Centre"," 2","Brampton",3,72,0,0,0,64,1,140,415
35009,"Brampton Centre/Brampton-Centre"," 3","Brampton",3,81,1,0,3,83,0,171,493
35009,"Brampton Centre/Brampton-Centre"," 4","Brampton",5,64,1,0,0,72,2,144,423
35009,"Brampton Centre/Brampton-Centre"," 5","Brampton",2,116,1,1,2,71,1,194,425
35009,"Brampton Centre/Brampton-Centre"," 6","Brampton",6,70,0,3,1,66,1,147,407
35009,"Brampton Centre/Brampton-Centre"," 7","Brampton",7,70,2,0,1,79,0,159,394
35009,"Brampton Centre/Brampton-Centre"," 8","Brampton",2,110,2,5,2,81,1,203,446
35009,"Brampton Centre/Brampton-Centre"," 9","Brampton",1,101,1,0,0,66,4,173,380
35009,"Brampton Centre/Brampton-Centre"," 10","Brampton",1,94,1,0,1,62,0,159,424
35009,"Brampton Centre/Brampton-Centre"," 11","Brampton",5,81,0,0,1,95,1,183,439
35009,"Brampton Centre/Brampton-Centre"," 12","Brampton",3,68,1,0,2,54,0,128,313
35009,"Brampton Centre/Brampton-Centre"," 13","Brampton",3,93,1,0,2,80,0,179,360
35009,"Brampton Centre/Brampton-Centre"," 14","Brampton",5,74,0,0,0,71,2,152,360
35009,"Brampton Centre/Brampton-Centre"," 15","Brampton",4,45,2,1,0,50,2,104,298
35009,"Brampton Centre/Brampton-Centre"," 16","Brampton",1,47,1,1,0,42,5,97,286
35009,"Brampton Centre/Brampton-Centre"," 17","Brampton",0,75,1,1,0,75,0,152,456
35009,"Brampton Centre/Brampton-Centre"," 18","Brampton",3,62,4,1,3,58,1,132,463
35009,"Brampton Centre/Brampton-Centre"," 19","Brampton",5,58,1,0,1,71,2,138,337
35009,"Brampton Centre/Brampton-Centre"," 20","Brampton",4,47,2,0,2,42,1,98,313
35009,"Brampton Centre/Brampton-Centre"," 21","Brampton",5,58,1,1,0,53,0,118,336
35009,"Brampton Centre/Brampton-Centre"," 22","Brampton",2,37,1,0,0,34,0,74,216
35009,"Brampton Centre/Brampton-Centre"," 23","Brampton",8,49,1,1,3,66,3,131,412
35009,"Brampton Centre/Brampton-Centre"," 24","Brampton",3,68,1,0,1,38,0,111,360
35009,"Brampton Centre/Brampton-Centre"," 25","Brampton",2,43,2,0,1,60,0,108,326
35009,"Brampton Centre/Brampton-Centre"," 26","Brampton",10,104,1,0,5,60,1,181,471
35009,"Brampton Centre/Brampton-Centre"," 27","Brampton",1,52,0,0,2,29,0,84,279
35009,"Brampton Centre/Brampton-Centre"," 28","Brampton",5,65,0,0,7,58,4,139,352
35009,"Brampton Centre/Brampton-Centre"," 29","Brampton",2,93,1,0,1,78,0,175,525
35009,"Brampton Centre/Brampton-Centre"," 30","Brampton",6,71,1,1,2,61,0,142,499
35009,"Brampton Centre/Brampton-Centre"," 31","Brampton",3,66,0,0,3,45,2,119,373
35009,"Brampton Centre/Brampton-Centre"," 32","Brampton",9,97,0,0,2,39,1,148,389
35009,"Brampton Centre/Brampton-Centre"," 33","Brampton",4,67,0,0,2,42,4,119,275
35009,"Brampton Centre/Brampton-Centre"," 34","Brampton",3,69,0,0,3,53,1,129,293
35009,"Brampton Centre/Brampton-Centre"," 35","Brampton",5,73,1,0,6,80,0,165,399
35009,"Brampton Centre/Brampton-Centre"," 36","Brampton",7,72,2,1,4,75,1,162,368
35009,"Brampton Centre/Brampton-Centre"," 37","Brampton",4,73,0,0,2,62,0,141,329
35009,"Brampton Centre/Brampton-Centre"," 38","Brampton",4,63,2,0,2,66,2,139,371
35009,"Brampton Centre/Brampton-Centre"," 39","Brampton",12,109,5,0,2,101,0,229,633
35009,"Brampton Centre/Brampton-Centre"," 40","Brampton",5,72,0,0,3,68,0,148,367
35009,"Brampton Centre/Brampton-Centre"," 41","Brampton",2,66,0,0,0,49,0,117,341
35009,"Brampton Centre/Brampton-Centre"," 42","Brampton",3,93,2,1,4,75,1,179,471
35009,"Brampton Centre/Brampton-Centre"," 43","Brampton",6,92,1,0,4,79,0,182,465
35009,"Brampton Centre/Brampton-Centre"," 44","Brampton",3,61,0,0,0,68,0,132,317
35009,"Brampton Centre/Brampton-Centre"," 45","Brampton",1,61,0,2,0,45,1,110,368
35009,"Brampton Centre/Brampton-Centre"," 46","Brampton",3,121,3,1,6,125,0,259,507
35009,"Brampton Centre/Brampton-Centre"," 47","Brampton",4,68,2,3,2,88,1,168,315
35009,"Brampton Centre/Brampton-Centre"," 48","Brampton",2,42,2,0,2,43,0,91,243
35009,"Brampton Centre/Brampton-Centre"," 49","Brampton",10,111,1,0,2,123,3,250,470
35009,"Brampton Centre/Brampton-Centre"," 50","Brampton",5,76,0,0,3,54,3,141,348
35009,"Brampton Centre/Brampton-Centre"," 51","Brampton",7,84,0,2,4,144,3,244,491
35009,"Brampton Centre/Brampton-Centre"," 52","Brampton",1,90,1,2,1,78,1,174,429
35009,"Brampton Centre/Brampton-Centre"," 53A","Brampton",6,71,0,1,2,78,2,160,456
35009,"Brampton Centre/Brampton-Centre"," 53B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,11
35009,"Brampton Centre/Brampton-Centre"," 54","Brampton",3,50,1,0,0,72,0,126,377
35009,"Brampton Centre/Brampton-Centre"," 55","Brampton",4,80,0,0,4,61,0,149,392
35009,"Brampton Centre/Brampton-Centre"," 56","Brampton",1,94,2,0,5,73,0,175,444
35009,"Brampton Centre/Brampton-Centre"," 57","Brampton",6,49,0,0,0,65,0,120,504
35009,"Brampton Centre/Brampton-Centre"," 58","Brampton",5,90,3,0,2,58,8,166,459
35009,"Brampton Centre/Brampton-Centre"," 59","Brampton",2,72,1,1,0,62,1,139,474
35009,"Brampton Centre/Brampton-Centre"," 60","Brampton",7,65,6,1,1,63,0,143,364
35009,"Brampton Centre/Brampton-Centre"," 61","Brampton",1,55,3,0,0,49,1,109,309
35009,"Brampton Centre/Brampton-Centre"," 62","Brampton",5,74,2,2,1,69,0,153,391
35009,"Brampton Centre/Brampton-Centre"," 63","Brampton",3,87,0,0,2,77,5,174,475
35009,"Brampton Centre/Brampton-Centre"," 64","Brampton",14,67,1,0,0,65,1,148,433
35009,"Brampton Centre/Brampton-Centre"," 65","Brampton",7,84,1,1,1,69,0,163,471
35009,"Brampton Centre/Brampton-Centre"," 66","Brampton",6,75,0,0,1,62,0,144,401
35009,"Brampton Centre/Brampton-Centre"," 67","Brampton",5,69,1,0,0,56,1,132,477
35009,"Brampton Centre/Brampton-Centre"," 68","Brampton",6,70,1,0,6,79,3,165,433
35009,"Brampton Centre/Brampton-Centre"," 69","Brampton",16,91,3,0,5,115,3,233,777
35009,"Brampton Centre/Brampton-Centre"," 70","Brampton",1,65,2,0,0,51,1,120,384
35009,"Brampton Centre/Brampton-Centre"," 71","Brampton",4,33,1,0,2,70,1,111,176
35009,"Brampton Centre/Brampton-Centre"," 72","Brampton",2,20,1,1,0,30,0,54,266
35009,"Brampton Centre/Brampton-Centre"," 73","Brampton",2,99,3,1,4,58,0,167,410
35009,"Brampton Centre/Brampton-Centre"," 74","Brampton",8,54,0,2,2,76,1,143,457
35009,"Brampton Centre/Brampton-Centre"," 75","Brampton",4,98,1,1,5,88,0,197,416
35009,"Brampton Centre/Brampton-Centre"," 76","Brampton",5,95,0,1,6,91,1,199,373
