Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Grace Daou,Annie Koutrakis,Cindy Mercer,Alicia Parenteau-Malakhanian,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24078,"Vimy/Vimy"," 1","Laval",57,82,23,44,9,215,430
24078,"Vimy/Vimy"," 2","Laval",61,133,8,55,3,260,481
24078,"Vimy/Vimy"," 3","Laval",55,134,9,34,4,236,443
24078,"Vimy/Vimy"," 4","Laval",62,111,7,39,4,223,410
24078,"Vimy/Vimy"," 5","Laval",48,121,9,34,5,217,400
24078,"Vimy/Vimy"," 6","Laval",47,121,8,39,3,218,385
24078,"Vimy/Vimy"," 7","Laval",65,103,5,24,5,202,387
24078,"Vimy/Vimy"," 8","Laval",77,112,10,30,10,239,472
24078,"Vimy/Vimy"," 9","Laval",22,42,6,27,8,105,448
24078,"Vimy/Vimy"," 10","Laval",47,48,6,29,0,130,417
24078,"Vimy/Vimy"," 11","Laval",16,35,7,45,2,105,416
24078,"Vimy/Vimy"," 12","Laval",41,52,5,27,3,128,390
24078,"Vimy/Vimy"," 13","Laval",51,103,10,37,5,206,564
24078,"Vimy/Vimy"," 14","Laval",62,110,10,32,0,214,601
24078,"Vimy/Vimy"," 15","Laval",25,57,5,13,3,103,343
24078,"Vimy/Vimy"," 16","Laval",23,45,8,31,2,109,361
24078,"Vimy/Vimy"," 17","Laval",42,60,12,27,2,143,399
24078,"Vimy/Vimy"," 18","Laval",35,73,6,43,7,164,485
24078,"Vimy/Vimy"," 19","Laval",13,50,1,13,1,78,336
24078,"Vimy/Vimy"," 20","Laval",21,46,9,27,1,104,342
24078,"Vimy/Vimy"," 21","Laval",24,46,8,12,4,94,370
24078,"Vimy/Vimy"," 22","Laval",24,57,7,27,2,117,381
24078,"Vimy/Vimy"," 23","Laval",22,37,2,22,2,85,396
24078,"Vimy/Vimy"," 24","Laval",36,72,6,11,1,126,407
24078,"Vimy/Vimy"," 25","Laval",45,57,4,15,1,122,404
24078,"Vimy/Vimy"," 26","Laval",31,74,18,33,2,158,376
24078,"Vimy/Vimy"," 27","Laval",25,59,13,18,0,115,399
24078,"Vimy/Vimy"," 28","Laval",40,65,16,30,5,156,379
24078,"Vimy/Vimy"," 29","Laval",16,67,9,24,2,118,351
