Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Keira Gunn,Corey Hogan,Kevan Hunter,Jeffrey Reid Marsh,Jeremy Nixon,Artyom Ovsepyan,Richard Willott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary Confederation/Calgary Confederation"," 1","Calgary",Combined with No./Résultats combinés à ceux du n°2,,,,,,,,,3
48005,"Calgary Confederation/Calgary Confederation"," 2","Calgary",21,159,0,2,273,4,6,0,465,1139
48005,"Calgary Confederation/Calgary Confederation"," 3","Calgary",3,36,1,0,57,1,1,2,101,345
48005,"Calgary Confederation/Calgary Confederation"," 4","Calgary",2,49,0,0,77,0,0,0,128,434
48005,"Calgary Confederation/Calgary Confederation"," 5","Calgary",6,66,0,0,91,0,0,0,163,344
48005,"Calgary Confederation/Calgary Confederation"," 6","Calgary",3,42,1,0,57,0,0,0,103,364
48005,"Calgary Confederation/Calgary Confederation"," 7","Calgary",5,66,2,0,57,0,0,0,130,404
48005,"Calgary Confederation/Calgary Confederation"," 8","Calgary",4,68,2,0,68,0,0,0,142,359
48005,"Calgary Confederation/Calgary Confederation"," 9","Calgary",8,46,1,1,81,0,0,0,137,447
48005,"Calgary Confederation/Calgary Confederation"," 10","Calgary",7,65,1,0,73,0,2,0,148,382
48005,"Calgary Confederation/Calgary Confederation"," 11","Calgary",11,66,0,2,119,3,1,0,202,513
48005,"Calgary Confederation/Calgary Confederation"," 12","Calgary",8,49,1,0,105,0,3,1,167,403
48005,"Calgary Confederation/Calgary Confederation"," 13","Calgary",16,63,1,0,105,0,0,0,185,453
48005,"Calgary Confederation/Calgary Confederation"," 14","Calgary",3,64,0,0,89,0,1,2,159,479
48005,"Calgary Confederation/Calgary Confederation"," 15","Calgary",17,89,1,0,109,1,0,2,219,514
48005,"Calgary Confederation/Calgary Confederation"," 16","Calgary",18,40,1,2,74,2,2,1,140,424
48005,"Calgary Confederation/Calgary Confederation"," 17","Calgary",5,57,0,1,87,0,2,1,153,437
48005,"Calgary Confederation/Calgary Confederation"," 18","Calgary",11,68,2,0,94,1,3,2,181,428
48005,"Calgary Confederation/Calgary Confederation"," 19","Calgary",5,45,0,0,47,1,0,0,98,352
48005,"Calgary Confederation/Calgary Confederation"," 20","Calgary",5,52,0,1,57,0,3,0,118,415
48005,"Calgary Confederation/Calgary Confederation"," 21","Calgary",6,64,1,0,71,0,0,1,143,437
48005,"Calgary Confederation/Calgary Confederation"," 22","Calgary",3,49,1,0,73,1,1,2,130,410
48005,"Calgary Confederation/Calgary Confederation"," 23","Calgary",3,65,2,0,71,1,0,0,142,426
48005,"Calgary Confederation/Calgary Confederation"," 24","Calgary",12,69,2,2,88,1,0,1,175,499
48005,"Calgary Confederation/Calgary Confederation"," 25","Calgary",3,100,0,0,112,0,0,0,215,567
48005,"Calgary Confederation/Calgary Confederation"," 26","Calgary",6,94,0,1,92,0,1,1,195,458
48005,"Calgary Confederation/Calgary Confederation"," 27","Calgary",8,63,1,0,85,1,3,2,163,438
48005,"Calgary Confederation/Calgary Confederation"," 28","Calgary",9,62,0,1,66,0,1,1,140,444
48005,"Calgary Confederation/Calgary Confederation"," 29","Calgary",9,70,0,1,87,1,3,2,173,442
48005,"Calgary Confederation/Calgary Confederation"," 30","Calgary",14,57,0,0,81,1,2,0,155,399
48005,"Calgary Confederation/Calgary Confederation"," 31","Calgary",8,65,0,2,79,0,0,2,156,395
48005,"Calgary Confederation/Calgary Confederation"," 32","Calgary",9,62,0,0,84,3,2,0,160,380
48005,"Calgary Confederation/Calgary Confederation"," 33","Calgary",12,41,0,0,94,1,2,3,153,368
48005,"Calgary Confederation/Calgary Confederation"," 34","Calgary",7,42,1,1,66,0,4,0,121,439
48005,"Calgary Confederation/Calgary Confederation"," 35","Calgary",11,74,0,3,92,0,1,1,182,414
48005,"Calgary Confederation/Calgary Confederation"," 36","Calgary",16,49,2,1,85,1,2,2,158,472
48005,"Calgary Confederation/Calgary Confederation"," 37","Calgary",16,35,1,0,64,0,4,3,123,407
48005,"Calgary Confederation/Calgary Confederation"," 38","Calgary",4,41,1,2,62,0,1,1,112,444
48005,"Calgary Confederation/Calgary Confederation"," 39","Calgary",15,61,1,2,94,4,1,0,178,533
48005,"Calgary Confederation/Calgary Confederation"," 40","Calgary",5,63,0,2,81,2,0,0,153,400
48005,"Calgary Confederation/Calgary Confederation"," 41","Calgary",3,84,0,0,114,0,2,1,204,475
48005,"Calgary Confederation/Calgary Confederation"," 42","Calgary",5,90,0,0,78,0,1,1,175,396
48005,"Calgary Confederation/Calgary Confederation"," 43","Calgary",9,71,2,2,96,0,4,0,184,456
48005,"Calgary Confederation/Calgary Confederation"," 44","Calgary",6,60,0,1,81,3,4,0,155,362
48005,"Calgary Confederation/Calgary Confederation"," 45","Calgary",6,82,0,0,78,0,0,1,167,403
48005,"Calgary Confederation/Calgary Confederation"," 46","Calgary",6,66,1,0,64,1,1,0,139,450
48005,"Calgary Confederation/Calgary Confederation"," 47","Calgary",2,46,0,0,56,0,2,0,106,429
48005,"Calgary Confederation/Calgary Confederation"," 48","Calgary",6,53,1,0,34,1,0,0,95,490
48005,"Calgary Confederation/Calgary Confederation"," 49","Calgary",1,63,0,0,63,1,0,0,128,490
48005,"Calgary Confederation/Calgary Confederation"," 50","Calgary",1,47,0,1,46,1,0,0,96,440
48005,"Calgary Confederation/Calgary Confederation"," 51","Calgary",6,80,0,0,83,1,2,1,173,520
48005,"Calgary Confederation/Calgary Confederation"," 52","Calgary",10,55,1,0,79,0,1,1,147,427
48005,"Calgary Confederation/Calgary Confederation"," 53","Calgary",11,101,0,1,62,0,0,1,176,694
48005,"Calgary Confederation/Calgary Confederation"," 54","Calgary",11,55,0,1,69,0,0,0,136,423
48005,"Calgary Confederation/Calgary Confederation"," 55","Calgary",9,38,0,0,37,0,0,2,86,431
48005,"Calgary Confederation/Calgary Confederation"," 56","Calgary",2,54,0,0,51,1,1,0,109,324
