Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Susan Doyle,Parm Gill,Walter J. Hofman,Shahbaz Mahmood Khan,Muhammad Riaz Sahi,Kristina Tesser Derksen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 1","Halton Hills",0,79,1,0,3,60,0,143,379
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 2","Halton Hills",2,34,3,0,0,63,0,102,276
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 3A","Halton Hills",0,61,0,0,3,53,1,118,390
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 3B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°25B,,,,,,,,95
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 4","Halton Hills",5,61,1,0,1,60,0,128,322
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 5","Halton Hills",4,81,1,0,2,69,0,157,426
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 6","Halton Hills",3,88,3,0,3,62,0,159,460
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 7A","Halton Hills",2,85,2,0,2,50,0,141,104
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 7B","Halton Hills",Combined with No./Résultats combinés à ceux du n°9B,,,,,,,,99
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 8","Halton Hills",5,111,1,1,2,52,1,173,413
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 9A","Halton Hills",Combined with No./Résultats combinés à ceux du n°7A,,,,,,,,316
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 9B","Halton Hills",1,85,2,0,1,58,0,147,303
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 10","Halton Hills",4,94,1,0,4,80,3,186,434
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 11","Halton Hills",3,78,1,0,4,57,0,143,395
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 12","Halton Hills",1,84,0,0,6,45,0,136,456
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 13","Halton Hills",3,85,3,0,3,48,0,142,351
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 14","Halton Hills",4,74,3,0,3,82,2,168,601
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 15","Halton Hills",4,70,5,0,1,57,2,139,409
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 16","Halton Hills",2,66,1,0,4,58,0,131,383
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 17","Halton Hills",5,94,1,0,0,68,0,168,398
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 18A","Halton Hills",5,74,0,0,3,80,1,163,371
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 18B","Halton Hills",Combined with No./Résultats combinés à ceux du n°32B,,,,,,,,352
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 19","Halton Hills",3,88,1,0,3,92,1,188,508
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 20","Halton Hills",3,111,3,0,6,77,0,200,535
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 21","Halton Hills",9,115,1,0,2,70,1,198,488
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 22","Halton Hills",5,90,3,2,8,60,2,170,482
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 23","Halton Hills",0,84,1,0,0,80,2,167,448
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 24","Halton Hills",6,116,5,0,3,68,0,198,434
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 25A","Halton Hills",8,80,2,1,7,76,0,174,499
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 25B","Mobile poll/Bureau itinérant",1,37,2,0,5,87,12,144,128
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 26","Halton Hills",4,112,1,0,2,47,0,166,377
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 27","Halton Hills",0,88,2,0,5,54,1,150,400
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 28","Halton Hills",1,90,1,0,4,56,0,152,402
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 29","Halton Hills",3,75,1,1,1,76,1,158,387
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 30","Halton Hills",5,117,2,0,4,131,1,260,447
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 31","Halton Hills",2,156,1,0,3,117,1,280,551
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 32A","Halton Hills",Combined with No./Résultats combinés à ceux du n°18A,,,,,,,,135
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 32B","Halton Hills",5,74,0,0,1,50,0,130,120
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 33","Halton Hills",4,71,3,0,1,52,3,134,398
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 34","Halton Hills",9,129,7,0,7,94,1,247,444
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 35","Halton Hills",3,104,2,0,1,54,1,165,381
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 36","Halton Hills",4,99,0,0,2,50,0,155,492
35060,"Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud"," 37","Halton Hills",5,112,0,2,2,81,0,202,492
