Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Leila Dance,Nicolas Geddert,Ian MacIntyre,Colin Reynolds,Collin Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46003,"Elmwood--Transcona/Elmwood--Transcona"," 1","Winnipeg",103,1,65,99,1,1,270,554
46003,"Elmwood--Transcona/Elmwood--Transcona"," 2","Winnipeg",71,2,39,111,1,1,225,578
46003,"Elmwood--Transcona/Elmwood--Transcona"," 3","Winnipeg",98,3,70,82,0,0,253,561
46003,"Elmwood--Transcona/Elmwood--Transcona"," 4","Winnipeg",77,0,32,78,2,1,190,596
46003,"Elmwood--Transcona/Elmwood--Transcona"," 5","Winnipeg",57,2,32,85,4,1,181,550
46003,"Elmwood--Transcona/Elmwood--Transcona"," 6","Winnipeg",64,2,30,96,0,0,192,589
46003,"Elmwood--Transcona/Elmwood--Transcona"," 7","Winnipeg",63,3,34,81,4,0,185,498
46003,"Elmwood--Transcona/Elmwood--Transcona"," 8","Winnipeg",65,0,37,103,0,0,205,489
46003,"Elmwood--Transcona/Elmwood--Transcona"," 9","Winnipeg",65,4,42,73,1,0,185,511
46003,"Elmwood--Transcona/Elmwood--Transcona"," 10","Winnipeg",69,2,56,62,2,0,191,575
46003,"Elmwood--Transcona/Elmwood--Transcona"," 11","Winnipeg",45,2,43,118,1,0,209,602
46003,"Elmwood--Transcona/Elmwood--Transcona"," 12","Winnipeg",74,1,57,74,1,6,213,593
46003,"Elmwood--Transcona/Elmwood--Transcona"," 13","Winnipeg",82,1,55,83,1,0,222,482
46003,"Elmwood--Transcona/Elmwood--Transcona"," 14","Winnipeg",71,0,63,92,6,1,233,486
46003,"Elmwood--Transcona/Elmwood--Transcona"," 15","Winnipeg",68,1,47,79,2,2,199,565
46003,"Elmwood--Transcona/Elmwood--Transcona"," 16","Winnipeg",85,2,42,91,0,0,220,588
46003,"Elmwood--Transcona/Elmwood--Transcona"," 17","Winnipeg",70,0,40,47,0,1,158,514
46003,"Elmwood--Transcona/Elmwood--Transcona"," 18","Winnipeg",41,7,55,116,1,0,220,528
