Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tommy Gagnon,Yanick Lapierre,Louis Plamondon,Michel Plourde,Lara Stillo,Pierre Tousignant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 1","Deschaillons-sur-Saint-Laurent",7,6,106,67,5,63,7,261,434
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 2","Deschaillons-sur-Saint-Laurent",3,3,82,56,0,66,1,211,337
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 3","Parisville",4,2,101,95,5,44,5,256,415
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 4","Fortierville",1,6,60,66,2,34,4,173,260
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 5","Fortierville",0,3,57,48,2,33,1,144,242
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 6","Sainte-Françoise",3,6,74,102,3,59,3,250,392
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 7","Saint-Pierre-les-Becquets",3,4,32,48,1,17,0,105,321
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 8","Saint-Pierre-les-Becquets",12,0,33,52,1,51,1,150,361
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 9","Saint-Pierre-les-Becquets",3,2,44,55,0,11,0,115,268
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 10","Sainte-Cécile-de-Lévrard",4,4,64,65,3,38,5,183,298
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 11","Sainte-Sophie-de-Lévrard",2,2,67,76,3,28,9,187,303
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 12","Sainte-Sophie-de-Lévrard",2,3,46,64,3,20,3,141,308
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 13","Manseau",9,1,71,66,2,35,5,189,322
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 14","Manseau",4,3,80,90,3,29,11,220,363
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 15","Bécancour",3,3,89,35,1,50,2,183,381
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 16","Bécancour",4,3,84,78,1,57,4,231,483
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 17","Bécancour",3,4,77,83,3,50,7,227,439
