Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Matthew Ian Clark,Mike Dawson,Josh Floyd,Lisa Harris,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 1","Tabusintac",9,90,8,102,9,218,460
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 2","Covedell",6,74,9,101,2,192,423
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 3","Fairisle",8,49,4,68,1,130,326
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 3-1","Tabusintac 9",Combined with No./Résultats combinés à ceux du n°3,,,,,,16
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 4","Alnwick",4,49,2,80,4,139,331
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 5","Neguac",4,44,4,77,1,130,340
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 6A","Lower Neguac",6,46,2,71,0,125,328
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 6B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,11
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 7","Neguac",1,44,2,38,1,86,287
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 8","Neguac",5,60,4,67,2,138,392
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 9","Esgenoôpetitj 14",5,5,7,141,0,158,557
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 10","Esgenoôpetitj 14",0,5,1,107,0,113,392
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 11","Saint-Wilfred",3,42,6,56,3,110,207
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 12","Lavillette",4,48,4,77,3,136,299
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 13","Alnwick",5,76,5,93,3,182,289
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 14","Lagacéville",10,56,5,112,0,183,445
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 15","New Jersey",6,78,7,101,1,193,396
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 16","Escuminac",1,74,6,41,4,126,399
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 17","Escuminac",1,60,2,36,1,100,280
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 18","Hardwicke",0,74,4,31,0,109,277
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 19","Manuels",1,57,0,42,0,100,275
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 20","Eel River Bridge",2,46,2,45,0,95,307
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 21","Lower Newcastle",1,102,3,69,2,177,466
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 22","Newcastle",2,46,1,59,1,109,376
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 23","Newcastle",1,60,4,62,0,127,368
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 24","Miramichi",1,74,2,62,0,139,430
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 25","Miramichi",2,78,2,73,3,158,454
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 26","Miramichi",0,32,2,36,0,70,242
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 27","Miramichi",1,73,3,44,1,122,328
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 28","Miramichi",2,57,3,66,1,129,441
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 29","Bay du Vin",4,134,3,85,1,227,399
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 30","Pointe-Sapin",14,131,11,126,4,286,392
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 31A","Bellefond--Beaver Brook Station",5,130,3,86,0,224,392
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 31B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,9
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 32","Chatham",5,111,4,90,3,213,366
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 33","Miramichi",1,88,3,89,0,181,369
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 34","Miramichi",3,82,3,91,2,181,366
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 35","Miramichi",4,92,3,67,5,171,428
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 36","Miramichi",2,70,4,55,0,131,399
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 37","Miramichi",9,63,7,56,3,138,412
