Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Greg Kung,Jennifer Purdy,Moinuddin Siddiqui,Melissa Simon,Jenna Sudds,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"Kanata/Kanata"," 1","Ottawa",41,2,0,1,33,0,77,217
35043,"Kanata/Kanata"," 2A","Ottawa",60,0,0,3,107,0,170,394
35043,"Kanata/Kanata"," 2B","Ottawa",76,0,0,3,100,0,179,416
35043,"Kanata/Kanata"," 3","Ottawa",57,5,0,2,92,1,157,401
35043,"Kanata/Kanata"," 4","Ottawa",75,0,0,4,102,1,182,437
35043,"Kanata/Kanata"," 5","Ottawa",62,2,3,2,139,0,208,476
35043,"Kanata/Kanata"," 6","Ottawa",93,3,3,10,156,4,269,551
35043,"Kanata/Kanata"," 7","Ottawa",44,2,0,3,112,0,161,530
35043,"Kanata/Kanata"," 8","Ottawa",61,5,0,2,81,0,149,367
35043,"Kanata/Kanata"," 9","Ottawa",74,2,2,8,134,0,220,464
35043,"Kanata/Kanata"," 10","Ottawa",80,1,1,2,142,1,227,446
35043,"Kanata/Kanata"," 11","Ottawa",71,5,1,6,109,1,193,626
35043,"Kanata/Kanata"," 12","Ottawa",58,2,2,7,68,1,138,394
35043,"Kanata/Kanata"," 13","Ottawa",76,1,0,0,62,2,141,339
35043,"Kanata/Kanata"," 14","Ottawa",76,4,0,0,66,2,148,318
35043,"Kanata/Kanata"," 15","Ottawa",69,3,0,1,99,1,173,407
35043,"Kanata/Kanata"," 16","Ottawa",34,0,0,3,35,0,72,206
35043,"Kanata/Kanata"," 17","Ottawa",69,1,0,1,127,1,199,428
35043,"Kanata/Kanata"," 18","Ottawa",84,2,0,8,166,0,260,509
35043,"Kanata/Kanata"," 19","Ottawa",66,2,1,5,123,1,198,590
35043,"Kanata/Kanata"," 20","Ottawa",62,1,0,1,98,0,162,567
35043,"Kanata/Kanata"," 21","Ottawa",73,1,0,3,93,2,172,571
35043,"Kanata/Kanata"," 22A","Ottawa",53,3,0,5,82,2,145,447
35043,"Kanata/Kanata"," 22B","Ottawa",36,7,0,6,80,0,129,378
35043,"Kanata/Kanata"," 23","Ottawa",76,3,1,4,147,1,232,526
35043,"Kanata/Kanata"," 24","Ottawa",93,6,1,4,177,0,281,554
35043,"Kanata/Kanata"," 25","Ottawa",69,2,0,4,92,3,170,537
35043,"Kanata/Kanata"," 26","Ottawa",74,0,0,9,143,1,227,529
35043,"Kanata/Kanata"," 27","Ottawa",73,4,3,7,129,1,217,491
35043,"Kanata/Kanata"," 28","Ottawa",71,3,0,7,93,2,176,427
35043,"Kanata/Kanata"," 29","Ottawa",52,2,0,10,102,0,166,462
35043,"Kanata/Kanata"," 30","Ottawa",61,4,0,4,102,0,171,523
35043,"Kanata/Kanata"," 31","Ottawa",71,4,0,4,63,0,142,384
35043,"Kanata/Kanata"," 32","Ottawa",67,1,0,2,89,0,159,462
35043,"Kanata/Kanata"," 33","Ottawa",58,0,1,2,117,1,179,421
35043,"Kanata/Kanata"," 34","Ottawa",66,1,0,3,106,2,178,369
35043,"Kanata/Kanata"," 35","Ottawa",92,4,0,4,139,3,242,545
35043,"Kanata/Kanata"," 36","Ottawa",60,0,0,3,74,1,138,307
35043,"Kanata/Kanata"," 37","Ottawa",69,7,1,15,110,0,202,511
35043,"Kanata/Kanata"," 38","Ottawa",52,3,0,6,103,0,164,496
35043,"Kanata/Kanata"," 39","Ottawa",40,5,0,2,115,0,162,444
35043,"Kanata/Kanata"," 40","Ottawa",64,3,0,7,111,0,185,432
35043,"Kanata/Kanata"," 41","Ottawa",44,2,0,8,90,1,145,388
35043,"Kanata/Kanata"," 42","Ottawa",47,0,1,11,46,3,108,455
35043,"Kanata/Kanata"," 43","Ottawa",67,7,1,9,93,2,179,485
35043,"Kanata/Kanata"," 44","Ottawa",86,2,0,10,92,0,190,447
35043,"Kanata/Kanata"," 45","Ottawa",53,4,0,9,68,2,136,400
35043,"Kanata/Kanata"," 46","Ottawa",29,0,1,3,46,0,79,364
35043,"Kanata/Kanata"," 47","Ottawa",63,6,0,9,90,2,170,480
35043,"Kanata/Kanata"," 48","Ottawa",56,6,1,12,76,1,152,495
35043,"Kanata/Kanata"," 49","Ottawa",43,2,0,13,74,1,133,413
35043,"Kanata/Kanata"," 50","Ottawa",55,2,0,6,83,0,146,345
35043,"Kanata/Kanata"," 51","Ottawa",88,1,0,3,137,0,229,450
35043,"Kanata/Kanata"," 52","Ottawa",125,1,0,7,160,2,295,518
35043,"Kanata/Kanata"," 53","Ottawa",60,10,1,1,196,0,268,480
35043,"Kanata/Kanata"," 54","Ottawa",57,5,2,9,117,1,191,504
35043,"Kanata/Kanata"," 55","Ottawa",83,5,2,4,172,0,266,529
35043,"Kanata/Kanata"," 56","Ottawa",79,2,1,9,114,0,205,517
35043,"Kanata/Kanata"," 57","Ottawa",56,10,0,4,181,0,251,483
35043,"Kanata/Kanata"," 58","Ottawa",51,2,0,1,90,1,145,397
35043,"Kanata/Kanata"," 59","Ottawa",38,1,0,1,71,0,111,321
35043,"Kanata/Kanata"," 60","Ottawa",34,2,1,4,68,0,109,464
35043,"Kanata/Kanata"," 61","Ottawa",46,1,2,2,79,0,130,417
35043,"Kanata/Kanata"," 62","Ottawa",62,4,0,3,114,0,183,433
35043,"Kanata/Kanata"," 63","Ottawa",47,2,0,4,95,0,148,439
35043,"Kanata/Kanata"," 64","Ottawa",69,4,0,3,108,1,185,455
35043,"Kanata/Kanata"," 65","Ottawa",48,4,0,2,70,0,124,371
35043,"Kanata/Kanata"," 66","Ottawa",49,0,0,1,62,0,112,367
35043,"Kanata/Kanata"," 67","Ottawa",44,4,0,3,79,0,130,393
35043,"Kanata/Kanata"," 68","Ottawa",118,3,0,3,116,0,240,624
35043,"Kanata/Kanata"," 69","Ottawa",116,3,0,4,116,2,241,627
35043,"Kanata/Kanata"," 70","Ottawa",54,6,0,6,111,1,178,381
35043,"Kanata/Kanata"," 71","Ottawa",102,2,0,4,112,0,220,576
35043,"Kanata/Kanata"," 72","Ottawa",74,1,1,1,113,1,191,437
35043,"Kanata/Kanata"," 73","Ottawa",67,2,2,4,100,0,175,424
35043,"Kanata/Kanata"," 74","Ottawa",91,3,0,2,142,0,238,608
35043,"Kanata/Kanata"," 75","Ottawa",59,2,1,8,124,2,196,570
35043,"Kanata/Kanata"," 76","Ottawa",74,3,0,2,158,3,240,404
35043,"Kanata/Kanata"," 77","Ottawa",68,2,1,4,155,5,235,373
35043,"Kanata/Kanata"," 78","Ottawa",68,9,0,6,120,2,205,379
35043,"Kanata/Kanata"," 79","Ottawa",61,6,1,5,123,0,196,508
35043,"Kanata/Kanata"," 80","Ottawa",70,3,0,4,111,1,189,461
35043,"Kanata/Kanata"," 81","Ottawa",48,4,0,6,77,0,135,408
35043,"Kanata/Kanata"," 82","Ottawa",37,2,0,3,53,0,95,528
35043,"Kanata/Kanata"," 83","Ottawa",80,1,1,7,103,2,194,582
35043,"Kanata/Kanata"," 84","Ottawa",87,3,1,7,114,2,214,464
35043,"Kanata/Kanata"," 85","Ottawa",40,2,1,0,77,0,120,355
35043,"Kanata/Kanata"," 86","Ottawa",42,2,0,1,67,0,112,348
35043,"Kanata/Kanata"," 87","Ottawa",43,2,0,3,58,1,107,419
35043,"Kanata/Kanata"," 88","Ottawa",59,1,0,2,107,2,171,445
35043,"Kanata/Kanata"," 89","Ottawa",40,1,0,0,90,0,131,440
35043,"Kanata/Kanata"," 90","Ottawa",43,1,1,2,79,0,126,400
35043,"Kanata/Kanata"," 91","Ottawa",59,5,0,5,106,1,176,455
35043,"Kanata/Kanata"," 92","Ottawa",58,4,0,1,86,1,150,274
35043,"Kanata/Kanata"," 93","Ottawa",98,4,0,4,136,0,242,454
35043,"Kanata/Kanata"," 94","Ottawa",81,3,0,2,45,1,132,267
35043,"Kanata/Kanata"," 95A","Ottawa",37,3,0,3,66,0,109,293
35043,"Kanata/Kanata"," 95B","Ottawa",53,1,0,3,53,1,111,318
35043,"Kanata/Kanata"," 96","Ottawa",106,2,0,13,132,0,253,586
35043,"Kanata/Kanata"," 97","Ottawa",79,5,0,14,111,1,210,473
