Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jim Boutsikakis,Chad Collins,Ned Kuruc,Nayla Mithani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 76","Hamilton",2,83,145,6,1,237,536
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 77","Hamilton",2,65,102,3,1,173,403
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 78","Hamilton",6,96,104,7,0,213,548
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 79","Hamilton",4,65,115,9,4,197,569
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 80","Hamilton",2,70,91,4,1,168,433
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 81","Hamilton",3,84,151,1,2,241,630
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 82","Hamilton",1,82,83,2,1,169,491
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 83","Hamilton",2,83,145,4,0,234,610
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 84","Hamilton",5,46,134,4,3,192,588
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 85","Hamilton",1,55,72,6,5,139,423
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 86","Hamilton",3,77,105,17,0,202,454
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 87","Hamilton",3,63,69,8,0,143,418
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 88","Hamilton",1,83,89,3,0,176,415
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 89","Hamilton",3,74,112,11,1,201,536
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 90","Hamilton",4,67,85,7,5,168,476
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 91","Hamilton",0,82,102,5,3,192,541
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 92","Hamilton",4,91,99,11,1,206,418
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 93","Hamilton",2,77,113,5,6,203,473
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 94","Hamilton",6,44,73,10,1,134,395
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 95","Hamilton",4,82,102,6,1,195,440
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 96","Hamilton",2,98,107,1,0,208,447
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 97","Hamilton",3,85,98,3,1,190,434
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 98","Hamilton",2,95,110,7,1,215,488
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 99","Hamilton",5,75,137,5,4,226,501
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 100","Hamilton",3,121,103,8,1,236,509
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 101","Hamilton",2,79,141,2,0,224,413
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 102","Hamilton",0,62,93,4,2,161,400
