Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jim Boutsikakis,Chad Collins,Ned Kuruc,Nayla Mithani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 147","Hamilton",2,83,111,12,0,208,504
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 148","Hamilton",0,53,59,6,0,118,336
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 149","Hamilton",0,89,125,6,23,243,649
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 150","Hamilton",3,89,114,10,3,219,585
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 151","Hamilton",0,59,61,6,3,129,483
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 152","Hamilton",0,78,84,6,0,168,480
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 153","Hamilton",1,58,89,11,0,159,556
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 154","Hamilton",3,51,82,7,2,145,411
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 155","Hamilton",1,38,76,0,0,115,365
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 156","Hamilton",0,39,63,1,4,107,309
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 157","Hamilton",4,93,99,13,2,211,595
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 158","Hamilton",1,76,86,6,11,180,597
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 159","Hamilton",2,85,129,5,1,222,616
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 160A","Hamilton",0,66,79,2,3,150,396
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 160B","Hamilton",0,61,82,3,1,147,382
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 161","Hamilton",1,85,121,1,2,210,605
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 162","Hamilton",0,58,73,9,2,142,434
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 163","Hamilton",0,81,75,9,1,166,525
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 164","Hamilton",0,66,56,5,3,130,455
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 165","Hamilton",4,91,79,2,0,176,503
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 166A","Hamilton",1,72,54,2,0,129,367
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 166B","Hamilton",0,40,53,7,1,101,318
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 167","Hamilton",2,54,85,6,1,148,434
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 168","Hamilton",2,72,86,10,2,172,486
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 169","Hamilton",1,100,105,6,4,216,645
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 170","Hamilton",1,50,86,8,0,145,397
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 171","Hamilton",0,30,60,7,0,97,316
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 172","Hamilton",1,81,107,3,1,193,469
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 173","Hamilton",3,64,88,3,0,158,468
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 174","Hamilton",1,89,115,8,0,213,636
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 175","Hamilton",4,93,146,7,1,251,654
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 176A","Hamilton",1,59,54,4,1,119,362
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 176B","Hamilton",0,60,62,3,1,126,341
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 177","Hamilton",1,96,90,3,4,194,570
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 178","Hamilton",4,55,81,4,2,146,446
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 179","Hamilton",1,117,125,3,0,246,547
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 180","Hamilton",4,70,56,9,2,141,364
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 181","Hamilton",0,38,91,3,0,132,368
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 182","Hamilton",1,59,109,1,0,170,363
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 183","Hamilton",1,61,90,6,0,158,404
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 184","Hamilton",2,70,137,11,2,222,502
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 185","Hamilton",3,68,108,5,0,184,445
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 186","Hamilton",1,64,100,3,2,170,392
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 187","Hamilton",4,78,157,4,0,243,583
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 188","Hamilton",2,53,87,17,3,162,423
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 189","Hamilton",0,79,97,4,1,181,486
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 190A","Hamilton",0,53,55,3,3,114,359
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 190B","Hamilton",1,34,70,4,0,109,329
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 191","Hamilton",1,41,70,0,1,113,289
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 192","Hamilton",0,79,116,3,0,198,546
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 193","Hamilton",3,72,105,4,0,184,486
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 194","Hamilton",0,111,105,3,1,220,584
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 195A","Hamilton",0,79,65,1,1,146,386
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 195B","Hamilton",0,39,59,2,0,100,326
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 196","Hamilton",1,106,109,5,0,221,573
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 400","Hamilton",1,145,107,12,1,266,410
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 401","Hamilton",1,100,47,3,3,154,245
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 402","Hamilton",3,27,52,3,1,86,308
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 403","Hamilton",1,34,48,8,1,92,314
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 404","Hamilton",3,32,45,7,1,88,314
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 405","Hamilton",2,50,40,25,2,119,194
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 406","Hamilton",2,66,30,12,2,112,271
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 407","Hamilton",8,64,93,8,1,174,392
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 408","Hamilton",10,72,57,20,2,161,365
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 409","Hamilton",5,116,88,12,5,226,445
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 500","Mobile poll/Bureau itinérant",4,57,19,9,0,89,82
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 501","Mobile poll/Bureau itinérant",3,151,49,11,0,214,152
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,55
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,39
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 504","Hamilton",Combined with No./Résultats combinés à ceux du n°133,,,,,,4
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 505","Mobile poll/Bureau itinérant",2,36,25,8,1,72,66
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,107
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,118
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,126
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 509","Mobile poll/Bureau itinérant",4,65,45,19,1,134,138
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,39
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 511","Mobile poll/Bureau itinérant",0,71,29,15,5,120,132
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 600","Hamilton ",15,326,347,65,6,759,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 601","Hamilton",40,1334,1144,66,18,2602,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 602","Hamilton",12,726,706,28,5,1477,
