Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Grant Jackson,Quentin Robinson,Ghazanfar Ali Tarar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46001,"Brandon--Souris/Brandon--Souris"," 1","Kirkella",185,11,14,1,211,311
46001,"Brandon--Souris/Brandon--Souris"," 2","Hargrave",197,9,29,2,237,416
46001,"Brandon--Souris/Brandon--Souris"," 3","Kola",146,2,2,2,152,271
46001,"Brandon--Souris/Brandon--Souris"," 4","Virden",140,11,29,0,180,427
46001,"Brandon--Souris/Brandon--Souris"," 5","Virden",120,15,27,1,163,437
46001,"Brandon--Souris/Brandon--Souris"," 6","Virden",201,11,19,0,231,490
46001,"Brandon--Souris/Brandon--Souris"," 7","Virden",104,19,17,3,143,359
46001,"Brandon--Souris/Brandon--Souris"," 8","Virden",131,14,22,2,169,483
46001,"Brandon--Souris/Brandon--Souris"," 9","Virden",137,16,28,1,182,438
46001,"Brandon--Souris/Brandon--Souris"," 10","Sioux Valley Dakota Nation",12,62,92,8,174,416
46001,"Brandon--Souris/Brandon--Souris"," 11","Brandon",95,52,39,1,187,309
46001,"Brandon--Souris/Brandon--Souris"," 12","Brandon",110,59,67,2,238,513
46001,"Brandon--Souris/Brandon--Souris"," 13","Brandon",113,23,54,0,190,420
46001,"Brandon--Souris/Brandon--Souris"," 14","Brandon",102,45,54,1,202,586
46001,"Brandon--Souris/Brandon--Souris"," 15","Brandon",76,25,48,0,149,381
46001,"Brandon--Souris/Brandon--Souris"," 16","Brandon",60,22,25,1,108,283
46001,"Brandon--Souris/Brandon--Souris"," 17","Brookdale",87,18,20,3,128,196
46001,"Brandon--Souris/Brandon--Souris"," 18","Brandon",104,42,49,0,195,477
46001,"Brandon--Souris/Brandon--Souris"," 19","Brandon",108,39,55,1,203,390
46001,"Brandon--Souris/Brandon--Souris"," 20","Brandon",100,48,47,2,197,481
46001,"Brandon--Souris/Brandon--Souris"," 21","Brandon",87,29,58,0,174,365
46001,"Brandon--Souris/Brandon--Souris"," 22","Chater",94,15,22,2,133,372
46001,"Brandon--Souris/Brandon--Souris"," 23","Brandon",93,33,63,2,191,486
46001,"Brandon--Souris/Brandon--Souris"," 24","Brandon",61,39,39,0,139,396
46001,"Brandon--Souris/Brandon--Souris"," 25","Cromer",87,1,11,0,99,305
46001,"Brandon--Souris/Brandon--Souris"," 26","Brandon",90,41,40,1,172,453
46001,"Brandon--Souris/Brandon--Souris"," 27","Brandon",47,26,42,0,115,428
46001,"Brandon--Souris/Brandon--Souris"," 28","Brandon",21,30,32,0,83,347
46001,"Brandon--Souris/Brandon--Souris"," 29","Brandon",23,16,16,1,56,376
46001,"Brandon--Souris/Brandon--Souris"," 30","Brandon",27,25,34,1,87,586
46001,"Brandon--Souris/Brandon--Souris"," 31","Brandon",65,29,40,0,134,401
46001,"Brandon--Souris/Brandon--Souris"," 32","Brandon",28,29,35,2,94,333
46001,"Brandon--Souris/Brandon--Souris"," 33","Brandon",44,42,31,1,118,443
46001,"Brandon--Souris/Brandon--Souris"," 34","Brandon",47,13,38,0,98,415
46001,"Brandon--Souris/Brandon--Souris"," 35","Brandon",54,40,46,3,143,530
46001,"Brandon--Souris/Brandon--Souris"," 36","Brandon",73,33,35,1,142,407
46001,"Brandon--Souris/Brandon--Souris"," 37","Brandon",77,36,50,1,164,535
46001,"Brandon--Souris/Brandon--Souris"," 38","Brandon",78,35,45,0,158,524
46001,"Brandon--Souris/Brandon--Souris"," 39","Brandon",37,22,14,1,74,349
46001,"Brandon--Souris/Brandon--Souris"," 40","Brandon",34,30,24,1,89,405
46001,"Brandon--Souris/Brandon--Souris"," 41","Brandon",75,53,46,0,174,466
