Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marc Allaire,Pascal Bapfou Vozang Siewe,Vanessa Gordon,Érica Poirier,Gabriel Ste-Marie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"Joliette--Manawan/Joliette--Manawan"," 61","Notre-Dame-des-Prairies",58,34,4,3,114,3,216,584
24029,"Joliette--Manawan/Joliette--Manawan"," 62","Saint-Ambroise-de-Kildare",43,68,5,8,142,4,270,552
24029,"Joliette--Manawan/Joliette--Manawan"," 63","Saint-Ambroise-de-Kildare",38,60,7,2,125,7,239,502
24029,"Joliette--Manawan/Joliette--Manawan"," 64","Saint-Ambroise-de-Kildare",50,59,5,4,115,2,235,513
24029,"Joliette--Manawan/Joliette--Manawan"," 65","Saint-Ambroise-de-Kildare",32,35,5,5,86,3,166,430
24029,"Joliette--Manawan/Joliette--Manawan"," 66","Saint-Charles-Borromée",50,32,8,2,88,7,187,519
24029,"Joliette--Manawan/Joliette--Manawan"," 67","Saint-Charles-Borromée",71,18,1,4,89,0,183,444
24029,"Joliette--Manawan/Joliette--Manawan"," 68","Saint-Charles-Borromée",58,32,2,4,97,6,199,489
24029,"Joliette--Manawan/Joliette--Manawan"," 69","Saint-Charles-Borromée",69,25,8,2,93,3,200,562
24029,"Joliette--Manawan/Joliette--Manawan"," 70","Saint-Charles-Borromée",33,5,0,4,66,1,109,342
24029,"Joliette--Manawan/Joliette--Manawan"," 71","Saint-Charles-Borromée",20,15,4,5,60,0,104,332
24029,"Joliette--Manawan/Joliette--Manawan"," 72","Notre-Dame-des-Prairies",31,25,3,4,73,3,139,456
24029,"Joliette--Manawan/Joliette--Manawan"," 73","Notre-Dame-des-Prairies",17,23,4,3,52,1,100,322
24029,"Joliette--Manawan/Joliette--Manawan"," 74","Notre-Dame-des-Prairies",22,19,5,5,76,2,129,354
24029,"Joliette--Manawan/Joliette--Manawan"," 75","Notre-Dame-des-Prairies",40,15,4,2,77,2,140,373
24029,"Joliette--Manawan/Joliette--Manawan"," 76","Notre-Dame-des-Prairies",32,8,1,5,72,2,120,333
24029,"Joliette--Manawan/Joliette--Manawan"," 77","Notre-Dame-des-Prairies",15,20,3,1,55,3,97,366
24029,"Joliette--Manawan/Joliette--Manawan"," 78","Notre-Dame-des-Prairies",22,17,1,2,73,4,119,362
24029,"Joliette--Manawan/Joliette--Manawan"," 79","Notre-Dame-des-Prairies",53,18,5,2,68,5,151,395
24029,"Joliette--Manawan/Joliette--Manawan"," 80","Notre-Dame-des-Prairies",22,13,2,2,75,6,120,406
24029,"Joliette--Manawan/Joliette--Manawan"," 81","Notre-Dame-des-Prairies",36,11,1,5,63,2,118,372
24029,"Joliette--Manawan/Joliette--Manawan"," 82","Saint-Charles-Borromée",28,6,4,2,66,2,108,356
24029,"Joliette--Manawan/Joliette--Manawan"," 83","Saint-Charles-Borromée",22,14,3,4,49,1,93,344
24029,"Joliette--Manawan/Joliette--Manawan"," 84","Saint-Charles-Borromée",36,13,3,7,43,3,105,398
24029,"Joliette--Manawan/Joliette--Manawan"," 85","Saint-Charles-Borromée",29,20,5,6,72,2,134,328
24029,"Joliette--Manawan/Joliette--Manawan"," 86","Saint-Charles-Borromée",53,20,6,5,76,4,164,397
24029,"Joliette--Manawan/Joliette--Manawan"," 87","Saint-Charles-Borromée",23,12,0,1,44,4,84,266
24029,"Joliette--Manawan/Joliette--Manawan"," 88","Saint-Ambroise-de-Kildare",37,28,5,1,99,4,174,449
24029,"Joliette--Manawan/Joliette--Manawan"," 89","Saint-Ambroise-de-Kildare",57,36,9,4,100,0,206,489
24029,"Joliette--Manawan/Joliette--Manawan"," 90","Saint-Ambroise-de-Kildare",48,31,3,8,120,4,214,487
24029,"Joliette--Manawan/Joliette--Manawan"," 91","Saint-Ambroise-de-Kildare",45,41,4,2,83,4,179,427
24029,"Joliette--Manawan/Joliette--Manawan"," 92","Saint-Thomas",18,17,2,2,63,1,103,235
24029,"Joliette--Manawan/Joliette--Manawan"," 93","Saint-Thomas",32,27,6,4,103,3,175,402
24029,"Joliette--Manawan/Joliette--Manawan"," 94","Saint-Thomas",31,16,1,1,66,2,117,259
24029,"Joliette--Manawan/Joliette--Manawan"," 95","Saint-Thomas",43,21,5,3,91,0,163,371
24029,"Joliette--Manawan/Joliette--Manawan"," 96","Saint-Thomas",21,35,8,2,74,1,141,338
24029,"Joliette--Manawan/Joliette--Manawan"," 97","Saint-Thomas",36,32,2,4,84,5,163,381
24029,"Joliette--Manawan/Joliette--Manawan"," 98","Saint-Thomas",28,34,2,0,79,0,143,344
24029,"Joliette--Manawan/Joliette--Manawan"," 99","Saint-Thomas",37,21,3,2,54,4,121,362
24029,"Joliette--Manawan/Joliette--Manawan"," 100","Saint-Charles-Borromée",31,21,4,1,82,2,141,433
24029,"Joliette--Manawan/Joliette--Manawan"," 101","Saint-Charles-Borromée",55,30,4,11,104,5,209,591
