Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marc Allaire,Pascal Bapfou Vozang Siewe,Vanessa Gordon,Érica Poirier,Gabriel Ste-Marie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"Joliette--Manawan/Joliette--Manawan"," 603","Saint-Côme--Sainte-Émélie-de-l'Énergie",233,61,7,9,336,4,650,
24029,"Joliette--Manawan/Joliette--Manawan"," 604","Saint-Alphonse-Rodriguez--Sainte-Béatrix",322,129,25,9,372,15,872,
24029,"Joliette--Manawan/Joliette--Manawan"," 605","Saint-Alphonse-Rodriguez--Sainte-Béatrix",87,32,5,5,142,1,272,
24029,"Joliette--Manawan/Joliette--Manawan"," 606","Sainte-Mélanie",255,81,7,8,372,16,739,
24029,"Joliette--Manawan/Joliette--Manawan"," 607","Lac-des-Français",220,60,23,12,310,6,631,
24029,"Joliette--Manawan/Joliette--Manawan"," 608","Rawdon",575,178,31,23,424,14,1245,
24029,"Joliette--Manawan/Joliette--Manawan"," 609","Rawdon",287,62,13,15,389,4,770,
24029,"Joliette--Manawan/Joliette--Manawan"," 610","Rawdon",272,121,18,12,332,12,767,
24029,"Joliette--Manawan/Joliette--Manawan"," 611","Saint-Ambroise-de-Kildare",313,116,18,6,429,15,897,
24029,"Joliette--Manawan/Joliette--Manawan"," 612","Notre-Dame-des-Prairies",164,83,10,7,277,3,544,
24029,"Joliette--Manawan/Joliette--Manawan"," 613","Saint-Thomas",248,95,22,9,422,15,811,
24029,"Joliette--Manawan/Joliette--Manawan"," 614","Notre-Dame-des-Prairies",423,101,16,6,595,24,1165,
24029,"Joliette--Manawan/Joliette--Manawan"," 615","Notre-Dame-des-Prairies",551,128,21,21,691,22,1434,
24029,"Joliette--Manawan/Joliette--Manawan"," 616","Saint-Charles-Borromée",444,93,14,10,538,14,1113,
24029,"Joliette--Manawan/Joliette--Manawan"," 617","Saint-Charles-Borromée",602,121,27,14,809,16,1589,
24029,"Joliette--Manawan/Joliette--Manawan"," 618","Saint-Charles-Borromée",456,105,16,13,639,16,1245,
24029,"Joliette--Manawan/Joliette--Manawan"," 619","Joliette",281,68,14,12,362,13,750,
24029,"Joliette--Manawan/Joliette--Manawan"," 620","Joliette",364,99,19,13,616,19,1130,
24029,"Joliette--Manawan/Joliette--Manawan"," 621","Joliette",521,149,33,20,708,16,1447,
24029,"Joliette--Manawan/Joliette--Manawan"," 622","Saint-Pierre",309,90,15,12,505,9,940,
24029,"Joliette--Manawan/Joliette--Manawan"," 623","Crabtree",263,83,10,8,449,11,824,
24029,"Joliette--Manawan/Joliette--Manawan"," 624","Saint-Paul",283,119,24,11,428,12,877,
24029,"Joliette--Manawan/Joliette--Manawan"," 625","Saint-Paul",170,62,5,7,236,7,487,
24029,"Joliette--Manawan/Joliette--Manawan"," 626","L'Assomption",229,106,20,2,363,13,733,
24029,"Joliette--Manawan/Joliette--Manawan",,Group 1/Groupe 1, 150,42,16,18,90,14,330,119
24029,"Joliette--Manawan/Joliette--Manawan",,Group 2/Groupe 2, 509,133,20,16,595,37,1310,
