Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Manoj Bhangu,Alexander Dow,Avi Nayyar,Desiderio Magtanggol "Bonn" Reyes,Gregor Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 59","Vancouver",8,1,58,3,81,2,153,456
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 60","Vancouver",8,2,58,1,62,0,131,406
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 61","Vancouver",10,1,41,2,46,0,100,420
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 62","Vancouver",13,0,49,1,64,2,129,397
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 63","Vancouver",13,3,70,1,101,3,191,490
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 64","Vancouver",5,2,43,0,49,1,100,389
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 65","Vancouver",11,1,43,0,30,0,85,419
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 66","Vancouver",10,1,37,1,52,0,101,467
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 67","Vancouver",7,2,42,1,75,0,127,452
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 68","Vancouver",8,0,45,0,49,3,105,470
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 69","Vancouver",15,1,63,1,95,0,175,478
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 70","Vancouver",10,1,59,5,49,1,125,382
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 71","Vancouver",28,2,53,0,64,1,148,447
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 72","Vancouver",22,0,66,1,88,1,178,525
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 73","Vancouver",15,1,43,1,48,0,108,446
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 74","Vancouver",16,2,50,2,94,1,165,438
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 75","Vancouver",25,2,51,0,71,0,149,378
