Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Manoj Bhangu,Alexander Dow,Avi Nayyar,Desiderio Magtanggol "Bonn" Reyes,Gregor Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 190","Burnaby",21,3,79,2,65,0,170,508
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 500","Mobile poll/Bureau itinérant",9,2,35,3,52,6,107,101
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,46
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 502","Mobile poll/Bureau itinérant",10,0,19,1,27,0,57,53
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,24
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 504","Mobile poll/Bureau itinérant",12,4,20,1,33,0,70,130
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,50
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,39
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 507","Mobile poll/Bureau itinérant",10,3,8,2,27,0,50,59
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,48
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 509","Mobile poll/Bureau itinérant",11,3,16,0,48,0,78,59
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,20
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 511","Mobile poll/Bureau itinérant",8,1,16,0,26,1,52,44
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 512","Mobile poll/Bureau itinérant",13,5,9,1,28,0,56,55
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 513","Mobile poll/Bureau itinérant",12,1,12,1,28,0,54,79
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,31
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,47
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 516","Mobile poll/Bureau itinérant",28,5,18,1,58,2,112,144
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 600","Vancouver",128,10,465,13,873,18,1507,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 601","Vancouver",141,23,471,12,945,12,1604,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 602","Vancouver",65,8,428,12,632,6,1151,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 603","Vancouver",125,24,512,24,826,7,1518,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 604","Vancouver",81,5,425,7,712,6,1236,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 605","Vancouver",136,22,554,13,1147,9,1881,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 606","Vancouver",125,25,595,13,1064,5,1827,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 607","Vancouver",136,16,525,15,792,9,1493,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 608","Vancouver",152,21,488,7,1134,8,1810,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 609","Vancouver",140,34,557,10,1111,4,1856,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 610","Burnaby",136,17,548,10,755,4,1470,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 611","Burnaby",177,9,585,16,901,3,1691,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 612","Burnaby",174,10,597,8,820,5,1614,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 613","New Westminster",174,18,654,20,908,16,1790,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 614","Burnaby",244,22,700,15,948,9,1938,
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud",,Group 1/Groupe 1, 131,23,332,10,750,52,1298,429
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud",,Group 2/Groupe 2, 159,20,444,5,1053,72,1753,
