Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Elaine Baetz,Janice Folk-Dawson,Gurvir Khaira,Dominique O'Rourke,Jeffrey Swackhammer,Michael Wassilyn,Yurii Yavorskyi,Anne-Marie Zajdlik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Guelph/Guelph"," 66","Guelph",0,13,45,140,1,0,0,36,1,236,514
35033,"Guelph/Guelph"," 67","Guelph",0,11,38,117,2,1,0,45,2,216,524
35033,"Guelph/Guelph"," 68","Guelph",0,15,95,164,2,2,1,58,0,337,722
35033,"Guelph/Guelph"," 69","Guelph",1,10,64,83,2,1,0,54,0,215,485
35033,"Guelph/Guelph"," 70","Guelph",1,10,72,131,5,0,0,36,0,255,653
35033,"Guelph/Guelph"," 71","Guelph",0,14,35,95,4,0,0,48,0,196,344
35033,"Guelph/Guelph"," 72","Guelph",1,25,39,101,0,0,0,26,1,193,371
35033,"Guelph/Guelph"," 73","Guelph",1,4,34,163,2,0,0,47,0,251,557
35033,"Guelph/Guelph"," 74","Guelph",3,13,61,137,2,0,1,35,2,254,609
35033,"Guelph/Guelph"," 75","Guelph",0,10,35,162,1,0,1,38,0,247,517
35033,"Guelph/Guelph"," 76","Guelph",1,11,90,124,0,0,1,32,0,259,580
35033,"Guelph/Guelph"," 77","Guelph",Combined with No./Résultats combinés à ceux du n°78,,,,,,,,,,566
35033,"Guelph/Guelph"," 78","Guelph",1,15,89,248,5,1,0,60,3,422,305
35033,"Guelph/Guelph"," 79","Guelph",1,7,38,52,0,0,0,13,0,111,352
35033,"Guelph/Guelph"," 80","Guelph",1,13,78,69,2,0,2,10,5,180,560
35033,"Guelph/Guelph"," 81","Guelph",0,11,85,70,0,0,0,14,10,190,577
35033,"Guelph/Guelph"," 82","Guelph",0,22,75,108,3,0,0,29,1,238,659
35033,"Guelph/Guelph"," 83","Guelph",0,10,91,66,1,0,1,25,2,196,572
35033,"Guelph/Guelph"," 84","Guelph",3,11,50,98,1,1,0,44,0,208,472
35033,"Guelph/Guelph"," 85","Guelph",1,12,75,57,3,0,0,16,2,166,382
35033,"Guelph/Guelph"," 86","Guelph",2,17,76,128,1,0,1,40,0,265,563
35033,"Guelph/Guelph"," 87","Guelph",0,7,76,93,2,0,0,20,2,200,567
35033,"Guelph/Guelph"," 88","Guelph",0,3,75,73,0,1,0,10,0,162,439
35033,"Guelph/Guelph"," 89","Guelph",1,8,53,53,3,1,0,9,0,128,418
35033,"Guelph/Guelph"," 90","Guelph",0,15,88,103,1,0,0,28,0,235,537
35033,"Guelph/Guelph"," 91","Guelph",0,11,71,80,4,2,0,16,1,185,480
35033,"Guelph/Guelph"," 92","Guelph",0,7,70,123,0,1,1,45,1,248,483
35033,"Guelph/Guelph"," 93","Guelph",1,8,74,132,4,0,0,27,4,250,525
35033,"Guelph/Guelph"," 94","Guelph",0,9,32,58,0,1,0,10,0,110,310
35033,"Guelph/Guelph"," 95","Guelph",0,14,79,58,2,0,0,17,0,170,399
35033,"Guelph/Guelph"," 96","Guelph",1,13,35,71,2,0,0,32,0,154,513
35033,"Guelph/Guelph"," 97","Guelph",3,9,41,97,1,0,0,11,0,162,492
35033,"Guelph/Guelph"," 98","Guelph",2,8,31,72,3,0,1,36,0,153,445
35033,"Guelph/Guelph"," 99","Guelph",0,3,40,101,3,1,0,31,1,180,472
35033,"Guelph/Guelph"," 100","Guelph",3,10,52,108,2,0,0,20,2,197,545
35033,"Guelph/Guelph"," 101","Guelph",1,16,43,186,1,0,0,48,2,297,583
35033,"Guelph/Guelph"," 102","Guelph",0,14,34,131,4,0,1,41,0,225,485
35033,"Guelph/Guelph"," 103","Guelph",2,4,45,119,0,0,1,36,0,207,430
35033,"Guelph/Guelph"," 104","Guelph",2,9,49,133,1,1,0,53,1,249,577
35033,"Guelph/Guelph"," 105","Guelph",0,13,42,142,2,0,0,49,0,248,573
35033,"Guelph/Guelph"," 106","Guelph",0,12,50,107,4,0,1,40,1,215,475
35033,"Guelph/Guelph"," 107","Guelph",0,2,28,51,1,0,0,7,0,89,337
35033,"Guelph/Guelph"," 108","Guelph",1,3,88,119,1,0,0,10,1,223,433
35033,"Guelph/Guelph"," 109","Guelph",1,7,85,106,2,0,0,15,1,217,465
35033,"Guelph/Guelph"," 110","Guelph",0,4,15,55,0,0,0,4,0,78,468
35033,"Guelph/Guelph"," 111","Guelph",0,0,107,116,0,0,0,14,1,238,493
35033,"Guelph/Guelph"," 112","Guelph",0,1,81,120,2,0,0,15,0,219,456
35033,"Guelph/Guelph"," 113","Guelph",1,3,48,99,1,0,0,20,2,174,454
35033,"Guelph/Guelph"," 114","Guelph",0,2,57,88,0,2,0,12,0,161,401
35033,"Guelph/Guelph"," 115","Guelph",0,1,35,90,0,0,0,14,2,142,401
35033,"Guelph/Guelph"," 116","Guelph",3,13,72,132,1,0,0,17,1,239,536
35033,"Guelph/Guelph"," 117","Guelph",0,5,50,119,2,2,0,14,0,192,426
35033,"Guelph/Guelph"," 118","Guelph",0,6,88,161,4,1,0,28,2,290,540
35033,"Guelph/Guelph"," 119","Guelph",0,2,42,124,0,0,1,15,1,185,469
35033,"Guelph/Guelph"," 120A","Guelph",1,2,41,231,1,0,1,25,2,304,440
35033,"Guelph/Guelph"," 120B","Guelph",0,3,42,226,0,0,0,34,2,307,432
35033,"Guelph/Guelph"," 121","Guelph",1,2,24,23,0,0,0,2,0,52,227
35033,"Guelph/Guelph"," 122","Guelph",0,9,46,116,4,1,0,34,0,210,448
35033,"Guelph/Guelph"," 123","Guelph",Combined with No./Résultats combinés à ceux du n°124B,,,,,,,,,,221
35033,"Guelph/Guelph"," 124A","Guelph",0,6,27,44,2,0,2,9,0,90,202
35033,"Guelph/Guelph"," 124B","Guelph",1,10,115,143,5,0,0,28,2,304,1
35033,"Guelph/Guelph"," 125","Guelph",0,4,71,98,5,1,0,18,0,197,583
35033,"Guelph/Guelph"," 126","Guelph",1,3,57,61,3,2,0,11,1,139,458
35033,"Guelph/Guelph"," 127","Guelph",1,5,71,115,1,0,0,22,0,215,566
35033,"Guelph/Guelph"," 128","Guelph",3,2,74,66,0,1,0,26,0,172,544
35033,"Guelph/Guelph"," 129","Guelph",0,1,57,84,3,0,0,7,0,152,410
35033,"Guelph/Guelph"," 130","Guelph",0,9,70,68,1,1,0,15,0,164,478
35033,"Guelph/Guelph"," 131","Guelph",0,6,73,122,1,0,1,14,1,218,541
35033,"Guelph/Guelph"," 132","Guelph",1,8,72,110,0,0,0,15,1,207,589
35033,"Guelph/Guelph"," 133","Guelph",1,5,58,154,1,1,1,29,2,252,540
35033,"Guelph/Guelph"," 134","Guelph",1,17,64,120,7,0,0,51,0,260,522
35033,"Guelph/Guelph"," 135","Guelph",1,10,64,114,3,0,0,29,2,223,372
35033,"Guelph/Guelph"," 136","Guelph",0,8,58,122,1,0,0,40,0,229,538
35033,"Guelph/Guelph"," 137","Guelph",1,6,68,122,2,0,0,22,0,221,478
35033,"Guelph/Guelph"," 138","Guelph",1,12,59,85,3,0,0,33,0,193,514
35033,"Guelph/Guelph"," 139","Guelph",0,2,89,76,1,0,0,18,3,189,511
35033,"Guelph/Guelph"," 140","Guelph",0,6,72,132,0,0,0,10,0,220,439
35033,"Guelph/Guelph"," 141","Guelph",0,4,60,68,4,1,0,14,0,151,420
35033,"Guelph/Guelph"," 142","Guelph",0,7,93,99,6,2,0,7,1,215,579
35033,"Guelph/Guelph"," 143","Guelph",0,5,69,97,1,0,0,7,2,181,438
35033,"Guelph/Guelph"," 144","Guelph",2,5,98,134,2,1,1,16,4,263,639
35033,"Guelph/Guelph"," 145","Guelph",1,6,96,113,0,1,0,23,1,241,637
35033,"Guelph/Guelph"," 146","Guelph",0,4,64,98,4,1,0,10,3,184,489
35033,"Guelph/Guelph"," 147","Guelph",0,4,55,61,2,0,0,9,1,132,440
35033,"Guelph/Guelph"," 148","Guelph",0,3,54,102,0,1,1,17,3,181,478
35033,"Guelph/Guelph"," 149","Guelph",0,7,96,115,1,1,1,18,2,241,627
35033,"Guelph/Guelph"," 150","Guelph",1,1,76,90,3,0,0,13,3,187,608
35033,"Guelph/Guelph"," 151","Guelph",0,6,84,114,0,0,0,22,1,227,521
35033,"Guelph/Guelph"," 152","Guelph",0,6,79,83,4,0,2,12,1,187,480
35033,"Guelph/Guelph"," 153","Guelph",0,5,67,133,2,0,0,19,1,227,466
35033,"Guelph/Guelph"," 154","Guelph",0,6,76,82,2,0,0,6,2,174,516
35033,"Guelph/Guelph"," 155","Guelph",0,7,88,103,0,1,0,21,0,220,537
35033,"Guelph/Guelph"," 156","Guelph",0,8,71,105,1,0,0,25,1,211,354
35033,"Guelph/Guelph"," 157","Guelph",0,10,75,53,0,2,0,17,2,159,430
35033,"Guelph/Guelph"," 158","Guelph",0,2,91,105,4,1,0,22,0,225,541
35033,"Guelph/Guelph"," 159","Guelph",0,13,99,131,4,5,0,31,2,285,587
35033,"Guelph/Guelph"," 160","Guelph",1,8,72,112,0,0,0,17,0,210,610
35033,"Guelph/Guelph"," 161","Guelph",0,10,67,109,4,2,0,14,0,206,504
35033,"Guelph/Guelph"," 162","Guelph",2,10,110,123,1,1,0,22,0,269,593
35033,"Guelph/Guelph"," 163","Guelph",0,15,47,112,0,0,0,15,0,189,514
35033,"Guelph/Guelph"," 164","Guelph",0,9,76,130,1,0,0,22,1,239,609
35033,"Guelph/Guelph"," 165","Guelph",0,10,90,99,1,0,0,34,3,237,553
35033,"Guelph/Guelph"," 166","Guelph",0,15,78,128,1,0,0,21,0,243,496
35033,"Guelph/Guelph"," 167","Guelph",0,15,64,116,2,1,0,20,2,220,464
35033,"Guelph/Guelph"," 168","Guelph",0,8,81,99,2,1,0,16,0,207,484
35033,"Guelph/Guelph"," 169","Guelph",0,3,88,134,3,0,1,27,0,256,591
35033,"Guelph/Guelph"," 170","Guelph",1,6,65,140,1,0,0,30,1,244,448
35033,"Guelph/Guelph"," 171","Guelph",2,10,70,127,3,1,0,22,1,236,556
35033,"Guelph/Guelph"," 172","Guelph",0,3,51,113,0,0,0,14,0,181,398
35033,"Guelph/Guelph"," 173","Guelph",1,7,71,134,2,2,1,13,0,231,557
35033,"Guelph/Guelph"," 400","Guelph",3,7,41,86,0,0,1,16,7,161,391
35033,"Guelph/Guelph"," 401","Guelph",0,4,40,44,1,0,0,15,0,104,129
35033,"Guelph/Guelph"," 402","Guelph",0,4,48,87,2,0,0,11,0,152,209
35033,"Guelph/Guelph"," 403","Guelph",0,0,31,72,5,0,0,9,3,120,148
35033,"Guelph/Guelph"," 404","Guelph",0,13,28,100,2,1,1,18,4,167,87
35033,"Guelph/Guelph"," 405","Guelph",Combined with No./Résultats combinés à ceux du n°404,,,,,,,,,,139
35033,"Guelph/Guelph"," 406","Guelph",Combined with No./Résultats combinés à ceux du n°404,,,,,,,,,,80
35033,"Guelph/Guelph"," 407","Guelph",Combined with No./Résultats combinés à ceux du n°400,,,,,,,,,,55
35033,"Guelph/Guelph"," 408","Guelph",Combined with No./Résultats combinés à ceux du n°56,,,,,,,,,,129
35033,"Guelph/Guelph"," 409","Guelph",Combined with No./Résultats combinés à ceux du n°56,,,,,,,,,,134
35033,"Guelph/Guelph"," 410","Guelph",Combined with No./Résultats combinés à ceux du n°412,,,,,,,,,,162
35033,"Guelph/Guelph"," 411","Guelph",Combined with No./Résultats combinés à ceux du n°412,,,,,,,,,,174
35033,"Guelph/Guelph"," 412","Guelph",2,12,75,200,2,0,0,20,0,311,161
35033,"Guelph/Guelph"," 413","Guelph",0,0,22,105,0,0,0,11,0,138,200
35033,"Guelph/Guelph"," 414","Guelph",Combined with No./Résultats combinés à ceux du n°71,,,,,,,,,,68
35033,"Guelph/Guelph"," 415","Guelph",Combined with No./Résultats combinés à ceux du n°72,,,,,,,,,,165
35033,"Guelph/Guelph"," 416","Guelph",1,6,32,183,1,1,1,11,3,239,243
35033,"Guelph/Guelph"," 417","Guelph",Combined with No./Résultats combinés à ceux du n°416,,,,,,,,,,120
35033,"Guelph/Guelph"," 418","Guelph",Combined with No./Résultats combinés à ceux du n°124B,,,,,,,,,,180
35033,"Guelph/Guelph"," 419","Guelph",Combined with No./Résultats combinés à ceux du n°124B,,,,,,,,,,186
35033,"Guelph/Guelph"," 420","Guelph",Combined with No./Résultats combinés à ceux du n°124B,,,,,,,,,,107
35033,"Guelph/Guelph"," 421","Guelph",0,10,45,64,0,0,2,18,0,139,105
35033,"Guelph/Guelph"," 422","Guelph",Combined with No./Résultats combinés à ceux du n°421,,,,,,,,,,101
35033,"Guelph/Guelph"," 423","Guelph",Combined with No./Résultats combinés à ceux du n°426,,,,,,,,,,63
35033,"Guelph/Guelph"," 424","Guelph",Combined with No./Résultats combinés à ceux du n°426,,,,,,,,,,149
35033,"Guelph/Guelph"," 425","Guelph",Combined with No./Résultats combinés à ceux du n°426,,,,,,,,,,174
35033,"Guelph/Guelph"," 426","Guelph",1,2,48,112,2,0,0,11,0,176,236
35033,"Guelph/Guelph"," 500","Mobile poll/Bureau itinérant",0,8,37,83,0,0,0,20,2,150,136
35033,"Guelph/Guelph"," 501","Mobile poll/Bureau itinérant",0,9,30,49,2,0,0,8,0,98,88
35033,"Guelph/Guelph"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,,64
35033,"Guelph/Guelph"," 503","Guelph",Combined with No./Résultats combinés à ceux du n°47,,,,,,,,,,5
35033,"Guelph/Guelph"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,51
35033,"Guelph/Guelph"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,,67
35033,"Guelph/Guelph"," 506","Mobile poll/Bureau itinérant",0,5,16,20,1,1,0,8,0,51,96
35033,"Guelph/Guelph"," 507","Mobile poll/Bureau itinérant",0,6,18,36,1,0,0,6,1,68,223
35033,"Guelph/Guelph"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,,,76
35033,"Guelph/Guelph"," 509","Mobile poll/Bureau itinérant",0,5,30,70,2,1,0,15,1,124,94
35033,"Guelph/Guelph"," 510","Guelph",Combined with No./Résultats combinés à ceux du n°75,,,,,,,,,,16
35033,"Guelph/Guelph"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,82
35033,"Guelph/Guelph"," 512","Mobile poll/Bureau itinérant",0,11,30,32,1,0,0,17,0,91,118
35033,"Guelph/Guelph"," 513","Mobile poll/Bureau itinérant",0,6,19,17,0,0,1,6,0,49,69
35033,"Guelph/Guelph"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,,,44
35033,"Guelph/Guelph"," 515","Mobile poll/Bureau itinérant",1,2,28,58,2,1,0,12,8,112,106
35033,"Guelph/Guelph"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,,,85
35033,"Guelph/Guelph"," 600","Guelph",2,17,419,608,13,2,1,86,1,1149,
35033,"Guelph/Guelph"," 601","Guelph",1,18,528,818,12,1,2,87,6,1473,
35033,"Guelph/Guelph"," 602","Guelph",0,40,615,975,23,5,1,163,9,1831,
35033,"Guelph/Guelph"," 603","Guelph",1,50,583,889,10,2,0,162,6,1703,
35033,"Guelph/Guelph"," 604","Guelph",1,58,283,842,7,0,0,175,2,1368,
35033,"Guelph/Guelph"," 605","Guelph",1,19,145,551,1,0,0,94,1,812,
35033,"Guelph/Guelph"," 606","Guelph",3,11,149,425,7,2,0,44,1,642,
35033,"Guelph/Guelph"," 607","Guelph",1,38,222,736,6,0,1,102,3,1109,
35033,"Guelph/Guelph"," 608","Guelph",5,50,184,816,5,0,0,153,1,1214,
35033,"Guelph/Guelph"," 609","Guelph",2,30,179,496,7,0,0,91,1,806,
35033,"Guelph/Guelph"," 610","Guelph",5,39,300,641,8,2,0,130,7,1132,
35033,"Guelph/Guelph"," 611","Guelph",4,38,569,896,8,1,3,99,2,1620,
35033,"Guelph/Guelph"," 612","Guelph",5,41,461,841,6,1,1,87,9,1452,
35033,"Guelph/Guelph"," 613","Guelph",1,24,482,842,5,3,0,110,3,1470,
35033,"Guelph/Guelph"," 614","Guelph",0,19,200,597,1,2,0,95,2,916,
35033,"Guelph/Guelph"," 615","Guelph",0,16,301,610,4,0,1,46,0,978,
35033,"Guelph/Guelph"," 616","Guelph",1,25,204,635,2,1,2,79,0,949,
35033,"Guelph/Guelph"," 617","Guelph",4,27,317,732,3,0,1,50,3,1137,
35033,"Guelph/Guelph",,Group 1/Groupe 1, 1,28,110,423,11,0,2,79,29,683,463
35033,"Guelph/Guelph",,Group 2/Groupe 2, 6,150,1309,3557,19,8,1,519,80,5649,
