Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,David Annis,Peter Fragiskatos,Stephen Gallant,Mary Ann Hodge,Bruce Lamb,Dirka Prout,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35053,"London Centre/London-Centre"," 1","London",1,98,91,1,0,7,1,199,440
35053,"London Centre/London-Centre"," 2","London",1,39,50,0,0,6,0,96,261
35053,"London Centre/London-Centre"," 3","London",0,74,88,2,0,12,0,176,424
35053,"London Centre/London-Centre"," 4","London",0,78,60,3,0,14,0,155,409
35053,"London Centre/London-Centre"," 5","London",3,54,62,8,1,15,0,143,349
35053,"London Centre/London-Centre"," 6","London",1,152,95,3,0,9,3,263,476
35053,"London Centre/London-Centre"," 7A","London",0,62,31,0,0,8,0,101,243
35053,"London Centre/London-Centre"," 7B","London",1,49,40,0,0,10,0,100,261
35053,"London Centre/London-Centre"," 8","London",1,97,67,0,0,9,1,175,431
35053,"London Centre/London-Centre"," 9","London",0,100,85,3,0,7,1,196,454
35053,"London Centre/London-Centre"," 10A","London",1,30,46,3,0,10,0,90,320
35053,"London Centre/London-Centre"," 10B","London",1,39,26,2,1,11,0,80,310
35053,"London Centre/London-Centre"," 11A","London",1,57,36,5,3,17,2,121,348
35053,"London Centre/London-Centre"," 11B","London",2,55,63,2,1,11,2,136,328
35053,"London Centre/London-Centre"," 12","London",4,81,76,8,0,12,0,181,383
35053,"London Centre/London-Centre"," 13","London",1,89,50,1,0,4,0,145,339
35053,"London Centre/London-Centre"," 14","London",2,85,71,2,1,12,3,176,455
35053,"London Centre/London-Centre"," 15","London",0,62,90,0,0,8,2,162,469
35053,"London Centre/London-Centre"," 16","London",1,74,53,3,0,9,1,141,365
35053,"London Centre/London-Centre"," 17","London",4,52,77,1,0,13,0,147,344
35053,"London Centre/London-Centre"," 18","London",2,49,74,0,0,24,3,152,376
35053,"London Centre/London-Centre"," 19A","London",0,51,38,0,0,4,0,93,226
35053,"London Centre/London-Centre"," 19B","London",0,66,51,1,0,4,1,123,259
35053,"London Centre/London-Centre"," 20A","London",0,25,29,2,0,8,2,66,247
35053,"London Centre/London-Centre"," 20B","London",1,22,15,2,2,10,3,55,237
35053,"London Centre/London-Centre"," 21","London",1,52,79,3,1,23,1,160,474
35053,"London Centre/London-Centre"," 22","London",2,98,79,0,0,10,0,189,392
35053,"London Centre/London-Centre"," 23","London",1,100,64,2,0,15,0,182,375
35053,"London Centre/London-Centre"," 24","London",1,56,85,1,1,7,1,152,405
35053,"London Centre/London-Centre"," 25","London",2,60,55,2,2,10,0,131,396
35053,"London Centre/London-Centre"," 26","London",2,50,51,0,0,14,0,117,353
35053,"London Centre/London-Centre"," 27","London",1,24,66,2,1,4,2,100,401
35053,"London Centre/London-Centre"," 28","London",2,91,62,3,0,4,0,162,417
35053,"London Centre/London-Centre"," 29A","London",3,65,36,1,0,7,0,112,246
35053,"London Centre/London-Centre"," 29B","London",0,61,30,0,1,2,0,94,265
35053,"London Centre/London-Centre"," 30","London",0,83,51,2,1,6,2,145,434
35053,"London Centre/London-Centre"," 31","London",1,79,49,0,0,17,0,146,324
35053,"London Centre/London-Centre"," 32A","London",4,31,38,3,0,12,1,89,260
35053,"London Centre/London-Centre"," 32B","London",0,48,39,3,0,7,3,100,272
35053,"London Centre/London-Centre"," 33","London",3,36,50,1,0,13,0,103,414
35053,"London Centre/London-Centre"," 34","London",2,59,58,4,0,16,1,140,373
35053,"London Centre/London-Centre"," 35","London",1,53,84,1,1,21,1,162,356
35053,"London Centre/London-Centre"," 36","London",1,62,74,3,0,22,1,163,483
35053,"London Centre/London-Centre"," 37","London",3,78,100,0,0,20,0,201,398
35053,"London Centre/London-Centre"," 38A","London",3,55,39,3,0,12,0,112,232
35053,"London Centre/London-Centre"," 38B","London",1,65,39,0,0,3,0,108,238
35053,"London Centre/London-Centre"," 39","London",2,94,74,0,1,11,0,182,419
35053,"London Centre/London-Centre"," 40A","London",0,47,33,0,0,11,0,91,259
35053,"London Centre/London-Centre"," 40B","London",0,47,41,0,0,6,3,97,233
35053,"London Centre/London-Centre"," 41A","London",0,35,48,2,0,4,0,89,288
35053,"London Centre/London-Centre"," 41B","London",0,40,56,3,0,3,0,102,264
35053,"London Centre/London-Centre"," 42A","London",0,26,37,3,0,9,0,75,250
35053,"London Centre/London-Centre"," 42B","London",1,15,28,1,0,8,1,54,239
35053,"London Centre/London-Centre"," 43A","London",3,34,36,3,0,9,1,86,240
35053,"London Centre/London-Centre"," 43B","London",1,29,43,0,0,18,0,91,239
35053,"London Centre/London-Centre"," 44","London",1,53,55,0,0,10,0,119,330
35053,"London Centre/London-Centre"," 45","London",4,89,68,4,2,23,1,191,424
35053,"London Centre/London-Centre"," 46","London",3,52,66,0,0,17,0,138,339
35053,"London Centre/London-Centre"," 47A","London",0,46,35,2,0,19,3,105,274
35053,"London Centre/London-Centre"," 47B","London",1,46,37,2,0,13,2,101,247
35053,"London Centre/London-Centre"," 48","London",0,105,45,1,0,14,3,168,449
35053,"London Centre/London-Centre"," 49","London",1,71,42,5,0,18,0,137,399
35053,"London Centre/London-Centre"," 50","London",0,50,43,2,0,11,1,107,380
35053,"London Centre/London-Centre"," 51","London",2,73,68,0,1,4,1,149,397
35053,"London Centre/London-Centre"," 52A","London",3,35,41,0,0,16,0,95,242
35053,"London Centre/London-Centre"," 52B","London",0,31,61,1,0,13,2,108,282
35053,"London Centre/London-Centre"," 53","London",2,49,69,0,0,26,1,147,463
35053,"London Centre/London-Centre"," 54","London",0,48,55,0,0,7,0,110,304
35053,"London Centre/London-Centre"," 55","London",1,51,28,1,0,8,0,89,376
35053,"London Centre/London-Centre"," 56","London",0,115,59,2,0,6,1,183,425
35053,"London Centre/London-Centre"," 57","London",3,101,70,1,0,9,0,184,410
35053,"London Centre/London-Centre"," 58","London",0,67,60,2,0,10,0,139,459
35053,"London Centre/London-Centre"," 59","London",4,63,47,1,1,9,1,126,355
35053,"London Centre/London-Centre"," 60","London",1,61,44,1,0,7,0,114,461
35053,"London Centre/London-Centre"," 61","London",0,80,64,2,0,15,2,163,427
35053,"London Centre/London-Centre"," 62A","London",1,46,29,2,1,7,0,86,275
35053,"London Centre/London-Centre"," 62B","London",0,33,34,0,0,3,1,71,288
35053,"London Centre/London-Centre"," 63","London",2,72,49,1,0,5,0,129,322
35053,"London Centre/London-Centre"," 64","London",0,56,59,0,0,8,0,123,336
35053,"London Centre/London-Centre"," 65","London",0,83,49,0,0,12,1,145,387
35053,"London Centre/London-Centre"," 66","London",0,50,24,1,0,7,0,82,214
35053,"London Centre/London-Centre"," 67","London",3,108,57,11,0,20,5,204,449
35053,"London Centre/London-Centre"," 68A","London",2,46,26,2,2,8,0,86,226
35053,"London Centre/London-Centre"," 68B","London",3,51,18,2,0,8,1,83,202
35053,"London Centre/London-Centre"," 69","London",2,158,58,6,0,12,1,237,519
35053,"London Centre/London-Centre"," 70","London",2,57,64,3,0,22,1,149,390
35053,"London Centre/London-Centre"," 71","London",2,50,49,3,0,19,1,124,397
35053,"London Centre/London-Centre"," 72","London",1,79,74,1,0,45,2,202,436
35053,"London Centre/London-Centre"," 73","London",1,100,67,4,1,18,4,195,467
35053,"London Centre/London-Centre"," 74","London",0,57,71,4,0,23,0,155,473
35053,"London Centre/London-Centre"," 75","London",6,65,42,5,0,13,1,132,401
35053,"London Centre/London-Centre"," 76A","London",1,50,32,1,0,5,0,89,261
35053,"London Centre/London-Centre"," 76B","London",2,38,46,0,0,3,0,89,245
35053,"London Centre/London-Centre"," 77","London",4,78,75,3,1,23,1,185,461
35053,"London Centre/London-Centre"," 78","London",2,43,62,1,0,19,0,127,419
35053,"London Centre/London-Centre"," 79","London",1,66,52,3,0,8,2,132,388
35053,"London Centre/London-Centre"," 80A","London",1,37,39,4,0,20,0,101,263
35053,"London Centre/London-Centre"," 80B","London",0,51,38,1,1,11,0,102,254
35053,"London Centre/London-Centre"," 81","London",0,55,54,0,0,6,2,117,389
35053,"London Centre/London-Centre"," 82","London",0,142,62,0,2,6,0,212,476
35053,"London Centre/London-Centre"," 83","London",0,118,55,3,0,7,1,184,408
35053,"London Centre/London-Centre"," 84","London",0,75,54,1,0,23,1,154,551
35053,"London Centre/London-Centre"," 85","London",3,144,62,1,0,1,1,212,447
35053,"London Centre/London-Centre"," 86","London",0,125,66,4,0,2,1,198,449
35053,"London Centre/London-Centre"," 87","London",1,102,39,3,1,19,1,166,414
35053,"London Centre/London-Centre"," 88","London",2,81,43,1,1,10,0,138,394
35053,"London Centre/London-Centre"," 89","London",0,61,84,3,0,38,2,188,468
35053,"London Centre/London-Centre"," 90","London",0,56,62,3,0,28,0,149,395
35053,"London Centre/London-Centre"," 91A","London",0,44,39,4,0,18,0,105,226
35053,"London Centre/London-Centre"," 91B","London",3,65,20,3,0,31,0,122,248
35053,"London Centre/London-Centre"," 92","London",0,101,49,3,0,6,0,159,440
35053,"London Centre/London-Centre"," 93","London",1,81,25,3,0,13,1,124,325
35053,"London Centre/London-Centre"," 94A","London",1,50,31,1,0,5,0,88,239
35053,"London Centre/London-Centre"," 94B","London",0,37,24,2,0,11,0,74,229
35053,"London Centre/London-Centre"," 95","London",1,59,51,4,3,26,1,145,360
35053,"London Centre/London-Centre"," 96","London",0,188,59,8,0,25,0,280,496
35053,"London Centre/London-Centre"," 97","London",5,137,77,7,2,20,2,250,470
35053,"London Centre/London-Centre"," 98A","London",1,113,49,7,0,13,0,183,287
35053,"London Centre/London-Centre"," 98B","London",0,114,33,1,0,10,0,158,277
35053,"London Centre/London-Centre"," 99","London",1,100,45,4,0,27,0,177,464
35053,"London Centre/London-Centre"," 100","London",7,121,61,2,0,23,1,215,399
35053,"London Centre/London-Centre"," 101","London",4,116,55,7,0,52,1,235,482
35053,"London Centre/London-Centre"," 102A","London",1,82,41,3,0,17,0,144,261
35053,"London Centre/London-Centre"," 102B","London",0,75,35,1,0,18,0,129,279
35053,"London Centre/London-Centre"," 103","London",1,140,76,3,0,37,2,259,477
35053,"London Centre/London-Centre"," 104","London",3,144,55,3,0,24,2,231,441
35053,"London Centre/London-Centre"," 105","London",1,87,39,4,1,17,1,150,264
35053,"London Centre/London-Centre"," 106","London",2,94,49,4,0,40,0,189,437
35053,"London Centre/London-Centre"," 107","London",0,104,50,5,0,9,0,168,350
35053,"London Centre/London-Centre"," 108","London",3,127,71,3,3,10,0,217,404
35053,"London Centre/London-Centre"," 109","London",2,129,60,3,0,27,0,221,457
35053,"London Centre/London-Centre"," 110","London",1,106,55,2,0,19,2,185,411
35053,"London Centre/London-Centre"," 111","London",0,98,77,3,1,18,0,197,432
35053,"London Centre/London-Centre"," 112","London",2,107,74,10,0,25,1,219,447
35053,"London Centre/London-Centre"," 113","London",1,69,46,4,0,26,1,147,393
35053,"London Centre/London-Centre"," 114","London",2,70,56,1,1,28,4,162,404
35053,"London Centre/London-Centre"," 115","London",1,68,40,1,0,16,4,130,435
35053,"London Centre/London-Centre"," 116A","London",0,59,18,6,0,12,1,96,254
35053,"London Centre/London-Centre"," 116B","London",3,30,17,3,0,19,1,73,275
35053,"London Centre/London-Centre"," 117A","London",0,55,24,0,0,5,0,84,254
35053,"London Centre/London-Centre"," 117B","London",0,43,28,1,0,8,0,80,266
35053,"London Centre/London-Centre"," 118","London",0,77,35,2,0,9,1,124,341
35053,"London Centre/London-Centre"," 119","London",2,77,45,3,0,29,1,157,564
35053,"London Centre/London-Centre"," 120","London",3,93,50,0,1,11,0,158,430
35053,"London Centre/London-Centre"," 121","London",5,80,77,2,0,16,0,180,499
35053,"London Centre/London-Centre"," 122","London",2,82,35,2,0,19,0,140,438
35053,"London Centre/London-Centre"," 123","London",1,84,37,3,0,21,2,148,391
35053,"London Centre/London-Centre"," 124A","London",0,46,33,3,0,14,0,96,276
35053,"London Centre/London-Centre"," 124B","London",0,43,24,1,0,12,0,80,239
35053,"London Centre/London-Centre"," 125","London",3,68,82,0,1,29,1,184,404
35053,"London Centre/London-Centre"," 126","London",2,76,66,2,0,23,0,169,464
35053,"London Centre/London-Centre"," 127","London",1,54,62,4,0,29,0,150,477
35053,"London Centre/London-Centre"," 128","London",1,97,39,1,0,19,1,158,381
35053,"London Centre/London-Centre"," 129A","London",0,42,21,1,0,19,1,84,283
