Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Élisabeth Brière,Jean-Pierre Fortier,Alexandre Lépine,Kevin McKenna,Esteban Méndez-Hord,Pierre-Étienne Rouillard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Sherbrooke/Sherbrooke"," 1","Sherbrooke",125,12,1,7,48,66,4,263,640
24072,"Sherbrooke/Sherbrooke"," 2","Sherbrooke",68,9,2,1,25,34,1,140,375
24072,"Sherbrooke/Sherbrooke"," 3","Sherbrooke",84,6,1,4,46,69,4,214,462
24072,"Sherbrooke/Sherbrooke"," 4","Sherbrooke",62,12,3,2,43,62,3,187,444
24072,"Sherbrooke/Sherbrooke"," 5","Sherbrooke",101,10,4,6,33,64,2,220,494
24072,"Sherbrooke/Sherbrooke"," 6","Sherbrooke",87,10,0,1,49,50,2,199,521
24072,"Sherbrooke/Sherbrooke"," 7","Sherbrooke",89,10,0,1,50,59,0,209,450
24072,"Sherbrooke/Sherbrooke"," 8","Sherbrooke",99,3,0,2,35,56,2,197,485
24072,"Sherbrooke/Sherbrooke"," 9","Sherbrooke",93,19,3,5,49,73,6,248,578
24072,"Sherbrooke/Sherbrooke"," 10","Sherbrooke",50,14,3,2,32,40,5,146,418
24072,"Sherbrooke/Sherbrooke"," 11","Sherbrooke",97,9,1,2,39,80,1,229,507
24072,"Sherbrooke/Sherbrooke"," 12","Sherbrooke",88,6,3,0,38,78,1,214,480
24072,"Sherbrooke/Sherbrooke"," 13","Sherbrooke",73,11,3,3,22,64,1,177,428
24072,"Sherbrooke/Sherbrooke"," 14","Sherbrooke",67,13,2,6,84,65,5,242,563
24072,"Sherbrooke/Sherbrooke"," 15","Sherbrooke",81,1,1,4,33,52,2,174,412
24072,"Sherbrooke/Sherbrooke"," 16","Sherbrooke",86,8,1,8,42,67,1,213,603
24072,"Sherbrooke/Sherbrooke"," 17","Sherbrooke",98,12,4,1,53,50,3,221,552
24072,"Sherbrooke/Sherbrooke"," 18","Sherbrooke",68,2,5,2,32,44,2,155,451
24072,"Sherbrooke/Sherbrooke"," 19","Sherbrooke",127,6,2,1,41,43,1,221,434
24072,"Sherbrooke/Sherbrooke"," 20A","Sherbrooke",104,13,4,6,44,66,8,245,652
24072,"Sherbrooke/Sherbrooke"," 20B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,34
24072,"Sherbrooke/Sherbrooke"," 21","Sherbrooke",83,4,0,1,34,59,0,181,425
24072,"Sherbrooke/Sherbrooke"," 22","Sherbrooke",116,13,2,3,17,52,1,204,429
24072,"Sherbrooke/Sherbrooke"," 23","Sherbrooke",33,5,0,3,21,27,2,91,350
24072,"Sherbrooke/Sherbrooke"," 24","Sherbrooke",48,7,0,6,21,27,3,112,401
24072,"Sherbrooke/Sherbrooke"," 25","Sherbrooke",67,8,4,5,40,52,2,178,440
24072,"Sherbrooke/Sherbrooke"," 26","Sherbrooke",102,6,1,2,21,41,3,176,431
24072,"Sherbrooke/Sherbrooke"," 27","Sherbrooke",68,9,2,1,24,42,3,149,371
24072,"Sherbrooke/Sherbrooke"," 28","Sherbrooke",65,10,0,2,21,35,3,136,476
24072,"Sherbrooke/Sherbrooke"," 29","Sherbrooke",63,11,6,6,36,42,4,168,512
24072,"Sherbrooke/Sherbrooke"," 30","Sherbrooke",46,11,2,8,30,38,5,140,407
24072,"Sherbrooke/Sherbrooke"," 31","Sherbrooke",47,6,1,1,11,34,0,100,383
24072,"Sherbrooke/Sherbrooke"," 32","Sherbrooke",49,5,6,6,31,62,1,160,433
24072,"Sherbrooke/Sherbrooke"," 33","Sherbrooke",153,20,0,7,36,55,2,273,551
24072,"Sherbrooke/Sherbrooke"," 34","Sherbrooke",128,7,0,4,26,49,2,216,424
24072,"Sherbrooke/Sherbrooke"," 35","Sherbrooke",65,28,0,8,12,61,3,177,381
24072,"Sherbrooke/Sherbrooke"," 36A","Sherbrooke",66,14,2,4,29,55,1,171,317
24072,"Sherbrooke/Sherbrooke"," 36B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°403,,,,,,,,36
24072,"Sherbrooke/Sherbrooke"," 37","Sherbrooke",116,11,1,11,17,52,0,208,406
24072,"Sherbrooke/Sherbrooke"," 38A","Sherbrooke",119,10,1,7,13,55,0,205,422
24072,"Sherbrooke/Sherbrooke"," 38B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°403,,,,,,,,34
24072,"Sherbrooke/Sherbrooke"," 39","Sherbrooke",49,6,1,1,25,42,4,128,422
24072,"Sherbrooke/Sherbrooke"," 40","Sherbrooke",31,11,0,1,19,34,1,97,386
24072,"Sherbrooke/Sherbrooke"," 41","Sherbrooke",52,10,2,1,16,29,0,110,499
24072,"Sherbrooke/Sherbrooke"," 42","Sherbrooke",90,11,2,4,38,45,5,195,482
24072,"Sherbrooke/Sherbrooke"," 43","Sherbrooke",53,5,0,5,26,50,3,142,405
24072,"Sherbrooke/Sherbrooke"," 44","Sherbrooke",55,14,1,2,36,28,5,141,456
24072,"Sherbrooke/Sherbrooke"," 45","Sherbrooke",19,9,1,5,21,17,1,73,366
24072,"Sherbrooke/Sherbrooke"," 46","Sherbrooke",25,7,1,5,33,28,1,100,354
24072,"Sherbrooke/Sherbrooke"," 47","Sherbrooke",31,10,3,4,11,30,5,94,328
24072,"Sherbrooke/Sherbrooke"," 48","Sherbrooke",44,8,2,2,23,26,1,106,403
24072,"Sherbrooke/Sherbrooke"," 49","Sherbrooke",37,3,0,3,13,24,1,81,415
24072,"Sherbrooke/Sherbrooke"," 50","Sherbrooke",37,14,1,5,21,30,4,112,447
24072,"Sherbrooke/Sherbrooke"," 51","Sherbrooke",41,7,1,9,17,35,3,113,457
24072,"Sherbrooke/Sherbrooke"," 52","Sherbrooke",45,6,3,4,39,28,3,128,407
24072,"Sherbrooke/Sherbrooke"," 53","Sherbrooke",79,12,4,1,43,46,2,187,515
24072,"Sherbrooke/Sherbrooke"," 54","Sherbrooke",49,10,1,5,18,26,5,114,416
24072,"Sherbrooke/Sherbrooke"," 55A","Sherbrooke",36,11,2,1,24,23,0,97,284
24072,"Sherbrooke/Sherbrooke"," 55B","Sherbrooke",157,2,3,2,14,37,5,220,265
24072,"Sherbrooke/Sherbrooke"," 56","Sherbrooke",45,14,3,4,25,36,0,127,378
24072,"Sherbrooke/Sherbrooke"," 57","Sherbrooke",33,6,1,2,21,31,2,96,382
24072,"Sherbrooke/Sherbrooke"," 58","Sherbrooke",50,5,2,5,25,38,0,125,379
24072,"Sherbrooke/Sherbrooke"," 59","Sherbrooke",43,13,1,4,28,36,2,127,339
24072,"Sherbrooke/Sherbrooke"," 60","Sherbrooke",49,15,3,9,24,36,0,136,378
24072,"Sherbrooke/Sherbrooke"," 61","Sherbrooke",37,17,2,6,18,31,4,115,351
24072,"Sherbrooke/Sherbrooke"," 62","Sherbrooke",51,14,0,9,13,55,4,146,450
24072,"Sherbrooke/Sherbrooke"," 63","Sherbrooke",84,12,1,0,13,54,1,165,459
24072,"Sherbrooke/Sherbrooke"," 64","Sherbrooke",65,11,0,6,23,40,2,147,458
24072,"Sherbrooke/Sherbrooke"," 65","Sherbrooke",77,8,2,2,29,68,6,192,420
