Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chad Eggerman,Naomi Hunter,Rachel Loewen Walker,Brad Redekopp,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon West/Saskatoon-Ouest"," 1","Saskatoon",34,5,26,82,3,150,601
47011,"Saskatoon West/Saskatoon-Ouest"," 2","Saskatoon",54,3,33,109,0,199,537
47011,"Saskatoon West/Saskatoon-Ouest"," 3","Saskatoon",45,3,17,38,2,105,417
47011,"Saskatoon West/Saskatoon-Ouest"," 4","Saskatoon",48,1,36,149,0,234,598
47011,"Saskatoon West/Saskatoon-Ouest"," 5","Saskatoon",33,3,31,150,0,217,583
47011,"Saskatoon West/Saskatoon-Ouest"," 6","Saskatoon",56,1,21,134,0,212,565
47011,"Saskatoon West/Saskatoon-Ouest"," 7","Saskatoon",58,3,27,114,1,203,557
47011,"Saskatoon West/Saskatoon-Ouest"," 8","Saskatoon",64,0,15,87,2,168,411
47011,"Saskatoon West/Saskatoon-Ouest"," 9","Saskatoon",58,1,35,151,1,246,590
47011,"Saskatoon West/Saskatoon-Ouest"," 10","Saskatoon",51,2,35,127,1,216,575
47011,"Saskatoon West/Saskatoon-Ouest"," 11","Saskatoon",36,1,18,113,0,168,424
47011,"Saskatoon West/Saskatoon-Ouest"," 12","Saskatoon",52,1,22,136,1,212,502
47011,"Saskatoon West/Saskatoon-Ouest"," 13","Saskatoon",48,0,31,110,1,190,485
47011,"Saskatoon West/Saskatoon-Ouest"," 14","Saskatoon",44,3,25,113,2,187,475
47011,"Saskatoon West/Saskatoon-Ouest"," 15","Saskatoon",46,1,30,107,0,184,429
47011,"Saskatoon West/Saskatoon-Ouest"," 16","Saskatoon",23,0,24,73,0,120,446
47011,"Saskatoon West/Saskatoon-Ouest"," 17","Saskatoon",37,0,17,70,0,124,437
47011,"Saskatoon West/Saskatoon-Ouest"," 18","Saskatoon",54,1,28,123,0,206,561
47011,"Saskatoon West/Saskatoon-Ouest"," 19","Saskatoon",44,0,30,71,0,145,450
47011,"Saskatoon West/Saskatoon-Ouest"," 20","Saskatoon",21,0,13,42,3,79,328
47011,"Saskatoon West/Saskatoon-Ouest"," 21","Saskatoon",26,1,23,72,1,123,410
