Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Caroline Desrochers,Mathieu Doyon,Yves Levesque,Yan Patry,Matthew Sévigny,David Turcotte,René Villemure,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Trois-Rivières/Trois-Rivières"," 222","Trois-Rivières",66,0,52,0,4,1,32,1,156,422
24075,"Trois-Rivières/Trois-Rivières"," 400","Trois-Rivières",151,0,41,2,0,0,40,6,240,362
24075,"Trois-Rivières/Trois-Rivières"," 401","Trois-Rivières",150,1,14,1,0,0,29,13,208,289
24075,"Trois-Rivières/Trois-Rivières"," 402","Trois-Rivières",Combined with No./Résultats combinés à ceux du n°190A,,,,,,,,,172
24075,"Trois-Rivières/Trois-Rivières"," 403A","Trois-Rivières",139,3,22,1,0,0,55,6,226,275
24075,"Trois-Rivières/Trois-Rivières"," 403B","Trois-Rivières",132,0,24,0,0,0,48,3,207,193
24075,"Trois-Rivières/Trois-Rivières"," 404","Trois-Rivières",87,0,21,0,3,0,33,18,162,208
24075,"Trois-Rivières/Trois-Rivières"," 405","Trois-Rivières",70,0,31,0,1,0,39,9,150,187
24075,"Trois-Rivières/Trois-Rivières"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,66
24075,"Trois-Rivières/Trois-Rivières"," 501","Mobile poll/Bureau itinérant",69,1,20,1,0,0,36,9,136,97
24075,"Trois-Rivières/Trois-Rivières"," 502","Mobile poll/Bureau itinérant",10,0,10,1,0,0,6,3,30,39
24075,"Trois-Rivières/Trois-Rivières"," 503","Mobile poll/Bureau itinérant",23,0,8,1,1,0,4,1,38,55
24075,"Trois-Rivières/Trois-Rivières"," 504","Mobile poll/Bureau itinérant",19,0,3,1,1,1,7,4,36,173
24075,"Trois-Rivières/Trois-Rivières"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,43
24075,"Trois-Rivières/Trois-Rivières"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,,44
24075,"Trois-Rivières/Trois-Rivières"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,51
24075,"Trois-Rivières/Trois-Rivières"," 508","Trois-Rivières",Combined with No./Résultats combinés à ceux du n°43,,,,,,,,,29
24075,"Trois-Rivières/Trois-Rivières"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,,90
24075,"Trois-Rivières/Trois-Rivières"," 510","Mobile poll/Bureau itinérant",100,1,19,0,1,2,28,12,163,134
24075,"Trois-Rivières/Trois-Rivières"," 511","Mobile poll/Bureau itinérant",33,1,17,1,0,1,14,10,77,78
24075,"Trois-Rivières/Trois-Rivières"," 512","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24075,"Trois-Rivières/Trois-Rivières"," 513","Mobile poll/Bureau itinérant",98,0,16,0,0,0,30,10,154,259
24075,"Trois-Rivières/Trois-Rivières"," 514","Mobile poll/Bureau itinérant",57,1,17,0,1,2,19,3,100,91
24075,"Trois-Rivières/Trois-Rivières"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°530,,,,,,,,,39
24075,"Trois-Rivières/Trois-Rivières"," 516","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24075,"Trois-Rivières/Trois-Rivières"," 517","Trois-Rivières",Combined with No./Résultats combinés à ceux du n°103,,,,,,,,,0
24075,"Trois-Rivières/Trois-Rivières"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,,,35
