Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nathalie Bresse,Marianne Dandurand,Valérie Laliberté,Paul Lehmann,Jacques Painchaud,Sébastien Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Compton--Stanstead/Compton--Stanstead"," 1","Saint-Gérard",30,21,4,4,48,1,1,109,251
24019,"Compton--Stanstead/Compton--Stanstead"," 2","Saint-Gérard",42,35,2,1,29,1,0,110,247
24019,"Compton--Stanstead/Compton--Stanstead"," 3","Weedon",51,49,4,6,62,4,6,182,473
24019,"Compton--Stanstead/Compton--Stanstead"," 4","Weedon",38,36,4,2,46,2,7,135,470
24019,"Compton--Stanstead/Compton--Stanstead"," 5","Weedon",62,44,2,1,65,5,4,183,452
24019,"Compton--Stanstead/Compton--Stanstead"," 6","Weedon",63,47,2,0,61,3,4,180,438
24019,"Compton--Stanstead/Compton--Stanstead"," 7","Lingwick",64,75,9,2,68,6,2,226,377
24019,"Compton--Stanstead/Compton--Stanstead"," 8A","Dudswell",91,91,9,2,63,7,1,264,400
24019,"Compton--Stanstead/Compton--Stanstead"," 8B","Dudswell",Combined with No./Résultats combinés à ceux du n°9B,,,,,,,,110
24019,"Compton--Stanstead/Compton--Stanstead"," 9A","Dudswell",63,56,5,1,55,3,3,186,356
24019,"Compton--Stanstead/Compton--Stanstead"," 9B","Dudswell",67,65,8,2,59,9,4,214,132
24019,"Compton--Stanstead/Compton--Stanstead"," 10A","Dudswell",70,73,4,3,41,9,3,203,388
24019,"Compton--Stanstead/Compton--Stanstead"," 10B","Dudswell",Combined with No./Résultats combinés à ceux du n°9B,,,,,,,,131
24019,"Compton--Stanstead/Compton--Stanstead"," 11","Bury",16,63,10,4,58,2,0,153,339
24019,"Compton--Stanstead/Compton--Stanstead"," 12","Bury",38,45,9,3,46,5,3,149,317
24019,"Compton--Stanstead/Compton--Stanstead"," 13","Bury",28,42,5,3,64,5,3,150,325
24019,"Compton--Stanstead/Compton--Stanstead"," 14A","Stoke",72,77,8,2,34,4,0,197,449
24019,"Compton--Stanstead/Compton--Stanstead"," 14B","Stoke",Combined with No./Résultats combinés à ceux du n°16B,,,,,,,,81
24019,"Compton--Stanstead/Compton--Stanstead"," 15A","Stoke",69,55,1,5,47,4,7,188,410
24019,"Compton--Stanstead/Compton--Stanstead"," 15B","Stoke",Combined with No./Résultats combinés à ceux du n°16B,,,,,,,,108
24019,"Compton--Stanstead/Compton--Stanstead"," 16A","Stoke",52,72,8,2,46,4,2,186,432
24019,"Compton--Stanstead/Compton--Stanstead"," 16B","Stoke",63,77,8,0,63,3,3,217,114
24019,"Compton--Stanstead/Compton--Stanstead"," 17A","Stoke",56,62,6,1,34,1,3,163,345
24019,"Compton--Stanstead/Compton--Stanstead"," 17B","Stoke",Combined with No./Résultats combinés à ceux du n°16B,,,,,,,,69
24019,"Compton--Stanstead/Compton--Stanstead"," 18A","Stoke",78,63,3,5,51,5,0,205,443
24019,"Compton--Stanstead/Compton--Stanstead"," 18B","Stoke",Combined with No./Résultats combinés à ceux du n°16B,,,,,,,,42
24019,"Compton--Stanstead/Compton--Stanstead"," 19A","Westbury",41,49,5,3,62,5,6,171,441
24019,"Compton--Stanstead/Compton--Stanstead"," 19B","Westbury",Combined with No./Résultats combinés à ceux du n°21B,,,,,,,,37
24019,"Compton--Stanstead/Compton--Stanstead"," 20A","Westbury",37,36,1,2,49,1,0,126,269
24019,"Compton--Stanstead/Compton--Stanstead"," 20B","Westbury",Combined with No./Résultats combinés à ceux du n°26B,,,,,,,,125
24019,"Compton--Stanstead/Compton--Stanstead"," 21A","East Angus",47,38,9,2,66,4,3,169,426
24019,"Compton--Stanstead/Compton--Stanstead"," 21B","East Angus",38,54,3,6,43,3,3,150,204
24019,"Compton--Stanstead/Compton--Stanstead"," 22A","East Angus",35,44,2,0,53,5,1,140,412
24019,"Compton--Stanstead/Compton--Stanstead"," 22B","East Angus",Combined with No./Résultats combinés à ceux du n°21B,,,,,,,,57
24019,"Compton--Stanstead/Compton--Stanstead"," 23A","East Angus",43,33,5,6,52,8,1,148,470
24019,"Compton--Stanstead/Compton--Stanstead"," 23B","East Angus",Combined with No./Résultats combinés à ceux du n°21B,,,,,,,,45
24019,"Compton--Stanstead/Compton--Stanstead"," 24","East Angus",51,50,10,1,62,3,3,180,483
24019,"Compton--Stanstead/Compton--Stanstead"," 25A","East Angus",46,33,15,4,41,2,3,144,480
24019,"Compton--Stanstead/Compton--Stanstead"," 25B","East Angus",Combined with No./Résultats combinés à ceux du n°21B,,,,,,,,80
24019,"Compton--Stanstead/Compton--Stanstead"," 26A","East Angus",42,29,5,2,32,0,1,111,347
24019,"Compton--Stanstead/Compton--Stanstead"," 26B","East Angus",48,36,2,0,35,1,4,126,189
24019,"Compton--Stanstead/Compton--Stanstead"," 27A","Ascot Corner",76,39,4,3,39,8,6,175,417
24019,"Compton--Stanstead/Compton--Stanstead"," 27B","Ascot Corner",63,55,5,4,43,2,2,174,134
24019,"Compton--Stanstead/Compton--Stanstead"," 28A","Ascot Corner",64,42,4,1,59,3,2,175,389
24019,"Compton--Stanstead/Compton--Stanstead"," 28B","Ascot Corner",Combined with No./Résultats combinés à ceux du n°27B,,,,,,,,72
24019,"Compton--Stanstead/Compton--Stanstead"," 29","Ascot Corner",64,41,3,5,46,0,2,161,354
24019,"Compton--Stanstead/Compton--Stanstead"," 30A","Ascot Corner",66,60,1,0,45,0,1,173,366
24019,"Compton--Stanstead/Compton--Stanstead"," 30B","Ascot Corner",Combined with No./Résultats combinés à ceux du n°27B,,,,,,,,104
24019,"Compton--Stanstead/Compton--Stanstead"," 31A","Ascot Corner",66,27,6,5,54,4,5,167,429
24019,"Compton--Stanstead/Compton--Stanstead"," 31B","Ascot Corner",Combined with No./Résultats combinés à ceux du n°27B,,,,,,,,83
24019,"Compton--Stanstead/Compton--Stanstead"," 32","Ascot Corner",81,40,2,4,33,3,3,166,411
24019,"Compton--Stanstead/Compton--Stanstead"," 33A","Cookshire-Eaton--Johnville",35,77,4,7,34,4,2,163,313
24019,"Compton--Stanstead/Compton--Stanstead"," 33B","Cookshire-Eaton--Johnville",Combined with No./Résultats combinés à ceux du n°34B,,,,,,,,64
24019,"Compton--Stanstead/Compton--Stanstead"," 34A","Cookshire-Eaton--Johnville",46,51,8,0,44,5,2,156,337
24019,"Compton--Stanstead/Compton--Stanstead"," 34B","Cookshire-Eaton--Johnville",33,48,4,1,45,5,0,136,116
24019,"Compton--Stanstead/Compton--Stanstead"," 35A","Cookshire-Eaton--Johnville",41,54,7,4,67,2,1,176,386
24019,"Compton--Stanstead/Compton--Stanstead"," 35B","Cookshire-Eaton--Johnville",Combined with No./Résultats combinés à ceux du n°34B,,,,,,,,99
24019,"Compton--Stanstead/Compton--Stanstead"," 36A","Martinville",48,49,7,4,45,7,2,162,360
24019,"Compton--Stanstead/Compton--Stanstead"," 36B","Martinville",Combined with No./Résultats combinés à ceux du n°34B,,,,,,,,71
24019,"Compton--Stanstead/Compton--Stanstead"," 37","Cookshire-Eaton--Sawyerville",27,47,9,2,75,2,0,162,364
24019,"Compton--Stanstead/Compton--Stanstead"," 38","Cookshire-Eaton--Sawyerville",37,90,9,1,67,6,0,210,410
24019,"Compton--Stanstead/Compton--Stanstead"," 39","Cookshire-Eaton--Sawyerville",22,92,4,2,76,6,7,209,366
24019,"Compton--Stanstead/Compton--Stanstead"," 40","Saint-Isidore-de-Clifton",27,60,2,3,58,5,1,156,284
24019,"Compton--Stanstead/Compton--Stanstead"," 41","Saint-Isidore-de-Clifton",30,63,2,5,67,4,1,172,310
24019,"Compton--Stanstead/Compton--Stanstead"," 42","Cookshire-Eaton--Cookshire",37,65,6,5,71,1,1,186,445
24019,"Compton--Stanstead/Compton--Stanstead"," 43","Cookshire-Eaton--Cookshire",56,55,6,2,83,6,1,209,531
24019,"Compton--Stanstead/Compton--Stanstead"," 44","Cookshire-Eaton--Cookshire",38,63,9,2,69,3,3,187,438
24019,"Compton--Stanstead/Compton--Stanstead"," 45","Cookshire-Eaton--Cookshire",45,65,9,10,59,6,3,197,492
24019,"Compton--Stanstead/Compton--Stanstead"," 46","Newport",36,40,8,8,52,2,6,152,263
24019,"Compton--Stanstead/Compton--Stanstead"," 47","Newport",28,64,9,2,57,4,1,165,285
24019,"Compton--Stanstead/Compton--Stanstead"," 48","Scotstown--Hampden",61,28,0,5,46,1,5,146,303
24019,"Compton--Stanstead/Compton--Stanstead"," 49","Scotstown--Hampden",45,42,4,9,37,5,3,145,259
24019,"Compton--Stanstead/Compton--Stanstead"," 50","La Patrie",39,30,3,2,66,5,8,153,352
24019,"Compton--Stanstead/Compton--Stanstead"," 51","La Patrie",38,37,2,8,40,3,0,128,330
24019,"Compton--Stanstead/Compton--Stanstead"," 52","Chartierville",34,60,1,5,41,2,3,146,270
24019,"Compton--Stanstead/Compton--Stanstead"," 53","Sainte-Edwidge-de-Clifton",55,74,1,2,66,4,3,205,387
24019,"Compton--Stanstead/Compton--Stanstead"," 54","Saint-Malo",65,100,3,4,65,6,3,246,374
24019,"Compton--Stanstead/Compton--Stanstead"," 55","East Hereford",45,75,5,12,48,3,2,190,306
24019,"Compton--Stanstead/Compton--Stanstead"," 56A","Saint-Herménégilde",39,63,2,9,45,6,2,166,296
