Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jason McCormick,Jill McKnight,Jessy Sahota,Natasa Sirotic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59011,"Delta/Delta"," 1","Delta",10,88,77,1,1,177,439
59011,"Delta/Delta"," 2","Delta",15,90,88,0,0,193,449
59011,"Delta/Delta"," 3","Delta",9,69,108,4,1,191,382
59011,"Delta/Delta"," 3-1","Musqueam 4",Combined with No./Résultats combinés à ceux du n°3,,,,,,7
59011,"Delta/Delta"," 4","Delta",10,76,83,0,3,172,427
59011,"Delta/Delta"," 5","Delta",14,126,131,2,2,275,570
59011,"Delta/Delta"," 6","Delta",13,100,97,3,1,214,461
59011,"Delta/Delta"," 7","Delta",9,123,118,2,0,252,562
59011,"Delta/Delta"," 8","Delta",11,64,65,1,0,141,492
59011,"Delta/Delta"," 9","Delta",10,107,90,0,3,210,500
59011,"Delta/Delta"," 10","Delta",20,77,66,2,1,166,492
59011,"Delta/Delta"," 11","Delta",13,70,74,0,0,157,456
59011,"Delta/Delta"," 12A","Delta",6,93,70,2,0,171,420
59011,"Delta/Delta"," 12B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,16
59011,"Delta/Delta"," 13","Delta",7,68,56,4,1,136,389
59011,"Delta/Delta"," 14","Delta",10,73,93,1,0,177,437
59011,"Delta/Delta"," 15","Delta",14,79,86,0,0,179,406
59011,"Delta/Delta"," 16","Delta",11,51,62,0,0,124,417
59011,"Delta/Delta"," 17","Delta",16,61,43,0,0,120,419
59011,"Delta/Delta"," 18","Delta",8,65,75,0,2,150,393
59011,"Delta/Delta"," 19","Delta",8,88,97,0,2,195,503
59011,"Delta/Delta"," 20","Delta",16,85,71,0,1,173,460
59011,"Delta/Delta"," 21","Delta",18,96,109,0,2,225,540
59011,"Delta/Delta"," 22","Delta",25,94,93,0,0,212,570
59011,"Delta/Delta"," 23","Delta",7,75,104,1,0,187,479
59011,"Delta/Delta"," 24","Delta",5,80,92,0,0,177,383
59011,"Delta/Delta"," 25","Delta",9,153,105,0,2,269,574
59011,"Delta/Delta"," 26","Delta",4,127,60,3,0,194,448
59011,"Delta/Delta"," 27","Delta",11,121,80,1,0,213,597
59011,"Delta/Delta"," 28","Delta",10,58,91,0,0,159,444
59011,"Delta/Delta"," 29","Delta",19,44,68,1,1,133,389
59011,"Delta/Delta"," 30","Delta",7,66,65,3,0,141,395
59011,"Delta/Delta"," 31","Delta",10,54,66,0,0,130,411
59011,"Delta/Delta"," 32","Delta",9,60,58,2,1,130,418
59011,"Delta/Delta"," 33","Delta",4,67,82,1,0,154,484
59011,"Delta/Delta"," 34","Delta",7,76,72,1,2,158,573
59011,"Delta/Delta"," 35","Delta",8,47,65,2,0,122,401
59011,"Delta/Delta"," 36","Delta",11,77,92,0,1,181,471
59011,"Delta/Delta"," 37","Delta",6,101,140,1,1,249,583
59011,"Delta/Delta"," 38","Delta",7,89,78,1,1,176,442
59011,"Delta/Delta"," 39","Delta",4,43,59,0,1,107,370
59011,"Delta/Delta"," 40","Delta",15,79,91,2,1,188,486
59011,"Delta/Delta"," 41","Delta",13,48,85,1,2,149,386
59011,"Delta/Delta"," 42","Delta",14,73,90,1,1,179,539
59011,"Delta/Delta"," 43","Delta",5,105,75,2,0,187,429
59011,"Delta/Delta"," 44","Delta",3,74,60,0,0,137,435
59011,"Delta/Delta"," 45","Delta",8,95,62,2,1,168,476
59011,"Delta/Delta"," 46","Delta",12,96,95,0,0,203,429
59011,"Delta/Delta"," 47","Delta",8,86,60,2,0,156,417
59011,"Delta/Delta"," 48","Delta",14,82,113,0,2,211,465
59011,"Delta/Delta"," 49","Delta",7,57,57,1,1,123,421
59011,"Delta/Delta"," 50","Delta",12,53,47,2,2,116,395
59011,"Delta/Delta"," 51","Delta",7,60,67,1,1,136,380
59011,"Delta/Delta"," 52","Delta",6,57,71,0,1,135,462
59011,"Delta/Delta"," 53","Delta",4,68,76,1,0,149,525
59011,"Delta/Delta"," 54","Delta",5,61,51,0,0,117,471
59011,"Delta/Delta"," 55","Delta",10,70,86,0,0,166,504
59011,"Delta/Delta"," 56","Delta",9,89,64,1,0,163,443
59011,"Delta/Delta"," 57","Delta",12,89,41,3,0,145,464
59011,"Delta/Delta"," 58","Delta",11,60,81,2,1,155,550
59011,"Delta/Delta"," 59","Delta",12,59,48,1,0,120,524
59011,"Delta/Delta"," 60","Delta",8,85,71,2,2,168,393
59011,"Delta/Delta"," 61","Delta",7,64,79,1,4,155,473
59011,"Delta/Delta"," 62","Delta",5,51,59,0,0,115,449
59011,"Delta/Delta"," 63","Delta",4,42,45,0,0,91,318
59011,"Delta/Delta"," 64","Delta",7,53,55,2,0,117,427
59011,"Delta/Delta"," 65","Delta",7,48,64,0,0,119,464
59011,"Delta/Delta"," 66","Delta",9,72,93,1,0,175,454
59011,"Delta/Delta"," 67","Delta",12,85,82,0,0,179,501
59011,"Delta/Delta"," 68","Delta",2,98,69,3,2,174,465
59011,"Delta/Delta"," 69","Delta",16,54,80,4,1,155,479
59011,"Delta/Delta"," 70","Delta",11,92,65,1,1,170,467
59011,"Delta/Delta"," 71","Delta",3,48,64,0,5,120,387
59011,"Delta/Delta"," 72","Delta",11,57,50,0,0,118,404
59011,"Delta/Delta"," 73","Delta",9,93,76,1,3,182,542
59011,"Delta/Delta"," 74","Delta",4,78,100,0,1,183,536
59011,"Delta/Delta"," 75","Delta",10,63,68,2,2,145,459
59011,"Delta/Delta"," 76","Delta",8,77,68,4,0,157,468
59011,"Delta/Delta"," 77","Delta",17,69,62,1,6,155,476
59011,"Delta/Delta"," 78","Delta",15,71,61,0,2,149,461
59011,"Delta/Delta"," 79","Delta",8,64,88,1,0,161,476
59011,"Delta/Delta"," 80","Delta",10,59,91,0,2,162,620
59011,"Delta/Delta"," 81","Delta",2,64,52,0,0,118,446
59011,"Delta/Delta"," 82","Delta",8,74,61,0,0,143,449
59011,"Delta/Delta"," 83","Delta",6,79,70,0,0,155,538
59011,"Delta/Delta"," 84","Delta",14,80,95,0,3,192,563
59011,"Delta/Delta"," 85","Delta",15,93,100,0,0,208,494
59011,"Delta/Delta"," 86","Delta",13,52,47,0,0,112,394
59011,"Delta/Delta"," 87","Delta",9,52,67,1,1,130,383
59011,"Delta/Delta"," 88","Delta",12,79,100,0,0,191,580
59011,"Delta/Delta"," 89","Delta",5,82,60,0,2,149,361
59011,"Delta/Delta"," 90","Delta",6,63,67,0,5,141,342
59011,"Delta/Delta"," 91","Delta",8,82,89,4,1,184,488
59011,"Delta/Delta"," 92","Delta",6,79,56,1,0,142,458
59011,"Delta/Delta"," 93","Delta",2,84,70,1,0,157,483
59011,"Delta/Delta"," 94","Delta",5,102,78,5,1,191,511
59011,"Delta/Delta"," 95","Delta",7,104,98,2,1,212,496
59011,"Delta/Delta"," 96","Delta",9,46,64,1,2,122,362
59011,"Delta/Delta"," 97","Delta",14,68,82,2,0,166,473
59011,"Delta/Delta"," 98","Delta",2,61,52,1,0,116,315
59011,"Delta/Delta"," 99","Delta",3,87,71,0,0,161,478
59011,"Delta/Delta"," 100","Delta",15,106,119,1,3,244,671
59011,"Delta/Delta"," 101","Delta",12,55,82,0,1,150,443
59011,"Delta/Delta"," 102","Delta",5,43,62,0,0,110,380
59011,"Delta/Delta"," 103","Delta",9,62,72,4,2,149,371
59011,"Delta/Delta"," 104","Delta",3,51,59,1,1,115,499
59011,"Delta/Delta"," 105","Delta",7,90,54,0,1,152,493
59011,"Delta/Delta"," 106","Delta",12,68,51,0,0,131,444
59011,"Delta/Delta"," 107","Delta",9,101,60,2,0,172,557
59011,"Delta/Delta"," 108","Delta",11,82,63,0,0,156,445
59011,"Delta/Delta"," 109","Delta",3,67,78,0,0,148,520
59011,"Delta/Delta"," 110","Delta",3,68,73,0,1,145,428
59011,"Delta/Delta"," 111","Delta",3,43,49,3,0,98,445
59011,"Delta/Delta"," 112","Delta",2,53,87,1,0,143,501
59011,"Delta/Delta"," 113","Delta",6,23,48,0,1,78,347
59011,"Delta/Delta"," 114","Delta",6,45,77,0,0,128,459
59011,"Delta/Delta"," 115","Delta",10,58,73,0,2,143,455
59011,"Delta/Delta"," 116","Surrey",12,136,111,1,0,260,528
59011,"Delta/Delta"," 117","Surrey",12,76,92,1,0,181,506
59011,"Delta/Delta"," 118","Surrey",12,84,57,0,0,153,373
59011,"Delta/Delta"," 119","Surrey",15,152,85,0,0,252,641
59011,"Delta/Delta"," 120","Surrey",6,90,64,0,1,161,395
59011,"Delta/Delta"," 121","Surrey",13,54,82,0,3,152,343
59011,"Delta/Delta"," 122","Surrey",4,56,65,1,0,126,353
59011,"Delta/Delta"," 123","Surrey",4,85,77,0,1,167,368
59011,"Delta/Delta"," 124","Surrey",9,89,96,2,1,197,448
59011,"Delta/Delta"," 125","Delta",5,74,78,1,2,160,469
59011,"Delta/Delta"," 126","Delta",11,85,74,1,0,171,455
59011,"Delta/Delta"," 127","Delta",7,109,89,3,1,209,466
59011,"Delta/Delta"," 128","Delta",12,113,104,3,0,232,483
59011,"Delta/Delta"," 129","Delta",12,107,80,3,1,203,427
59011,"Delta/Delta"," 130","Delta",3,110,61,1,1,176,416
59011,"Delta/Delta"," 131","Delta",11,96,76,2,0,185,411
59011,"Delta/Delta"," 132","Delta",8,103,63,2,1,177,444
59011,"Delta/Delta"," 133","Delta",7,55,75,3,0,140,337
59011,"Delta/Delta"," 134","Surrey",Combined with No./Résultats combinés à ceux du n°121,,,,,,61
59011,"Delta/Delta"," 135A","Tsawwassen",Combined with No./Résultats combinés à ceux du n°136A,,,,,,55
59011,"Delta/Delta"," 135B","Tsawwassen",Combined with No./Résultats combinés à ceux du n°136B,,,,,,25
59011,"Delta/Delta"," 136A","Tsawwassen",25,135,188,1,1,350,964
59011,"Delta/Delta"," 136B","Tsawwassen",Combined with No./Résultats combinés à ceux du n°136A,,,,,,75
59011,"Delta/Delta"," 137A","Tsawwassen",8,103,92,1,0,204,787
59011,"Delta/Delta"," 137B","Tsawwassen",Combined with No./Résultats combinés à ceux du n°136B,,,,,,35
59011,"Delta/Delta"," 138A","Tsawwassen",10,140,132,3,0,285,833
59011,"Delta/Delta"," 138B","Tsawwassen",Combined with No./Résultats combinés à ceux du n°136B,,,,,,9
59011,"Delta/Delta"," 139","Delta",7,70,72,2,1,152,655
59011,"Delta/Delta"," 140","Delta",7,52,42,1,2,104,230
59011,"Delta/Delta"," 141","Delta",2,61,58,0,0,121,416
59011,"Delta/Delta"," 142","Delta",6,53,66,0,0,125,449
59011,"Delta/Delta"," 143","Surrey",6,91,119,0,0,216,553
59011,"Delta/Delta"," 144","Surrey",7,108,132,0,0,247,655
59011,"Delta/Delta"," 145","Delta",4,85,108,0,0,197,757
59011,"Delta/Delta"," 146","Delta",6,42,31,1,0,80,231
59011,"Delta/Delta"," 147","Delta",4,90,80,3,0,177,443
59011,"Delta/Delta"," 148","Delta",5,93,96,0,0,194,472
59011,"Delta/Delta"," 149","Delta",4,93,71,2,0,170,421
59011,"Delta/Delta"," 150","Delta",6,101,89,2,1,199,516
59011,"Delta/Delta"," 151","Delta",5,138,94,0,2,239,511
59011,"Delta/Delta"," 152","Delta",5,113,48,0,2,168,463
59011,"Delta/Delta"," 153","Delta",5,106,81,2,0,194,477
59011,"Delta/Delta"," 154","Delta",11,98,81,0,2,192,494
