Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Daniel Buta,Kurt Holman,Lindsay Mathyssen,Najam Naqvi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35054,"London--Fanshawe/London--Fanshawe"," 1","London",1,62,30,46,1,140,398
35054,"London--Fanshawe/London--Fanshawe"," 2","London",1,69,12,76,0,158,516
35054,"London--Fanshawe/London--Fanshawe"," 3","London",2,98,29,76,3,208,490
35054,"London--Fanshawe/London--Fanshawe"," 4","London",1,108,40,48,1,198,554
35054,"London--Fanshawe/London--Fanshawe"," 5","London",4,64,58,59,3,188,504
35054,"London--Fanshawe/London--Fanshawe"," 6","London",1,71,46,35,1,154,470
35054,"London--Fanshawe/London--Fanshawe"," 7","London",2,63,17,38,2,122,320
35054,"London--Fanshawe/London--Fanshawe"," 8","London",4,82,46,57,6,195,461
35054,"London--Fanshawe/London--Fanshawe"," 9","London",3,94,46,60,1,204,541
35054,"London--Fanshawe/London--Fanshawe"," 10","London",7,103,57,60,3,230,527
35054,"London--Fanshawe/London--Fanshawe"," 11","London",0,103,52,62,2,219,514
35054,"London--Fanshawe/London--Fanshawe"," 12","London",5,95,63,73,3,239,521
35054,"London--Fanshawe/London--Fanshawe"," 13","London",0,62,48,33,1,144,420
35054,"London--Fanshawe/London--Fanshawe"," 14","London",3,62,46,41,1,153,411
35054,"London--Fanshawe/London--Fanshawe"," 15","London",3,81,54,37,1,176,489
35054,"London--Fanshawe/London--Fanshawe"," 16","London",3,74,55,52,3,187,523
35054,"London--Fanshawe/London--Fanshawe"," 17","London",3,61,44,32,0,140,341
35054,"London--Fanshawe/London--Fanshawe"," 18","London",3,72,43,53,2,173,466
35054,"London--Fanshawe/London--Fanshawe"," 19","London",1,107,24,29,0,161,466
35054,"London--Fanshawe/London--Fanshawe"," 20","London",3,73,54,44,1,175,420
35054,"London--Fanshawe/London--Fanshawe"," 21","London",4,85,48,35,0,172,447
35054,"London--Fanshawe/London--Fanshawe"," 22","London",1,65,62,49,0,177,372
