Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Scott Arnott,Ravenmoon Crocker,Chris Galas,Larry R. Heather,Shuv Majumdar,Becki Zimmerman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48008,"Calgary Heritage/Calgary Heritage"," 1","Calgary",102,1,0,0,106,10,1,220,496
48008,"Calgary Heritage/Calgary Heritage"," 2","Calgary",96,1,0,1,157,4,0,259,469
48008,"Calgary Heritage/Calgary Heritage"," 3","Calgary",94,3,1,1,118,8,0,225,383
48008,"Calgary Heritage/Calgary Heritage"," 4","Calgary",79,4,0,0,123,10,0,216,439
48008,"Calgary Heritage/Calgary Heritage"," 5","Calgary",68,2,2,3,106,4,0,185,376
48008,"Calgary Heritage/Calgary Heritage"," 6","Calgary",79,1,2,0,127,4,1,214,423
48008,"Calgary Heritage/Calgary Heritage"," 7","Calgary",130,2,2,1,165,9,0,309,549
48008,"Calgary Heritage/Calgary Heritage"," 8","Calgary",83,1,0,0,95,4,1,184,364
48008,"Calgary Heritage/Calgary Heritage"," 9","Calgary",64,2,1,0,157,6,1,231,454
48008,"Calgary Heritage/Calgary Heritage"," 10","Calgary",54,0,1,0,109,1,1,166,347
48008,"Calgary Heritage/Calgary Heritage"," 11","Calgary",65,1,0,0,152,2,1,221,504
48008,"Calgary Heritage/Calgary Heritage"," 12","Calgary",47,1,0,1,75,4,0,128,393
48008,"Calgary Heritage/Calgary Heritage"," 13","Calgary",71,1,1,0,123,6,0,202,455
48008,"Calgary Heritage/Calgary Heritage"," 14","Calgary",99,4,0,0,133,3,0,239,498
48008,"Calgary Heritage/Calgary Heritage"," 15","Calgary",48,2,2,0,134,1,0,187,493
48008,"Calgary Heritage/Calgary Heritage"," 16","Calgary",85,2,3,0,109,4,1,204,427
48008,"Calgary Heritage/Calgary Heritage"," 17","Calgary",75,2,0,0,95,6,1,179,387
48008,"Calgary Heritage/Calgary Heritage"," 18","Calgary",86,3,2,0,114,4,0,209,512
