Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rolf Gerstenberger,Lisa Hepfner,Ken Hewitt,Monique Taylor,Bing Wong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Hamilton Mountain/Hamilton Mountain"," 1","Hamilton",1,124,89,47,1,0,262,624
35038,"Hamilton Mountain/Hamilton Mountain"," 2","Hamilton",2,112,78,30,1,1,224,575
35038,"Hamilton Mountain/Hamilton Mountain"," 3","Hamilton",0,133,86,33,4,0,256,554
35038,"Hamilton Mountain/Hamilton Mountain"," 4","Hamilton",0,130,127,39,7,1,304,583
35038,"Hamilton Mountain/Hamilton Mountain"," 5","Hamilton",1,85,106,42,3,2,239,610
35038,"Hamilton Mountain/Hamilton Mountain"," 6","Hamilton",3,72,67,27,0,5,174,380
35038,"Hamilton Mountain/Hamilton Mountain"," 7","Hamilton",2,66,57,42,1,1,169,383
35038,"Hamilton Mountain/Hamilton Mountain"," 8","Hamilton",3,136,142,51,4,0,336,631
35038,"Hamilton Mountain/Hamilton Mountain"," 9","Hamilton",0,120,146,40,2,2,310,596
35038,"Hamilton Mountain/Hamilton Mountain"," 10","Hamilton",1,108,126,42,0,1,278,605
35038,"Hamilton Mountain/Hamilton Mountain"," 11","Hamilton",1,144,108,57,3,6,319,682
35038,"Hamilton Mountain/Hamilton Mountain"," 12","Hamilton",2,100,87,26,4,2,221,557
35038,"Hamilton Mountain/Hamilton Mountain"," 13","Hamilton",5,93,87,40,5,0,230,590
35038,"Hamilton Mountain/Hamilton Mountain"," 14","Hamilton",0,186,99,40,6,3,334,601
35038,"Hamilton Mountain/Hamilton Mountain"," 15","Hamilton",1,128,77,48,0,3,257,608
35038,"Hamilton Mountain/Hamilton Mountain"," 16","Hamilton",2,160,110,46,2,2,322,580
35038,"Hamilton Mountain/Hamilton Mountain"," 17","Hamilton",0,84,95,31,2,0,212,561
35038,"Hamilton Mountain/Hamilton Mountain"," 18","Hamilton",0,99,90,52,2,1,244,641
35038,"Hamilton Mountain/Hamilton Mountain"," 19","Hamilton",1,118,150,39,3,6,317,653
35038,"Hamilton Mountain/Hamilton Mountain"," 20","Hamilton",3,107,118,47,5,3,283,648
35038,"Hamilton Mountain/Hamilton Mountain"," 21","Hamilton",0,137,126,33,2,1,299,634
35038,"Hamilton Mountain/Hamilton Mountain"," 22","Hamilton",0,94,97,32,1,1,225,515
35038,"Hamilton Mountain/Hamilton Mountain"," 23","Hamilton",0,66,82,36,4,0,188,459
35038,"Hamilton Mountain/Hamilton Mountain"," 24","Hamilton",2,56,75,40,1,1,175,471
35038,"Hamilton Mountain/Hamilton Mountain"," 25","Hamilton",2,93,149,41,2,0,287,647
35038,"Hamilton Mountain/Hamilton Mountain"," 26","Hamilton",0,109,88,25,4,0,226,476
35038,"Hamilton Mountain/Hamilton Mountain"," 27","Hamilton",2,95,118,27,0,1,243,551
35038,"Hamilton Mountain/Hamilton Mountain"," 28","Hamilton",1,117,94,36,3,0,251,623
35038,"Hamilton Mountain/Hamilton Mountain"," 29","Hamilton",0,83,122,35,1,0,241,586
35038,"Hamilton Mountain/Hamilton Mountain"," 30","Hamilton",0,142,106,59,3,0,310,701
35038,"Hamilton Mountain/Hamilton Mountain"," 31","Hamilton",0,104,119,52,7,0,282,619
35038,"Hamilton Mountain/Hamilton Mountain"," 32","Hamilton",1,67,95,40,1,0,204,444
35038,"Hamilton Mountain/Hamilton Mountain"," 33","Hamilton",0,102,106,30,5,0,243,530
35038,"Hamilton Mountain/Hamilton Mountain"," 34","Hamilton",2,95,87,46,1,0,231,573
35038,"Hamilton Mountain/Hamilton Mountain"," 35","Hamilton",1,84,77,27,3,1,193,598
35038,"Hamilton Mountain/Hamilton Mountain"," 36","Hamilton",0,79,115,29,2,1,226,551
35038,"Hamilton Mountain/Hamilton Mountain"," 37","Hamilton",0,76,100,61,3,0,240,543
35038,"Hamilton Mountain/Hamilton Mountain"," 38","Hamilton",0,105,95,26,0,3,229,507
35038,"Hamilton Mountain/Hamilton Mountain"," 39","Hamilton",0,78,109,41,1,0,229,564
35038,"Hamilton Mountain/Hamilton Mountain"," 40","Hamilton",0,76,80,36,1,2,195,554
35038,"Hamilton Mountain/Hamilton Mountain"," 41","Hamilton",0,65,66,11,2,1,145,395
35038,"Hamilton Mountain/Hamilton Mountain"," 42","Hamilton",1,71,88,27,1,0,188,545
35038,"Hamilton Mountain/Hamilton Mountain"," 43","Hamilton",0,79,103,31,1,0,214,504
35038,"Hamilton Mountain/Hamilton Mountain"," 44","Hamilton",0,101,105,27,4,0,237,632
35038,"Hamilton Mountain/Hamilton Mountain"," 45","Hamilton",0,77,61,29,4,0,171,459
35038,"Hamilton Mountain/Hamilton Mountain"," 46","Hamilton",1,104,96,18,7,0,226,618
35038,"Hamilton Mountain/Hamilton Mountain"," 47","Hamilton",0,46,66,32,2,0,146,341
35038,"Hamilton Mountain/Hamilton Mountain"," 48","Hamilton",0,114,112,43,1,0,270,543
35038,"Hamilton Mountain/Hamilton Mountain"," 49","Hamilton",0,103,136,38,2,1,280,577
35038,"Hamilton Mountain/Hamilton Mountain"," 50","Hamilton",1,109,110,52,3,3,278,595
35038,"Hamilton Mountain/Hamilton Mountain"," 51","Hamilton",1,89,83,18,2,2,195,475
35038,"Hamilton Mountain/Hamilton Mountain"," 52","Hamilton",0,79,91,29,2,4,205,488
35038,"Hamilton Mountain/Hamilton Mountain"," 53","Hamilton",1,68,93,59,0,9,230,322
35038,"Hamilton Mountain/Hamilton Mountain"," 54","Hamilton",3,81,96,32,3,1,216,482
35038,"Hamilton Mountain/Hamilton Mountain"," 55","Hamilton",0,78,64,42,1,0,185,400
35038,"Hamilton Mountain/Hamilton Mountain"," 56","Hamilton",1,95,110,35,2,4,247,576
35038,"Hamilton Mountain/Hamilton Mountain"," 57","Hamilton",0,116,88,32,2,0,238,560
35038,"Hamilton Mountain/Hamilton Mountain"," 58","Hamilton",2,60,103,22,1,1,189,460
35038,"Hamilton Mountain/Hamilton Mountain"," 59","Hamilton",0,85,75,19,2,1,182,599
35038,"Hamilton Mountain/Hamilton Mountain"," 60","Hamilton",1,76,140,36,3,1,257,494
35038,"Hamilton Mountain/Hamilton Mountain"," 61","Hamilton",0,96,114,31,0,3,244,560
35038,"Hamilton Mountain/Hamilton Mountain"," 62","Hamilton",0,71,81,17,2,2,173,502
35038,"Hamilton Mountain/Hamilton Mountain"," 63","Hamilton",1,88,116,35,3,1,244,538
35038,"Hamilton Mountain/Hamilton Mountain"," 64","Hamilton",2,121,102,27,2,2,256,516
35038,"Hamilton Mountain/Hamilton Mountain"," 65","Hamilton",1,71,73,24,3,2,174,561
35038,"Hamilton Mountain/Hamilton Mountain"," 66","Hamilton",0,87,82,15,1,0,185,562
35038,"Hamilton Mountain/Hamilton Mountain"," 67","Hamilton",2,77,99,17,1,0,196,574
35038,"Hamilton Mountain/Hamilton Mountain"," 68","Hamilton",0,68,77,23,3,0,171,512
35038,"Hamilton Mountain/Hamilton Mountain"," 69","Hamilton",3,46,91,22,3,1,166,445
35038,"Hamilton Mountain/Hamilton Mountain"," 70","Hamilton",0,69,91,33,5,2,200,421
35038,"Hamilton Mountain/Hamilton Mountain"," 71","Hamilton",1,74,71,24,3,1,174,355
35038,"Hamilton Mountain/Hamilton Mountain"," 72","Hamilton",1,83,110,35,0,3,232,378
35038,"Hamilton Mountain/Hamilton Mountain"," 73","Hamilton",3,105,84,41,0,0,233,536
35038,"Hamilton Mountain/Hamilton Mountain"," 74","Hamilton",0,96,108,32,3,35,274,584
35038,"Hamilton Mountain/Hamilton Mountain"," 75","Hamilton",1,101,74,32,6,0,214,510
35038,"Hamilton Mountain/Hamilton Mountain"," 76","Hamilton",1,53,53,23,1,1,132,484
35038,"Hamilton Mountain/Hamilton Mountain"," 77","Hamilton",0,90,106,45,3,4,248,558
35038,"Hamilton Mountain/Hamilton Mountain"," 78","Hamilton",1,100,116,26,3,1,247,611
35038,"Hamilton Mountain/Hamilton Mountain"," 79","Hamilton",1,86,94,24,3,3,211,517
35038,"Hamilton Mountain/Hamilton Mountain"," 80","Hamilton",1,62,90,7,0,1,161,367
35038,"Hamilton Mountain/Hamilton Mountain"," 81","Hamilton",1,62,102,20,0,0,185,494
35038,"Hamilton Mountain/Hamilton Mountain"," 82","Hamilton",1,85,93,19,5,1,204,462
35038,"Hamilton Mountain/Hamilton Mountain"," 83","Hamilton",0,55,31,33,2,4,125,385
35038,"Hamilton Mountain/Hamilton Mountain"," 84","Hamilton",2,57,57,8,4,0,128,490
35038,"Hamilton Mountain/Hamilton Mountain"," 85","Hamilton",1,68,83,42,1,9,204,384
35038,"Hamilton Mountain/Hamilton Mountain"," 86","Hamilton",0,73,83,48,1,4,209,574
35038,"Hamilton Mountain/Hamilton Mountain"," 87","Hamilton",1,81,98,37,0,0,217,509
35038,"Hamilton Mountain/Hamilton Mountain"," 88","Hamilton",0,77,94,24,1,10,206,494
35038,"Hamilton Mountain/Hamilton Mountain"," 89","Hamilton",0,63,83,45,3,2,196,541
35038,"Hamilton Mountain/Hamilton Mountain"," 90","Hamilton",2,72,74,15,0,2,165,470
35038,"Hamilton Mountain/Hamilton Mountain"," 91","Hamilton",1,81,79,20,1,4,186,519
35038,"Hamilton Mountain/Hamilton Mountain"," 92","Hamilton",2,70,81,45,2,0,200,558
35038,"Hamilton Mountain/Hamilton Mountain"," 93","Hamilton",0,64,109,28,1,6,208,405
