Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amber Murray,Clara Piedalue,Marc Slingerland,Chris Spearman,Nathan Svoboda,Rachael Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48029,"Lethbridge/Lethbridge"," 1","Barons",1,10,5,35,6,177,0,234,478
48029,"Lethbridge/Lethbridge"," 2","Turin",0,1,13,16,0,98,0,128,331
48029,"Lethbridge/Lethbridge"," 3","Iron Springs",1,0,22,3,2,184,0,212,347
48029,"Lethbridge/Lethbridge"," 4","Nobleford",0,1,18,16,2,162,0,199,372
48029,"Lethbridge/Lethbridge"," 5","Nobleford",1,2,37,20,4,201,0,265,410
48029,"Lethbridge/Lethbridge"," 6","Nobleford",0,0,11,28,1,202,0,242,375
48029,"Lethbridge/Lethbridge"," 7","Picture Butte",0,0,39,10,0,125,0,174,304
48029,"Lethbridge/Lethbridge"," 8","Picture Butte",1,1,15,18,4,143,0,182,352
48029,"Lethbridge/Lethbridge"," 9","Picture Butte",0,2,10,13,4,119,0,148,349
48029,"Lethbridge/Lethbridge"," 10","Picture Butte",1,0,10,10,2,110,0,133,338
48029,"Lethbridge/Lethbridge"," 11","Picture Butte",1,0,25,11,0,95,0,132,332
48029,"Lethbridge/Lethbridge"," 12","Monarch",2,2,37,33,2,255,0,331,470
48029,"Lethbridge/Lethbridge"," 13","Shaughnessy",2,0,15,6,1,87,0,111,230
48029,"Lethbridge/Lethbridge"," 14","Shaughnessy",1,1,13,28,4,95,2,144,419
48029,"Lethbridge/Lethbridge"," 15","Diamond City",0,0,18,12,3,110,0,143,367
48029,"Lethbridge/Lethbridge"," 16","Coalhurst",1,1,5,14,3,75,1,100,268
48029,"Lethbridge/Lethbridge"," 17","Coalhurst",0,1,15,18,5,114,0,153,403
48029,"Lethbridge/Lethbridge"," 18","Coalhurst",0,1,1,28,3,100,1,134,327
48029,"Lethbridge/Lethbridge"," 19","Coalhurst",0,0,3,31,3,81,0,118,335
48029,"Lethbridge/Lethbridge"," 20","Coalhurst",0,0,5,47,12,118,5,187,432
48029,"Lethbridge/Lethbridge"," 21","Coalhurst",1,0,2,20,5,89,0,117,352
48029,"Lethbridge/Lethbridge"," 22","Coalhurst",3,0,0,41,3,104,0,151,441
48029,"Lethbridge/Lethbridge"," 23","Coaldale",1,0,11,34,5,168,1,220,388
48029,"Lethbridge/Lethbridge"," 24","Coaldale",4,2,2,40,3,160,1,212,404
48029,"Lethbridge/Lethbridge"," 25","Coaldale",0,1,4,17,5,100,0,127,261
48029,"Lethbridge/Lethbridge"," 26","Coaldale",0,2,0,27,3,120,0,152,396
48029,"Lethbridge/Lethbridge"," 27","Coaldale",0,0,6,26,3,91,1,127,346
48029,"Lethbridge/Lethbridge"," 28","Diamond City",0,0,1,21,5,147,0,174,380
48029,"Lethbridge/Lethbridge"," 29","Lethbridge",2,4,2,67,7,143,3,228,551
48029,"Lethbridge/Lethbridge"," 30","Lethbridge",3,1,1,41,2,113,2,163,425
48029,"Lethbridge/Lethbridge"," 31","Lethbridge",1,1,2,34,7,78,0,123,295
48029,"Lethbridge/Lethbridge"," 32","Lethbridge",1,0,0,39,3,55,6,104,306
48029,"Lethbridge/Lethbridge"," 33","Lethbridge",3,3,1,65,8,120,0,200,411
48029,"Lethbridge/Lethbridge"," 34","Broxburn",0,2,1,20,5,93,2,123,316
48029,"Lethbridge/Lethbridge"," 35","Lethbridge",1,2,0,65,9,127,1,205,500
48029,"Lethbridge/Lethbridge"," 36","Lethbridge",1,1,0,53,12,133,1,201,485
48029,"Lethbridge/Lethbridge"," 37","Lethbridge",0,1,0,62,9,152,0,224,500
48029,"Lethbridge/Lethbridge"," 38","Lethbridge",1,0,0,37,4,85,1,128,310
48029,"Lethbridge/Lethbridge"," 39","Lethbridge",1,1,1,83,8,169,0,263,602
48029,"Lethbridge/Lethbridge"," 40","Lethbridge",1,1,0,34,6,114,2,158,358
48029,"Lethbridge/Lethbridge"," 41","Lethbridge",0,5,2,84,11,165,2,269,547
48029,"Lethbridge/Lethbridge"," 42","Lethbridge",2,3,1,43,8,95,0,152,452
48029,"Lethbridge/Lethbridge"," 43","Lethbridge",0,2,0,61,12,134,1,210,466
48029,"Lethbridge/Lethbridge"," 44","Lethbridge",2,2,0,86,15,134,2,241,553
48029,"Lethbridge/Lethbridge"," 45","Lethbridge",0,3,1,34,4,120,2,164,404
48029,"Lethbridge/Lethbridge"," 46","Lethbridge",1,2,0,43,10,122,0,178,399
48029,"Lethbridge/Lethbridge"," 47","Lethbridge",1,2,0,40,7,118,0,168,419
48029,"Lethbridge/Lethbridge"," 48","Lethbridge",1,0,1,50,5,66,0,123,333
48029,"Lethbridge/Lethbridge"," 49","Lethbridge",1,0,0,31,12,65,1,110,347
48029,"Lethbridge/Lethbridge"," 50","Lethbridge",2,1,1,38,1,96,1,140,409
48029,"Lethbridge/Lethbridge"," 51","Lethbridge",0,4,0,50,5,85,0,144,381
48029,"Lethbridge/Lethbridge"," 52","Lethbridge",1,2,2,38,11,80,0,134,400
48029,"Lethbridge/Lethbridge"," 53","Lethbridge",1,1,0,46,15,76,0,139,375
48029,"Lethbridge/Lethbridge"," 54","Lethbridge",2,0,0,75,4,137,2,220,497
48029,"Lethbridge/Lethbridge"," 55","Lethbridge",0,3,2,67,16,137,1,226,500
48029,"Lethbridge/Lethbridge"," 56","Lethbridge",1,4,0,50,9,102,1,167,474
48029,"Lethbridge/Lethbridge"," 57","Lethbridge",3,2,4,45,3,99,0,156,382
48029,"Lethbridge/Lethbridge"," 58","Lethbridge",0,1,1,41,13,95,0,151,435
48029,"Lethbridge/Lethbridge"," 59","Lethbridge",1,1,0,39,9,87,1,138,406
48029,"Lethbridge/Lethbridge"," 60","Lethbridge",1,4,2,47,13,86,0,153,423
48029,"Lethbridge/Lethbridge"," 61","Lethbridge",2,2,0,45,3,90,0,142,449
48029,"Lethbridge/Lethbridge"," 62","Lethbridge",2,1,0,38,5,66,0,112,378
48029,"Lethbridge/Lethbridge"," 63","Lethbridge",1,0,0,27,5,74,1,108,372
48029,"Lethbridge/Lethbridge"," 64","Lethbridge",4,2,0,19,6,73,0,104,329
48029,"Lethbridge/Lethbridge"," 65","Lethbridge",2,0,0,47,8,93,2,152,396
48029,"Lethbridge/Lethbridge"," 66","Lethbridge",2,1,1,37,6,110,3,160,390
48029,"Lethbridge/Lethbridge"," 67","Lethbridge",0,0,3,50,10,91,2,156,538
48029,"Lethbridge/Lethbridge"," 68","Lethbridge",4,2,1,62,9,122,3,203,481
48029,"Lethbridge/Lethbridge"," 69","Lethbridge",3,5,1,44,3,85,0,141,445
48029,"Lethbridge/Lethbridge"," 70","Lethbridge County",0,1,0,18,2,49,0,70,250
48029,"Lethbridge/Lethbridge"," 71","Lethbridge",0,0,1,30,1,78,0,110,360
48029,"Lethbridge/Lethbridge"," 72","Lethbridge County",1,1,1,40,11,68,0,122,408
48029,"Lethbridge/Lethbridge"," 73","Lethbridge",0,1,0,60,6,118,0,185,574
48029,"Lethbridge/Lethbridge"," 74","Lethbridge",1,3,1,70,13,129,1,218,570
48029,"Lethbridge/Lethbridge"," 75","Lethbridge",3,0,0,77,17,72,1,170,516
48029,"Lethbridge/Lethbridge"," 76A","Lethbridge",2,2,0,68,5,119,0,196,430
48029,"Lethbridge/Lethbridge"," 76B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,139
48029,"Lethbridge/Lethbridge"," 77","Lethbridge",0,1,1,81,7,110,1,201,618
48029,"Lethbridge/Lethbridge"," 78","Lethbridge",1,0,1,85,10,98,2,197,561
48029,"Lethbridge/Lethbridge"," 79","Lethbridge",1,0,0,59,8,107,1,176,537
48029,"Lethbridge/Lethbridge"," 80","Lethbridge County",2,1,3,57,10,89,0,162,452
48029,"Lethbridge/Lethbridge"," 81","Lethbridge",2,0,0,58,7,73,1,141,392
48029,"Lethbridge/Lethbridge"," 82","Lethbridge",2,2,1,96,7,119,2,229,573
48029,"Lethbridge/Lethbridge"," 83","Lethbridge",1,2,0,52,8,115,0,178,428
48029,"Lethbridge/Lethbridge"," 84","Lethbridge",1,0,0,55,0,79,0,135,379
48029,"Lethbridge/Lethbridge"," 85","Lethbridge",1,0,1,55,8,125,2,192,536
48029,"Lethbridge/Lethbridge"," 86","Lethbridge",0,2,3,74,7,114,0,200,577
48029,"Lethbridge/Lethbridge"," 87","Lethbridge",4,0,1,65,12,104,0,186,523
48029,"Lethbridge/Lethbridge"," 88","Lethbridge",0,0,0,82,9,98,0,189,536
48029,"Lethbridge/Lethbridge"," 89","Lethbridge",1,1,0,46,8,92,8,156,452
48029,"Lethbridge/Lethbridge"," 90","Lethbridge",1,3,0,57,8,94,0,163,444
48029,"Lethbridge/Lethbridge"," 91","Lethbridge",4,0,1,39,7,88,1,140,426
48029,"Lethbridge/Lethbridge"," 92","Lethbridge",2,1,0,39,6,101,2,151,389
48029,"Lethbridge/Lethbridge"," 93","Lethbridge",2,3,3,29,10,77,2,126,428
48029,"Lethbridge/Lethbridge"," 94","Lethbridge",3,3,0,58,13,115,4,196,476
48029,"Lethbridge/Lethbridge"," 95","Lethbridge",1,1,1,45,9,83,0,140,382
48029,"Lethbridge/Lethbridge"," 96","Lethbridge",2,3,1,33,7,44,1,91,384
48029,"Lethbridge/Lethbridge"," 97","Lethbridge",1,2,0,46,8,22,0,79,380
48029,"Lethbridge/Lethbridge"," 98","Lethbridge",2,2,1,37,7,82,0,131,405
48029,"Lethbridge/Lethbridge"," 99","Lethbridge",2,0,0,44,7,97,0,150,414
48029,"Lethbridge/Lethbridge"," 100","Lethbridge",0,1,0,53,9,92,0,155,411
48029,"Lethbridge/Lethbridge"," 101","Lethbridge",2,2,1,36,11,82,1,135,396
48029,"Lethbridge/Lethbridge"," 102","Lethbridge",1,0,0,43,12,80,0,136,390
48029,"Lethbridge/Lethbridge"," 103","Lethbridge",1,0,0,51,8,78,0,138,406
48029,"Lethbridge/Lethbridge"," 104","Lethbridge",3,1,0,45,9,40,4,102,357
48029,"Lethbridge/Lethbridge"," 105","Lethbridge",0,2,0,49,6,29,0,86,289
