Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eric-Abel Baland,Ariane Charbonneau,Vincent Leroux,George Mogiljansky,Karine Steinberger,Tim Watchorn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 1","Chertsey",4,65,27,1,2,42,4,145,471
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 2","Chertsey",1,63,21,0,4,49,3,141,444
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 3","Chertsey",2,58,21,0,1,24,0,106,316
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 4","Chertsey",4,73,27,7,9,22,5,147,436
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 5","Chertsey",1,33,15,4,0,18,5,76,317
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 6","Chertsey",2,58,36,2,2,40,3,143,451
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 7","Entrelacs",5,102,26,2,7,64,1,207,460
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 8","Entrelacs",1,102,37,2,4,94,4,244,468
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 9","Chertsey",3,57,17,7,1,24,6,115,432
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 10","Chertsey",6,65,43,4,5,39,4,166,465
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 11","Chertsey",5,71,29,7,4,39,4,159,430
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 12","Chertsey",7,57,35,2,4,35,5,145,401
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 13","Chertsey",3,70,33,3,2,26,6,143,449
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 14","Sainte-Marguerite-du-Lac-Masson",3,40,20,4,4,40,3,114,489
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 15","Sainte-Marguerite-du-Lac-Masson",6,53,27,2,0,50,1,139,477
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 16","Sainte-Marguerite-du-Lac-Masson",2,49,39,3,7,21,2,123,388
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 17","Sainte-Marguerite-du-Lac-Masson",3,60,27,4,3,77,3,177,464
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 18","Sainte-Marguerite-du-Lac-Masson",0,42,33,1,0,53,2,131,438
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 19","Sainte-Marguerite-du-Lac-Masson",6,61,43,2,2,50,0,164,478
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 20","Sainte-Marguerite-du-Lac-Masson",6,60,41,1,3,47,3,161,418
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 21","Sainte-Marguerite-du-Lac-Masson",7,54,43,1,2,56,1,164,457
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 22","Saint-Calixte",3,59,28,1,2,28,4,125,428
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 23","Saint-Calixte",5,60,48,2,2,28,7,152,434
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 24","Saint-Calixte",4,46,58,2,0,19,4,133,523
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 25","Saint-Calixte",12,59,36,6,5,31,5,154,508
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 26","Saint-Calixte",4,70,18,2,1,26,4,125,475
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 27","Saint-Calixte",7,60,54,3,1,31,9,165,459
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 28","Saint-Calixte",2,66,26,1,5,19,2,121,404
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 29A","Saint-Calixte",8,81,49,3,5,27,3,176,345
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 29B","Saint-Calixte",10,75,46,5,5,45,2,188,364
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 30","Saint-Calixte",1,48,40,4,3,32,0,128,350
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 31","Saint-Calixte",2,59,50,1,3,32,6,153,444
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 32","Saint-Calixte",3,65,59,0,2,22,7,158,417
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 33","Saint-Calixte",5,63,40,2,5,22,3,140,443
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 34","Saint-Calixte",6,74,44,3,3,31,2,163,443
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 35A","Saint-Calixte",Combined with No./Résultats combinés à ceux du n°29A,,,,,,,,125
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 35B","Saint-Calixte",Combined with No./Résultats combinés à ceux du n°29B,,,,,,,,152
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 36","Sainte-Adèle",2,62,25,1,9,59,3,161,469
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 37","Sainte-Adèle",4,57,18,3,5,54,0,141,426
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 38A","Sainte-Adèle",6,62,23,3,3,72,4,173,336
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 38B","Sainte-Adèle",5,81,38,1,4,72,1,202,337
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 39","Sainte-Adèle",3,74,27,2,6,103,5,220,579
