Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ali Bahman,Michael Guglielmin,Francesco Sorbara,Roman Yevseyev,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 1","Vaughan",0,141,80,2,2,225,429
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 2","Vaughan",10,144,77,2,1,234,499
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 3","Vaughan",6,180,76,2,0,264,609
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 4","Vaughan",2,131,138,1,1,273,568
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 5","Vaughan",1,87,71,0,1,160,552
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 6","Vaughan",2,134,89,2,2,229,687
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 7","Vaughan",6,155,56,3,0,220,678
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 8","Vaughan",2,130,81,1,2,216,563
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 9","Vaughan",2,117,65,0,0,184,527
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 10","Vaughan",0,93,75,0,0,168,542
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 11","Vaughan",2,98,66,1,0,167,442
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 12","Vaughan",2,85,49,1,0,137,435
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 13","Vaughan",6,122,65,0,2,195,593
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 14","Vaughan",2,120,72,0,4,198,649
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 15","Vaughan",5,147,78,1,0,231,684
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 16","Vaughan",1,105,79,1,0,186,580
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 17","Vaughan",4,138,42,0,0,184,540
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 18","Vaughan",4,136,74,2,1,217,600
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 19","Vaughan",1,81,64,0,1,147,417
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 20A","Vaughan",1,103,49,1,0,154,459
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 20B","Vaughan",1,108,51,0,2,162,450
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 21","Vaughan",8,107,87,2,2,206,523
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 22","Vaughan",1,87,50,2,0,140,370
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 23","Vaughan",2,111,61,0,0,174,466
