Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Brian Cameron,Thomas Gamble,Gord Johns,Teresa Knight,Chris Markevich,Kris McNichol,Jesse Musial,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59009,"Courtenay--Alberni/Courtenay--Alberni"," 1","Refuge Cove 6",2,0,8,0,0,1,0,0,11,28
59009,"Courtenay--Alberni/Courtenay--Alberni"," 2","Marktosis 15",10,0,155,0,1,1,0,0,167,374
59009,"Courtenay--Alberni/Courtenay--Alberni"," 3","Courtenay",20,1,32,0,5,8,0,0,66,390
59009,"Courtenay--Alberni/Courtenay--Alberni"," 4","Courtenay",29,0,104,1,9,54,0,0,197,535
59009,"Courtenay--Alberni/Courtenay--Alberni"," 5A","Courtenay",24,0,66,1,2,53,1,1,148,510
59009,"Courtenay--Alberni/Courtenay--Alberni"," 5B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,18
59009,"Courtenay--Alberni/Courtenay--Alberni"," 6","Courtenay",29,1,62,0,2,41,0,0,135,371
59009,"Courtenay--Alberni/Courtenay--Alberni"," 7","Courtenay",22,0,89,0,5,40,0,0,156,550
59009,"Courtenay--Alberni/Courtenay--Alberni"," 8","Courtenay",31,3,90,0,5,42,0,1,172,426
59009,"Courtenay--Alberni/Courtenay--Alberni"," 9","Courtenay",34,1,77,1,4,46,0,1,164,441
59009,"Courtenay--Alberni/Courtenay--Alberni"," 10","Courtenay",16,2,85,1,3,71,0,3,181,417
59009,"Courtenay--Alberni/Courtenay--Alberni"," 11","Courtenay",27,0,68,0,7,56,0,1,159,516
59009,"Courtenay--Alberni/Courtenay--Alberni"," 12","Courtenay",16,0,65,1,2,42,0,3,129,427
59009,"Courtenay--Alberni/Courtenay--Alberni"," 13","Courtenay",28,0,64,1,3,50,0,0,146,462
59009,"Courtenay--Alberni/Courtenay--Alberni"," 14","Courtenay",27,0,57,0,2,55,0,0,141,465
59009,"Courtenay--Alberni/Courtenay--Alberni"," 15","Courtenay",37,2,70,1,2,96,0,0,208,563
59009,"Courtenay--Alberni/Courtenay--Alberni"," 16","Courtenay",16,1,77,1,2,62,0,2,161,563
59009,"Courtenay--Alberni/Courtenay--Alberni"," 17","Courtenay",51,1,116,0,5,73,0,0,246,648
59009,"Courtenay--Alberni/Courtenay--Alberni"," 18","Courtenay",15,0,66,0,1,61,0,0,143,426
59009,"Courtenay--Alberni/Courtenay--Alberni"," 19","Courtenay",35,3,112,0,4,37,0,3,194,495
59009,"Courtenay--Alberni/Courtenay--Alberni"," 20","Courtenay",32,0,72,0,4,62,0,0,170,498
59009,"Courtenay--Alberni/Courtenay--Alberni"," 21","Courtenay",29,2,102,0,5,78,0,0,216,542
59009,"Courtenay--Alberni/Courtenay--Alberni"," 22","Courtenay",38,0,70,0,6,74,0,0,188,572
59009,"Courtenay--Alberni/Courtenay--Alberni"," 23","Courtenay",19,0,62,0,5,31,0,2,119,348
59009,"Courtenay--Alberni/Courtenay--Alberni"," 24","Courtenay",28,1,85,0,1,66,0,1,182,573
59009,"Courtenay--Alberni/Courtenay--Alberni"," 25","Courtenay",37,1,76,1,2,111,0,0,228,536
59009,"Courtenay--Alberni/Courtenay--Alberni"," 26","Cumberland",30,0,129,1,3,64,0,0,227,425
59009,"Courtenay--Alberni/Courtenay--Alberni"," 27","Cumberland",25,1,157,1,6,64,0,0,254,441
59009,"Courtenay--Alberni/Courtenay--Alberni"," 28","Cumberland",29,2,169,1,4,96,0,0,301,520
59009,"Courtenay--Alberni/Courtenay--Alberni"," 29","Cumberland",26,0,169,0,0,70,0,1,266,484
59009,"Courtenay--Alberni/Courtenay--Alberni"," 30","Cumberland",26,1,177,1,7,48,1,2,263,454
59009,"Courtenay--Alberni/Courtenay--Alberni"," 31","Cumberland",19,4,147,1,2,61,0,0,234,407
59009,"Courtenay--Alberni/Courtenay--Alberni"," 32","Cumberland",26,1,236,0,4,50,0,0,317,524
59009,"Courtenay--Alberni/Courtenay--Alberni"," 33","Cumberland",30,2,133,0,6,71,0,0,242,447
59009,"Courtenay--Alberni/Courtenay--Alberni"," 34","Comox Valley A",36,0,78,0,4,77,0,0,195,616
59009,"Courtenay--Alberni/Courtenay--Alberni"," 35","Royston",60,1,73,1,1,106,0,0,242,657
59009,"Courtenay--Alberni/Courtenay--Alberni"," 36","Royston",40,0,119,0,7,91,2,0,259,481
