Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Emily Clark,Raquel Dancho,Erik Holmes,Thomas Naaykens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 1","West St. Paul",5,110,1,55,2,173,412
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 2","West St. Paul",12,149,2,65,6,234,520
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 3","West St. Paul",10,95,0,69,0,174,379
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 4","West St. Paul",8,104,0,54,0,166,443
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 5","Blackdale",6,101,3,58,1,169,423
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 6","West St. Paul",8,110,3,70,0,191,575
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 7","Middlechurch",19,146,2,57,0,224,586
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 8","West St. Paul",19,163,2,105,0,289,656
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 9","Riverdale",5,101,1,78,0,185,465
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 10","Middlechurch",8,82,1,94,0,185,412
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 11","West St. Paul",6,80,0,43,0,129,322
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 12","West St. Paul",11,129,0,57,1,198,478
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 13","West St. Paul",14,128,1,89,0,232,548
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 14","East St. Paul",9,113,0,62,1,185,438
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 15","East St. Paul",6,61,0,47,0,114,333
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 16","East St. Paul",9,106,1,48,0,164,351
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 17","East St. Paul",5,92,2,81,1,181,429
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 18","East St. Paul",10,75,2,31,0,118,352
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 19","Melrose",10,105,4,61,1,181,469
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 20","Springfield",3,71,0,33,0,107,290
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 21","Pine Ridge",7,83,3,56,0,149,363
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 22","Springfield",7,70,2,20,0,99,375
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 23","Springfield",14,111,3,46,0,174,468
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 24","Springfield",10,85,2,23,0,120,348
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 25","East St. Paul",1,38,0,106,3,148,273
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 26","East St. Paul",1,84,0,67,1,153,359
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 27","East St. Paul",0,118,1,62,3,184,418
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 28","Winnipeg",19,142,3,121,3,288,501
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 29","Winnipeg",4,96,0,112,2,214,404
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 30","East St. Paul",7,92,4,67,0,170,460
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 31","East St. Paul",15,79,4,50,0,148,385
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 32","East St. Paul",6,86,1,68,1,162,429
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 33","Winnipeg",13,117,2,117,0,249,815
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 34","Winnipeg",11,117,0,87,4,219,591
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 35","Winnipeg",20,123,6,107,4,260,731
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 36","Winnipeg",10,76,2,80,2,170,511
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 37","Winnipeg",9,59,0,64,5,137,417
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 38","East St. Paul",5,87,2,78,0,172,351
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 39","East St. Paul",1,94,1,62,1,159,351
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 40","East St. Paul",3,77,1,46,1,128,303
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 41","East St. Paul",2,102,1,66,0,171,424
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 42","East St. Paul",5,90,1,57,2,155,384
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 43","East St. Paul",8,137,1,94,1,241,633
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 44","Winnipeg",14,108,2,73,2,199,546
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 45","Winnipeg",10,61,1,91,1,164,357
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 46","East St. Paul",1,114,2,81,1,199,457
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 47","East St. Paul",0,61,1,62,2,126,368
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 48","East St. Paul",6,143,2,85,3,239,571
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 49","Winnipeg",6,91,6,93,3,199,461
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 50","Winnipeg",8,103,4,58,0,173,540
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 51","Winnipeg",10,54,0,67,0,131,428
