Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Buckley Belanger,Jim Lemaigre,Doug Racine,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 1","Uranium City",13,12,5,0,30,102
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 1-1","Camsell Portage",Void/Supprimé,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 2","Stony Rapids",12,16,2,0,30,109
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 3","Chicken 224",Combined with No./Résultats combinés à ceux du n°4,,,,,332
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 4","Chicken 224",19,34,3,4,60,419
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 5","Fond-du-Lac",34,15,14,0,63,475
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6","Wollaston Lake",28,4,27,0,59,605
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 7","Turnor Lake",68,6,12,0,86,230
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 7-1","Turnor Lake 193B",Combined with No./Résultats combinés à ceux du n°7,,,,,133
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 8","Clearwater River Dene 222",45,40,4,0,89,534
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 9","Kinoosao-Thomas Clark 204",Combined with No./Résultats combinés à ceux du n°23,,,,,8
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 10A","La Loche",67,27,3,1,98,180
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 10B","La Loche",Combined with No./Résultats combinés à ceux du n°11B,,,,,141
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 10C","La Loche",Combined with No./Résultats combinés à ceux du n°12C,,,,,222
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 11A","La Loche",Combined with No./Résultats combinés à ceux du n°10A,,,,,230
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 11B","La Loche",79,20,7,0,106,253
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 11C","La Loche",Combined with No./Résultats combinés à ceux du n°12C,,,,,333
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12A","La Loche",Combined with No./Résultats combinés à ceux du n°10A,,,,,104
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12B","La Loche",Combined with No./Résultats combinés à ceux du n°11B,,,,,136
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12C","La Loche",101,34,9,0,144,200
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 13","Clearwater River Dene Band 221",Combined with No./Résultats combinés à ceux du n°8,,,,,67
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 13-1","Black Point",Combined with No./Résultats combinés à ceux du n°10A,,,,,3
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14A","Bear Creek",Combined with No./Résultats combinés à ceux du n°10A,,,,,12
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14B","Bear Creek",Combined with No./Résultats combinés à ceux du n°11B,,,,,2
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14C","Bear Creek",Combined with No./Résultats combinés à ceux du n°12C,,,,,6
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 15","Michel Village",10,3,0,0,13,17
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 16","Buffalo Narrows",Combined with No./Résultats combinés à ceux du n°18,,,,,242
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 16-1","Clearwater River Dene Band 223",Void/Supprimé,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 17","Buffalo Narrows",Combined with No./Résultats combinés à ceux du n°18,,,,,278
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 18","Buffalo Narrows",109,56,21,0,186,300
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 19","Buffalo River Dene Nation",90,6,1,0,97,306
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 20","Buffalo River Dene Nation",Combined with No./Résultats combinés à ceux du n°19,,,,,278
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 20-1","St. George's Hill",Combined with No./Résultats combinés à ceux du n°19,,,,,22
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 21","Brabant Lake",4,5,3,0,12,24
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 22","Wapachewunak 192D",127,9,13,3,152,246
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 22-1","Patuanak",Combined with No./Résultats combinés à ceux du n°22,,,,,213
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 23","Southend 200--Southend No. 200A",103,3,7,0,113,561
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 24","Île-à-la-Crosse",86,9,7,0,102,334
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 25","Île-à-la-Crosse",Combined with No./Résultats combinés à ceux du n°24,,,,,123
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 26","Île-à-la-Crosse",111,14,5,0,130,598
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 27","Cole Bay",35,9,3,0,47,118
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 28","Missinipe",56,9,7,0,72,36
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 28-1","Grandmother's Bay 219",Combined with No./Résultats combinés à ceux du n°28,,,,,176
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 29","Beauval--La Plonge 192",111,29,6,0,146,398
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 30","Beauval--La Plonge 192",Combined with No./Résultats combinés à ceux du n°29,,,,,183
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 31","Pinehouse",72,56,7,1,136,684
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 32","Canoe Lake 165--Wepuskow Sahgaiechan 165D",150,4,12,0,166,577
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 32-1","Jans Bay",Combined with No./Résultats combinés à ceux du n°32,,,,,30
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 33","Matheson Island",28,21,7,0,56,72
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 33-1","Morin Lake 217",Combined with No./Résultats combinés à ceux du n°33,,,,,158
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 34","Sandy Bay",62,13,21,2,98,577
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 35","Wapaskokimaw 202",Combined with No./Résultats combinés à ceux du n°34,,,,,143
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 36A","Stanley Mission",Combined with No./Résultats combinés à ceux du n°37A,,,,,27
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 36B","Stanley Mission",Combined with No./Résultats combinés à ceux du n°37B,,,,,36
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37A","Stanley 157",110,14,20,0,144,247
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37B","Stanley 157",69,8,18,1,96,162
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37-1A","Stanley 157",Combined with No./Résultats combinés à ceux du n°37A,,,,,390
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37-1B","Stanley 157",Combined with No./Résultats combinés à ceux du n°37B,,,,,260
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38","Sucker River 156C (Nemebien River 156C)",29,10,6,0,45,244
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 39","La Ronge",Combined with No./Résultats combinés à ceux du n°40,,,,,119
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 40","La Ronge",85,62,21,0,168,567
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 41A","La Ronge",74,58,18,1,151,618
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 41B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,2
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 42","La Ronge",Combined with No./Résultats combinés à ceux du n°43,,,,,379
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 43","La Ronge",81,49,20,0,150,390
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 44","Kitsakie 156B",58,37,9,1,105,343
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 45","La Ronge",Combined with No./Résultats combinés à ceux du n°44,,,,,351
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 45-1","Four Portages 157C",Void/Supprimé,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 46","Air Ronge",51,47,17,2,117,409
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 47","Air Ronge",Combined with No./Résultats combinés à ceux du n°48,,,,,225
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 48","Air Ronge",44,60,17,0,121,354
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 49A","Lac la Ronge 156",35,11,22,3,71,480
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 49B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,6
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 50A","Lac la Ronge 156",71,13,32,1,117,594
