Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Hafiz Muneeb Ahmad,Shafqat Ali,Jayesh Brahmbhatt,Mike Dancy,Avi Dhaliwal,Tim Iqbal,Teresa Yeh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 28","Brampton",0,88,2,0,0,65,6,1,162,379
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 29","Brampton",0,35,3,1,0,57,7,1,104,323
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 30","Brampton",0,85,1,4,2,79,3,4,178,404
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 31","Brampton",0,94,4,3,4,74,1,0,180,440
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 32","Brampton",0,87,0,3,0,88,0,0,178,388
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 33","Brampton",0,57,0,0,1,63,4,2,127,323
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 34","Brampton",1,74,8,0,0,80,2,4,169,401
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 35","Brampton",0,79,0,0,4,85,6,0,174,455
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 36","Brampton",0,93,2,3,3,120,5,0,226,412
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 37","Brampton",0,87,5,2,0,82,8,2,186,396
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 38","Brampton",1,71,2,3,0,99,7,2,185,401
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 39","Brampton",0,76,6,3,0,92,3,0,180,344
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 40","Brampton",1,103,2,0,1,87,2,0,196,419
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 41","Brampton",0,88,4,0,0,82,6,1,181,527
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 42","Brampton",0,99,5,1,5,90,1,4,205,473
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 43","Brampton",0,79,4,2,2,72,3,2,164,400
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 44","Brampton",0,80,4,3,2,78,3,7,177,520
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 45","Brampton",1,78,3,1,0,75,2,5,165,455
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 46","Brampton",0,105,4,0,2,126,7,0,244,458
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 47","Brampton",1,64,4,3,1,55,2,0,130,323
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 48","Brampton",0,73,3,1,3,56,3,0,139,354
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 49","Brampton",1,56,9,2,1,54,2,3,128,337
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 50","Brampton",1,117,5,1,4,92,4,1,225,478
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 51","Brampton",0,78,5,1,1,94,9,4,192,477
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 52","Brampton",1,97,6,0,0,47,6,1,158,394
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 53","Brampton",0,95,1,3,3,71,6,0,179,442
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 54","Brampton",0,49,4,4,1,58,5,0,121,298
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 55","Brampton",1,43,1,1,0,58,4,2,110,353
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 56","Brampton",0,60,0,3,1,44,2,0,110,367
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 57","Brampton",1,39,0,2,2,54,1,2,101,314
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 58","Brampton",1,52,0,2,3,64,6,0,128,365
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 59","Brampton",0,46,0,3,1,34,6,0,90,311
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 60","Brampton",1,68,4,2,0,55,3,1,134,398
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 61","Brampton",0,65,2,3,2,98,9,0,179,473
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 62","Brampton",0,89,1,3,0,66,10,0,169,469
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 63","Brampton",0,55,3,2,1,68,5,1,135,396
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 64","Brampton",0,59,1,3,1,85,2,3,154,381
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 65","Brampton",3,74,0,6,0,115,1,0,199,461
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 66","Brampton",0,84,5,3,0,112,8,0,212,432
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 67","Brampton",1,86,1,1,1,83,5,1,179,370
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 68","Brampton",0,100,5,2,1,117,6,2,233,480
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 69","Brampton",1,89,0,2,0,94,5,2,193,380
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 70","Brampton",0,124,0,1,1,120,10,3,259,523
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 71","Brampton",1,97,0,3,0,83,6,3,193,406
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 72","Brampton",0,68,3,2,2,77,6,0,158,397
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 73","Brampton",0,82,1,3,3,69,4,0,162,360
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 74","Brampton",1,85,1,1,0,92,5,6,191,514
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 75","Brampton",0,73,2,1,1,61,1,1,140,308
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 76","Brampton",1,64,10,3,1,93,8,0,180,422
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 77","Brampton",1,62,4,1,0,76,3,1,148,367
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 78","Brampton",0,74,2,5,1,70,5,0,157,343
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 79","Brampton",1,43,2,0,1,59,5,3,114,296
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 80","Brampton",0,74,3,2,0,53,1,2,135,402
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 81","Brampton",0,38,2,3,0,41,1,3,88,272
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 82","Brampton",2,67,1,6,0,62,9,0,147,455
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 83","Brampton",1,61,3,4,1,62,2,0,134,368
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 84","Brampton",0,44,10,1,1,65,5,0,126,335
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 85","Brampton",3,88,5,4,2,65,3,2,172,396
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 86","Brampton",0,54,5,1,0,62,2,0,124,399
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 87","Brampton",5,38,4,3,0,38,8,0,96,312
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 88","Brampton",4,48,3,0,0,32,3,1,91,324
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 89","Brampton",3,54,0,2,1,81,6,1,148,422
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 90","Brampton",1,110,6,4,1,136,2,5,265,564
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 91","Brampton",0,104,5,2,2,125,13,7,258,507
