Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rachel Bendayan,Rémi Lebeuf,Ève Péclet,Jonathan Pedneault,Ronan Reich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Outremont/Outremont"," 1","Montréal",100,39,34,34,10,2,219,520
24053,"Outremont/Outremont"," 2","Montréal",104,55,41,52,23,2,277,567
24053,"Outremont/Outremont"," 3","Montréal",105,44,27,45,22,1,244,531
24053,"Outremont/Outremont"," 4","Montréal",117,40,38,43,4,3,245,562
24053,"Outremont/Outremont"," 5","Montréal",108,37,32,41,21,1,240,579
24053,"Outremont/Outremont"," 6","Montréal",149,35,43,36,9,0,272,578
24053,"Outremont/Outremont"," 7","Montréal",97,51,29,28,22,0,227,565
24053,"Outremont/Outremont"," 8","Montréal",107,32,42,54,20,2,257,588
24053,"Outremont/Outremont"," 9","Montréal",131,38,38,32,31,7,277,591
24053,"Outremont/Outremont"," 10","Montréal",85,42,41,32,13,4,217,604
24053,"Outremont/Outremont"," 11","Montréal",82,43,28,28,19,1,201,518
24053,"Outremont/Outremont"," 12","Montréal",93,37,27,34,11,2,204,537
24053,"Outremont/Outremont"," 13","Montréal",103,24,33,29,16,0,205,597
24053,"Outremont/Outremont"," 14","Montréal",88,33,18,21,16,2,178,509
24053,"Outremont/Outremont"," 15","Montréal",70,23,16,34,12,2,157,455
24053,"Outremont/Outremont"," 16","Montréal",82,48,43,50,16,4,243,595
24053,"Outremont/Outremont"," 17","Montréal",91,32,26,28,15,2,194,553
24053,"Outremont/Outremont"," 18","Montréal",129,24,25,33,27,2,240,622
24053,"Outremont/Outremont"," 19","Montréal",88,27,28,27,15,2,187,537
24053,"Outremont/Outremont"," 20","Montréal",79,20,50,44,13,0,206,446
24053,"Outremont/Outremont"," 21","Montréal",111,35,40,52,13,1,252,571
24053,"Outremont/Outremont"," 22","Montréal",131,34,30,46,29,2,272,545
24053,"Outremont/Outremont"," 23","Montréal",95,25,32,29,17,2,200,483
24053,"Outremont/Outremont"," 24","Montréal",104,17,41,16,22,3,203,434
24053,"Outremont/Outremont"," 25","Montréal",90,21,30,40,25,2,208,575
24053,"Outremont/Outremont"," 26","Montréal",69,31,24,30,21,2,177,514
24053,"Outremont/Outremont"," 27","Montréal",81,32,19,38,16,2,188,510
24053,"Outremont/Outremont"," 28","Montréal",126,29,17,25,17,2,216,545
24053,"Outremont/Outremont"," 29","Montréal",119,34,34,32,17,5,241,577
24053,"Outremont/Outremont"," 30","Montréal",136,29,34,36,15,2,252,561
24053,"Outremont/Outremont"," 31","Montréal",103,19,38,37,12,3,212,495
24053,"Outremont/Outremont"," 32","Montréal",126,27,58,39,14,0,264,518
