Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Alexandrah Cardona-Fortin,Carlos Leitão,Janina Moran,Claude Tousignant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 1","Laval",16,129,45,66,4,260,580
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 2A","Laval",6,61,30,37,4,138,322
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 2B","Laval",1,62,23,42,3,131,310
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 3","Laval",13,90,43,65,10,221,502
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 4","Laval",15,109,40,49,5,218,573
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 5","Laval",18,152,37,77,6,290,504
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 6","Laval",8,138,30,64,8,248,546
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 7","Laval",9,108,56,44,7,224,551
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 8","Laval",9,83,47,56,2,197,474
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 9","Laval",4,89,54,46,3,196,380
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 10","Laval",3,113,28,30,3,177,414
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 11","Laval",12,149,54,44,8,267,557
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 12","Laval",10,110,31,25,5,181,393
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 13","Laval",7,113,40,48,2,210,453
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 14","Laval",11,112,54,63,3,243,554
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 15","Laval",13,109,58,64,3,247,465
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 16A","Laval",10,68,57,28,3,166,357
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 16B","Laval",3,62,35,30,2,132,281
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 17","Laval",10,92,43,48,1,194,404
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 18","Laval",17,199,64,46,7,333,577
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 19","Laval",7,100,49,82,0,238,603
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 20","Laval",5,123,64,41,4,237,480
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 21","Laval",12,141,68,45,4,270,581
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 22A","Laval",4,79,44,48,2,177,388
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 22B","Laval",7,72,28,36,1,144,362
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 23","Laval",10,132,56,63,10,271,506
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 24","Laval",9,143,56,74,4,286,548
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 25","Laval",7,113,51,36,2,209,449
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 26","Laval",13,177,51,62,8,311,529
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 27","Laval",12,157,58,60,4,291,580
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 28","Laval",7,204,76,47,2,336,524
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 29","Laval",9,191,104,37,1,342,558
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 30","Laval",10,211,74,70,5,370,564
