Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Félix-Antoine Brault,Arnold Downey,Neil Drabkin,Anna Gainey,Stephen Hensley,Rachel Hoffman,Malcolm Lewis-Richmond,Alex Trainman Montagano,Marc Perez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 1","Montréal",3,2,33,64,0,0,3,1,0,1,107,331
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 2","Montréal",9,2,44,97,0,0,14,1,2,1,170,514
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 3","Montréal",8,4,35,66,0,1,21,0,2,1,138,346
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 4","Montréal",6,1,54,118,0,1,7,0,0,2,189,530
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 5","Montréal",1,0,38,57,1,0,2,0,0,0,99,327
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 6","Westmount",2,2,44,58,0,0,4,0,0,0,110,391
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 7","Westmount",5,3,25,90,0,0,4,1,0,2,130,384
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 8","Westmount",4,3,47,51,0,0,4,0,0,0,109,454
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 9","Westmount",8,2,34,87,0,0,17,0,2,5,155,410
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 10","Westmount",4,5,41,97,0,0,4,0,2,0,153,478
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 11","Westmount",2,2,36,66,0,1,2,1,1,0,111,347
24052,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 12","Westmount",3,2,41,78,0,0,5,0,0,0,129,394
