Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amir Badr Eldeen,Anju Dhillon,André Lavigne,Angélique Soleil Lavoie,Katy Le Rougetel,Michael Patterson,Pauline Fleur Julie Postel,Alioune Sarr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 178","Dorval",3,69,0,7,0,1,12,38,2,132,392
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 179","Dorval",2,70,0,5,0,4,6,42,1,130,423
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 180","Dorval",2,84,0,2,0,1,10,51,0,150,393
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 181","Dorval",2,97,1,3,0,3,10,70,1,187,468
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 182","Dorval",5,118,0,7,1,0,24,55,4,214,491
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 183","Dorval",3,105,1,3,0,0,19,41,1,173,362
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 184","Dorval",2,116,0,8,0,1,30,39,2,198,427
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 185","Dorval",4,98,1,10,0,3,31,46,0,193,422
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 186","Dorval",3,130,0,9,0,1,29,43,1,216,474
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 187","Dorval",3,112,0,6,0,1,7,39,1,169,352
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 188","Dorval",6,119,2,5,1,1,16,59,0,209,521
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 189","Dorval",3,108,0,12,0,1,24,33,2,183,357
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 190","Dorval",8,174,2,8,0,3,11,51,1,258,463
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 191","Dorval",5,148,2,13,0,3,10,52,2,235,457
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 192","Dorval",5,108,1,7,1,1,9,41,0,173,372
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 193","Dorval",6,117,2,5,0,2,13,45,3,193,354
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 194","Dorval",7,144,0,7,0,2,6,43,2,211,366
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 195","Dorval",1,138,0,3,0,0,15,35,2,194,448
