Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ifra Baig,Dympna Carolan,Malalai Halimi,Jeffrey Halsall,Viktor Karklins,Kyle Seeback,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Dufferin--Caledon/Dufferin--Caledon"," 1","Mulmur",3,3,56,0,4,91,1,158,363
35025,"Dufferin--Caledon/Dufferin--Caledon"," 2","Honeywood--Mulmur",0,0,26,0,2,66,0,94,322
35025,"Dufferin--Caledon/Dufferin--Caledon"," 3","Mulmur",3,2,56,0,3,79,0,143,425
35025,"Dufferin--Caledon/Dufferin--Caledon"," 4","Mulmur--Mansfield",4,3,49,0,1,138,2,197,452
35025,"Dufferin--Caledon/Dufferin--Caledon"," 5","Mulmur--Mulmur Hills",1,5,62,0,2,116,0,186,442
35025,"Dufferin--Caledon/Dufferin--Caledon"," 6","Mulmur--Violet Hill",3,3,73,1,1,119,2,202,451
35025,"Dufferin--Caledon/Dufferin--Caledon"," 7","Melancthon",6,1,45,0,5,151,0,208,418
35025,"Dufferin--Caledon/Dufferin--Caledon"," 8","Melancthon",1,6,20,0,2,88,0,117,330
35025,"Dufferin--Caledon/Dufferin--Caledon"," 9","Horning's Mills",3,1,79,0,8,119,1,211,450
35025,"Dufferin--Caledon/Dufferin--Caledon"," 10","Melancthon",1,6,14,2,0,85,3,111,439
35025,"Dufferin--Caledon/Dufferin--Caledon"," 11","Mulmur",3,7,50,0,3,87,0,150,473
35025,"Dufferin--Caledon/Dufferin--Caledon"," 12","Horning's Mills",0,1,37,0,1,81,0,120,330
35025,"Dufferin--Caledon/Dufferin--Caledon"," 13","Melancthon",6,3,27,0,3,91,0,130,443
35025,"Dufferin--Caledon/Dufferin--Caledon"," 14","Melancthon",3,3,21,0,1,54,0,82,296
35025,"Dufferin--Caledon/Dufferin--Caledon"," 15","Shelburne",0,3,68,0,7,113,1,192,567
35025,"Dufferin--Caledon/Dufferin--Caledon"," 16","Shelburne",0,1,59,0,4,91,0,155,511
35025,"Dufferin--Caledon/Dufferin--Caledon"," 17","Shelburne",1,1,60,0,4,97,2,165,514
35025,"Dufferin--Caledon/Dufferin--Caledon"," 18","Shelburne",4,2,51,0,7,111,1,176,521
35025,"Dufferin--Caledon/Dufferin--Caledon"," 19","Shelburne",7,2,37,0,7,108,1,162,481
35025,"Dufferin--Caledon/Dufferin--Caledon"," 20","Shelburne",11,8,56,0,6,132,0,213,574
35025,"Dufferin--Caledon/Dufferin--Caledon"," 21","Shelburne",2,1,76,1,9,138,0,227,591
35025,"Dufferin--Caledon/Dufferin--Caledon"," 22A","Shelburne",2,0,50,1,5,89,0,147,447
35025,"Dufferin--Caledon/Dufferin--Caledon"," 22B","Shelburne",3,0,61,0,4,87,1,156,415
35025,"Dufferin--Caledon/Dufferin--Caledon"," 23","Shelburne",7,1,34,0,2,117,0,161,548
35025,"Dufferin--Caledon/Dufferin--Caledon"," 24","Shelburne",10,2,83,0,4,108,0,207,542
35025,"Dufferin--Caledon/Dufferin--Caledon"," 25","Mono",4,5,70,1,5,127,0,212,457
35025,"Dufferin--Caledon/Dufferin--Caledon"," 26","Mono",3,3,55,1,0,58,0,120,405
35025,"Dufferin--Caledon/Dufferin--Caledon"," 27","Mono",4,3,87,2,3,75,0,174,426
35025,"Dufferin--Caledon/Dufferin--Caledon"," 28","Mono",2,0,43,4,2,87,1,139,411
35025,"Dufferin--Caledon/Dufferin--Caledon"," 29","Mono",5,0,40,0,2,80,0,127,432
35025,"Dufferin--Caledon/Dufferin--Caledon"," 30","Mono",1,3,60,3,4,113,2,186,468
35025,"Dufferin--Caledon/Dufferin--Caledon"," 31","Mono",2,0,40,1,6,115,0,164,417
35025,"Dufferin--Caledon/Dufferin--Caledon"," 32","Mono",2,1,77,0,6,180,0,266,564
35025,"Dufferin--Caledon/Dufferin--Caledon"," 33","Mono",4,4,120,6,4,118,0,256,517
35025,"Dufferin--Caledon/Dufferin--Caledon"," 34","Mono",2,1,51,0,6,73,0,133,352
35025,"Dufferin--Caledon/Dufferin--Caledon"," 35","Amaranth",8,1,42,0,2,147,1,201,472
35025,"Dufferin--Caledon/Dufferin--Caledon"," 36","Amaranth",2,1,50,0,1,107,0,161,378
35025,"Dufferin--Caledon/Dufferin--Caledon"," 37","Shelburne",5,4,59,0,9,148,3,228,581
35025,"Dufferin--Caledon/Dufferin--Caledon"," 38","Amaranth",1,0,39,0,0,118,0,158,392
35025,"Dufferin--Caledon/Dufferin--Caledon"," 39","Amaranth",2,1,54,1,2,105,4,169,580
35025,"Dufferin--Caledon/Dufferin--Caledon"," 40","Amaranth",1,1,50,0,1,67,0,120,348
35025,"Dufferin--Caledon/Dufferin--Caledon"," 41","Amaranth",3,4,52,0,6,117,1,183,405
35025,"Dufferin--Caledon/Dufferin--Caledon"," 42","Caledon",5,5,28,1,2,92,2,135,388
35025,"Dufferin--Caledon/Dufferin--Caledon"," 43","Caledon",1,0,49,0,1,125,1,177,449
35025,"Dufferin--Caledon/Dufferin--Caledon"," 44","Caledon",5,3,47,0,2,105,0,162,452
35025,"Dufferin--Caledon/Dufferin--Caledon"," 45","Caledon",6,5,71,0,4,135,0,221,532
35025,"Dufferin--Caledon/Dufferin--Caledon"," 46","Caledon",0,3,31,1,1,115,1,152,355
35025,"Dufferin--Caledon/Dufferin--Caledon"," 47","Caledon",0,3,60,1,3,129,2,198,464
35025,"Dufferin--Caledon/Dufferin--Caledon"," 48","Caledon",2,1,61,0,6,100,0,170,542
35025,"Dufferin--Caledon/Dufferin--Caledon"," 49","Caledon",2,3,41,1,1,76,0,124,386
35025,"Dufferin--Caledon/Dufferin--Caledon"," 50","Caledon",2,3,79,1,1,103,0,189,461
35025,"Dufferin--Caledon/Dufferin--Caledon"," 51","Caledon",0,0,42,1,0,79,0,122,438
35025,"Dufferin--Caledon/Dufferin--Caledon"," 52","Caledon",1,2,55,5,3,108,0,174,464
35025,"Dufferin--Caledon/Dufferin--Caledon"," 53","Mono",1,1,68,2,4,107,0,183,482
35025,"Dufferin--Caledon/Dufferin--Caledon"," 54","Caledon",4,3,72,1,2,89,1,172,441
35025,"Dufferin--Caledon/Dufferin--Caledon"," 55","Caledon",4,3,51,1,9,93,0,161,437
35025,"Dufferin--Caledon/Dufferin--Caledon"," 56","Caledon",0,0,32,0,2,97,1,132,425
35025,"Dufferin--Caledon/Dufferin--Caledon"," 57","Caledon",1,0,30,0,0,75,0,106,296
35025,"Dufferin--Caledon/Dufferin--Caledon"," 58","Caledon",2,0,40,0,3,101,0,146,372
