Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Laurel Collins,Michael Doherty,Steve Filipovic,Cody Fraser,Will Greaves,David Mohr,Mary Moreau,Angus Ross,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59042,"Victoria/Victoria"," 1","Victoria",50,8,0,1,57,1,0,28,0,145,477
59042,"Victoria/Victoria"," 2","Victoria",67,10,1,0,75,0,0,23,1,177,517
59042,"Victoria/Victoria"," 3","Victoria",64,6,0,0,93,0,0,48,2,213,581
59042,"Victoria/Victoria"," 4","Victoria",50,6,0,0,88,3,0,41,0,188,549
59042,"Victoria/Victoria"," 5","Victoria",51,9,0,0,58,1,1,51,0,171,541
59042,"Victoria/Victoria"," 6","Victoria",32,8,0,0,42,3,0,24,1,110,376
59042,"Victoria/Victoria"," 7","Saanich",27,10,0,0,54,1,0,41,0,133,440
59042,"Victoria/Victoria"," 8","Saanich",35,12,0,0,105,0,0,37,0,189,494
59042,"Victoria/Victoria"," 9","Saanich",59,19,0,0,85,1,0,49,0,213,540
59042,"Victoria/Victoria"," 10","Saanich",47,10,0,0,105,1,0,46,1,210,551
59042,"Victoria/Victoria"," 11","Saanich",43,16,0,0,92,0,0,39,1,191,462
59042,"Victoria/Victoria"," 12","Saanich",27,10,1,0,62,1,0,30,0,131,362
59042,"Victoria/Victoria"," 13","Victoria",64,11,2,1,93,0,0,25,0,196,559
59042,"Victoria/Victoria"," 14","Victoria",51,2,0,0,41,0,0,20,1,115,421
59042,"Victoria/Victoria"," 15","Victoria",57,3,0,0,66,1,0,30,2,159,478
59042,"Victoria/Victoria"," 16","Victoria",36,4,0,0,66,0,1,27,0,134,524
59042,"Victoria/Victoria"," 17","Victoria",53,7,0,0,93,1,0,31,0,185,567
59042,"Victoria/Victoria"," 18","Victoria",58,6,1,0,74,2,0,37,0,178,562
59042,"Victoria/Victoria"," 19","Victoria",87,7,2,1,103,0,0,47,0,247,560
59042,"Victoria/Victoria"," 20","Victoria",57,10,0,0,54,0,2,35,0,158,495
59042,"Victoria/Victoria"," 21","Victoria",29,8,0,0,66,0,0,21,2,126,476
59042,"Victoria/Victoria"," 22","Victoria",29,1,0,0,53,0,0,11,0,94,348
59042,"Victoria/Victoria"," 23","Victoria",15,2,0,0,32,0,0,15,0,64,455
59042,"Victoria/Victoria"," 24","Victoria",36,5,0,0,41,0,0,22,1,105,398
59042,"Victoria/Victoria"," 25","Victoria",76,6,1,0,96,0,0,33,0,212,566
59042,"Victoria/Victoria"," 26","Victoria",31,5,0,0,43,3,0,25,2,109,452
59042,"Victoria/Victoria"," 27","Victoria",57,5,0,0,67,1,0,40,1,171,455
59042,"Victoria/Victoria"," 28","Victoria",66,14,0,0,55,1,0,23,5,164,537
59042,"Victoria/Victoria"," 29","Victoria",69,6,0,0,81,0,0,36,0,192,566
59042,"Victoria/Victoria"," 30","Victoria",65,5,0,0,60,0,1,34,1,166,562
59042,"Victoria/Victoria"," 31","Victoria",49,3,0,0,31,0,0,14,0,97,331
59042,"Victoria/Victoria"," 32A","Victoria",19,2,0,0,23,1,0,16,0,61,339
59042,"Victoria/Victoria"," 32B","Victoria",28,1,0,0,20,1,0,9,0,59,284
59042,"Victoria/Victoria"," 33","Victoria",32,1,0,0,28,0,0,18,0,79,517
59042,"Victoria/Victoria"," 34","Victoria",25,2,0,0,35,0,0,34,0,96,509
59042,"Victoria/Victoria"," 35A","Victoria",29,3,0,0,39,0,0,31,0,102,469
59042,"Victoria/Victoria"," 35B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,,66
59042,"Victoria/Victoria"," 36A","Victoria",32,4,0,0,78,0,0,22,0,136,412
59042,"Victoria/Victoria"," 36B","Victoria",24,5,2,0,39,2,0,22,0,94,312
59042,"Victoria/Victoria"," 37","Victoria",39,4,0,0,63,0,0,26,0,132,482
59042,"Victoria/Victoria"," 38A","Victoria",29,2,0,0,50,0,0,39,0,120,351
59042,"Victoria/Victoria"," 38B","Victoria",28,1,0,0,33,0,0,30,0,92,282
59042,"Victoria/Victoria"," 39","Saanich",29,8,0,0,58,1,0,22,0,118,433
59042,"Victoria/Victoria"," 40","Victoria",44,8,0,0,76,2,0,28,0,158,513
59042,"Victoria/Victoria"," 41A","Victoria",36,8,0,0,57,0,0,33,0,134,514
59042,"Victoria/Victoria"," 41B","Mobile poll/Bureau itinérant",17,4,1,1,13,0,0,8,3,47,44
59042,"Victoria/Victoria"," 42","Saanich",39,7,1,1,70,1,0,38,0,157,566
59042,"Victoria/Victoria"," 43","Victoria",40,7,0,0,60,1,0,33,0,141,477
59042,"Victoria/Victoria"," 44","Saanich",30,5,0,1,62,1,0,26,1,126,550
59042,"Victoria/Victoria"," 45","Victoria",44,7,0,0,38,0,1,16,1,107,412
59042,"Victoria/Victoria"," 46","Saanich",32,5,1,0,67,1,0,25,0,131,536
59042,"Victoria/Victoria"," 47","Victoria",44,7,0,0,45,1,0,27,0,124,537
59042,"Victoria/Victoria"," 48","Victoria",29,3,0,0,49,0,0,42,0,123,527
59042,"Victoria/Victoria"," 49","Victoria",44,4,0,0,57,0,0,28,1,134,459
59042,"Victoria/Victoria"," 50A","Victoria",29,4,0,0,52,0,0,27,1,113,466
59042,"Victoria/Victoria"," 50B","Victoria",36,5,0,0,60,1,0,33,0,135,438
59042,"Victoria/Victoria"," 51","Victoria",16,1,0,0,48,1,0,19,1,86,345
59042,"Victoria/Victoria"," 52","Victoria",20,3,0,0,69,0,0,30,0,122,578
59042,"Victoria/Victoria"," 53A","Victoria",13,3,0,0,34,0,0,20,0,70,335
59042,"Victoria/Victoria"," 53B","Victoria",10,0,0,0,35,0,0,12,0,57,385
59042,"Victoria/Victoria"," 54A","Saanich",18,8,0,0,58,2,0,29,0,115,312
59042,"Victoria/Victoria"," 54B","Saanich",16,4,0,0,50,1,1,33,1,106,291
59042,"Victoria/Victoria"," 55","Saanich",25,6,0,0,80,1,0,26,0,138,384
59042,"Victoria/Victoria"," 56","Saanich",32,2,0,0,82,0,0,30,0,146,425
59042,"Victoria/Victoria"," 57","Saanich",34,12,0,0,109,1,1,46,0,203,569
59042,"Victoria/Victoria"," 58","Saanich",10,6,0,1,87,0,0,36,0,140,549
59042,"Victoria/Victoria"," 59","Saanich",11,8,0,0,86,0,0,45,1,151,540
59042,"Victoria/Victoria"," 60","Saanich",20,3,0,0,134,0,0,41,0,198,551
59042,"Victoria/Victoria"," 61","Saanich",23,2,0,1,61,0,0,19,0,106,391
59042,"Victoria/Victoria"," 62","Oak Bay",9,2,0,0,84,0,0,42,0,137,559
59042,"Victoria/Victoria"," 63","Oak Bay",18,3,0,0,55,0,0,31,1,108,364
59042,"Victoria/Victoria"," 64","Oak Bay",10,1,0,0,54,0,0,23,1,89,431
59042,"Victoria/Victoria"," 65","Oak Bay",13,3,0,0,72,0,0,29,0,117,392
59042,"Victoria/Victoria"," 66","Oak Bay",10,0,0,0,92,1,0,66,1,170,574
59042,"Victoria/Victoria"," 67","Oak Bay",32,5,0,0,93,2,0,41,0,173,496
59042,"Victoria/Victoria"," 68","Victoria",74,8,0,1,64,2,1,31,2,183,567
59042,"Victoria/Victoria"," 69","Victoria",51,9,1,0,49,0,0,33,1,144,488
59042,"Victoria/Victoria"," 70","Victoria",39,6,0,1,46,1,0,15,1,109,434
59042,"Victoria/Victoria"," 71","Victoria",51,7,0,0,70,0,0,15,0,143,496
59042,"Victoria/Victoria"," 72","Victoria",52,6,0,0,65,0,1,21,0,145,485
59042,"Victoria/Victoria"," 73","Victoria",59,4,0,0,73,2,0,25,1,164,557
59042,"Victoria/Victoria"," 74","Victoria",42,7,0,0,60,1,0,23,0,133,488
59042,"Victoria/Victoria"," 75","Victoria",69,3,1,0,73,0,0,39,0,185,582
59042,"Victoria/Victoria"," 76","Victoria",53,3,0,1,53,1,0,15,1,127,581
59042,"Victoria/Victoria"," 77","Victoria",53,6,0,1,83,1,0,39,0,183,535
59042,"Victoria/Victoria"," 78A","Victoria",40,5,0,0,25,0,0,18,0,88,319
59042,"Victoria/Victoria"," 78B","Victoria",29,6,0,0,35,0,0,10,0,80,288
59042,"Victoria/Victoria"," 79","Victoria",59,9,0,1,49,2,0,21,0,141,562
