Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Guillaume Deschênes-Thériault,Nancy Mercier,Michel Morin,Daisy Petersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 25A","Campbellton",63,5,65,9,0,142,481
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 25B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,24
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 26","Campbellton",73,1,47,4,1,126,515
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 27","Campbellton",63,5,56,9,2,135,510
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 28","Campbellton",74,2,38,2,0,116,459
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 29","Atholville",54,2,37,6,1,100,321
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 30","Atholville",57,3,35,8,1,104,360
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 31","Atholville",49,4,33,3,3,92,292
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 32","Charlo",61,6,40,11,1,119,395
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 33","Charlo",70,3,44,2,1,120,376
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 34","Charlo",75,7,68,5,1,156,427
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 35","Eel River Crossing",56,5,34,3,0,98,347
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 36","Benjamin River",35,3,53,8,2,101,378
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 37","Tide Head",65,3,75,4,0,147,373
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 38","Tide Head",93,10,80,8,0,191,458
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 39","Maltais",99,9,84,9,4,205,376
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 40","Maltais",112,11,66,4,4,197,334
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 41","Val-d'Amour",100,7,86,10,3,206,368
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 42","Val-d'Amour",128,6,69,5,0,208,415
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 43","Glencoe",44,3,62,7,4,120,289
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 44","Saint-Arthur",85,3,40,0,0,128,256
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 45","Saint-Arthur",37,4,54,1,0,96,298
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 46","Glen Levit",48,2,80,7,0,137,321
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 47","Balmoral",69,7,43,1,0,120,359
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 48","Balmoral",77,6,58,6,2,149,410
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 49","Balmoral",94,4,81,8,1,188,400
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 50","Balmoral",73,5,48,2,2,130,397
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 51","Robinsonville",35,3,62,14,2,116,237
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 52","St-Jean-Baptiste-de-Restigouche",62,5,44,2,1,114,246
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 53","Eldon",53,3,41,2,1,100,242
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 54","Saint-Quentin",62,6,43,2,2,115,319
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 55","Saint-Quentin",75,4,52,6,4,141,404
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 56","Saint-Quentin",48,1,60,2,0,111,368
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 57","Kedgwick",88,3,43,1,0,135,383
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 58","Kedgwick River",73,3,44,1,1,122,388
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 59","Kedgwick",70,3,35,1,0,109,341
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 60","Kedgwick",72,1,34,2,0,109,355
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 61","Kedgwick",68,4,41,1,1,115,310
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 62","Saint-Quentin",70,1,40,1,2,114,364
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 63","Saint-Quentin",86,4,36,2,2,130,386
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 64","Saint-Quentin",77,2,52,3,4,138,375
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 65","Saint-Quentin",68,3,71,2,2,146,404
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 66","Saint-Joseph",116,8,136,7,2,269,439
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 67","Saint-Joseph",109,3,99,6,4,221,427
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 68","Saint-Joseph",76,3,83,5,3,170,401
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 69","Saint-Joseph",113,1,102,6,0,222,426
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 70","Rivière-Verte",92,4,78,1,0,175,398
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 71","Rivière-Verte",102,3,82,5,1,193,412
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 72","Rivière-Verte",95,3,84,5,0,187,437
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 73","Sainte-Anne",90,6,120,10,3,229,419
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 74","Sainte-Anne",Combined with No./Résultats combinés à ceux du n°75,,,,,,341
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 75","Ste-Anne-de-Madawaska",162,9,147,12,3,333,367
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 76","Sainte-Anne",60,5,86,2,2,155,414
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 77","Drummond",30,4,111,2,1,148,409
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 78","Drummond",30,0,42,1,1,74,273
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 79","Drummond",39,0,73,3,2,117,320
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 80","Drummond",29,6,68,2,2,107,326
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 81","Drummond",22,3,56,4,1,86,315
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 82","Drummond",32,3,56,1,0,92,307
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 83","Drummond",41,4,80,6,2,133,371
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 84","Notre-Dame-de-Lourdes",52,10,63,7,0,132,242
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 85","Saint-Basile",50,3,75,4,0,132,441
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 86","Edmundston",80,0,71,3,2,156,430
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 87","Edmundston",87,3,76,5,1,172,495
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 88","Edmundston",72,0,47,2,0,121,415
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 89","Saint-Jacques",79,3,62,3,1,148,439
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 90","Saint-Jacques",74,2,67,2,1,146,447
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 91","Edmundston",82,1,74,8,2,167,478
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 92","Saint-Jacques",116,2,82,5,1,206,542
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 93","Edmundston",74,0,74,3,2,153,387
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 94","Edmundston",81,0,74,2,2,159,452
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 95","Edmundston",125,3,61,1,2,192,503
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 96","Edmundston",111,3,64,3,0,181,532
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 97","Saint-Basile",56,4,64,2,0,126,426
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 98","Edmundston",74,0,54,0,0,128,433
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 99","Saint-Léonard",55,6,92,3,2,158,456
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 100","Saint-Léonard",45,1,62,3,0,111,402
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 101","Saint-Léonard",42,2,62,5,1,112,459
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 102","Saint-Léonard",44,4,105,1,4,158,449
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 103","Edmundston",63,2,64,5,5,139,401
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 104","Edmundston",56,1,84,5,1,147,406
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 105","Saint-Jacques",51,3,47,1,0,102,300
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 106","Edmundston",58,0,45,4,0,107,427
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 107","Edmundston",75,2,43,5,3,128,499
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 108","Edmundston",78,1,58,3,1,141,481
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 109","Edmundston",87,1,60,5,1,154,497
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 110","Edmundston",39,1,25,1,0,66,216
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 110-1","St. Basile 10",72,0,30,2,2,106,194
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 111A","Edmundston",82,4,55,4,0,145,512
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 111B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°528,,,,,,11
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 112","Edmundston",64,0,49,5,0,118,441
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 113","Edmundston",58,3,50,3,1,115,445
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 114","Edmundston",67,1,46,0,1,115,509
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 115","Edmundston",62,5,52,2,0,121,429
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 116","Edmundston",51,2,30,3,0,86,413
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 117","Edmundston",53,2,41,6,0,102,448
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 118","Edmundston",45,2,47,6,1,101,457
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 119","Edmundston",80,3,58,3,2,146,483
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 120","Edmundston",26,1,70,2,1,100,269
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 121","Edmundston",59,5,68,2,1,135,316
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 122","Baker Brook",41,2,77,4,0,124,282
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 123","Baker Brook",62,3,98,2,3,168,314
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 124","Saint-Hilaire",63,3,83,3,0,152,291
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 125","Saint-Hilaire",91,1,76,4,0,172,312
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 126","Saint-André",44,0,74,1,0,119,316
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 127","Saint-André",43,6,90,1,4,144,342
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 128","Saint-André",45,5,84,2,2,138,312
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 129","Saint-André",57,5,56,4,1,123,368
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 130A","Saint-André",54,2,87,2,2,147,339
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 130B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°538,,,,,,2
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 131","Lac-Baker",85,0,57,2,1,145,292
