Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Iain Black,Lewis Clarke Dahlby,Laura Dupont,Michael Peter Glenister,Ron McKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 116A","Coquitlam",52,0,3,0,21,0,76,305
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 116B","Coquitlam",33,1,5,1,19,0,59,242
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 117A","Coquitlam",41,1,10,1,22,0,75,353
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 117B","Coquitlam",29,2,5,0,22,0,58,239
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 118","Port Coquitlam",63,1,10,2,52,1,129,400
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 119","Port Coquitlam",67,3,6,0,69,0,145,506
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 120A","Port Coquitlam",39,1,2,0,36,0,78,247
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 120B","Port Coquitlam",41,1,8,0,40,0,90,264
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 121","Port Coquitlam",82,6,20,10,70,1,189,445
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 122","Port Coquitlam",101,3,37,3,70,3,217,483
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 123A","Port Coquitlam",76,1,11,0,45,0,133,311
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 123B","Port Coquitlam",45,1,9,1,32,1,89,236
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 124","Port Coquitlam",46,2,20,2,64,0,134,383
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 125","Port Coquitlam",80,3,10,0,59,0,152,414
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 126A","Port Coquitlam",43,1,9,1,40,0,94,328
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 126B","Port Coquitlam",25,3,7,0,34,0,69,254
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 127A","Port Coquitlam",43,0,9,0,52,0,104,308
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 127B","Port Coquitlam",21,2,9,1,40,1,74,247
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 128A","Port Coquitlam",53,4,15,1,39,0,112,350
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 128B","Port Coquitlam",37,1,5,0,34,0,77,255
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 129","Coquitlam 2",39,1,4,0,27,1,72,211
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 130","Port Coquitlam",81,3,15,4,66,0,169,475
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 131","Coquitlam 2",61,2,12,1,65,0,141,372
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 131-1","Coquitlam 2",Void/Supprimé,,,,,,,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 132A","Port Coquitlam",33,2,11,1,27,0,74,309
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 132B","Port Coquitlam",30,0,7,0,22,0,59,255
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 133","Port Coquitlam",56,0,23,3,56,1,139,490
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 134A","Port Coquitlam",45,0,6,1,59,0,111,330
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 134B","Port Coquitlam",30,0,3,1,23,1,58,242
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 135A","Port Coquitlam",49,1,11,1,41,1,104,302
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 135B","Port Coquitlam",45,0,3,0,60,0,108,260
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 136","Port Coquitlam",92,4,21,1,82,0,200,425
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 137","Port Coquitlam",63,4,12,1,66,3,149,352
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 138","Port Coquitlam",94,3,15,1,101,0,214,413
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 139A","Port Coquitlam",56,1,5,3,78,0,143,302
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 139B","Port Coquitlam",33,0,11,1,64,1,110,228
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 140A","Port Coquitlam",57,1,5,2,73,1,139,292
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 140B","Port Coquitlam",29,1,3,0,56,0,89,208
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 141A","Port Coquitlam",37,1,10,0,32,0,80,305
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 141B","Port Coquitlam",34,6,12,2,35,0,89,243
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 142","Port Coquitlam",67,5,19,1,69,1,162,409
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 143","Port Coquitlam",84,2,11,1,64,0,162,492
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 144A","Port Coquitlam",54,1,7,0,34,0,96,326
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 144B","Port Coquitlam",28,1,7,0,23,0,59,216
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 145","Port Coquitlam",77,3,14,4,104,1,203,433
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 146A","Port Coquitlam",28,3,5,3,32,0,71,277
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 146B","Port Coquitlam",28,2,3,3,34,1,71,240
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 147A","Port Coquitlam",34,1,3,1,52,0,91,320
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 147B","Port Coquitlam",23,1,4,0,17,0,45,229
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 148A","Port Coquitlam",29,2,7,1,41,0,80,305
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 148B","Port Coquitlam",31,1,8,0,25,0,65,269
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 149A","Port Coquitlam",33,0,8,2,34,0,77,394
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 149B","Port Coquitlam",19,1,7,0,32,0,59,301
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 150","Port Coquitlam",45,2,8,0,34,0,89,423
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 151","Port Coquitlam",61,3,17,1,54,1,137,391
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 152","Port Coquitlam",69,4,8,4,80,0,165,485
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 153","Port Coquitlam",59,0,5,3,51,2,120,436
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 154","Port Coquitlam",70,0,7,2,59,0,138,450
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 155","Port Coquitlam",74,0,18,3,71,0,166,402
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 156A","Port Coquitlam",44,2,11,1,54,0,112,305
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 156B","Port Coquitlam",47,0,11,0,42,0,100,254
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 157A","Port Coquitlam",37,0,9,0,29,0,75,282
