Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jag Anand,Rajesh Angral,Scott Calverley,Amanpreet S. Gill,Hafeez Malik,Minesh Patel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Calgary Skyview/Calgary Skyview"," 50","Calgary",0,8,4,92,93,2,2,201,581
48014,"Calgary Skyview/Calgary Skyview"," 51","Calgary",1,7,3,85,42,0,0,138,381
48014,"Calgary Skyview/Calgary Skyview"," 52","Calgary",0,4,1,78,40,0,0,123,458
48014,"Calgary Skyview/Calgary Skyview"," 53","Calgary",2,11,3,151,69,0,0,236,746
48014,"Calgary Skyview/Calgary Skyview"," 54","Calgary",0,8,68,48,0,0,0,124,570
48014,"Calgary Skyview/Calgary Skyview"," 55","Calgary",0,2,4,125,63,4,0,198,607
48014,"Calgary Skyview/Calgary Skyview"," 56","Calgary",0,3,2,72,46,0,1,124,467
48014,"Calgary Skyview/Calgary Skyview"," 57","Calgary",2,8,0,85,66,1,0,162,579
48014,"Calgary Skyview/Calgary Skyview"," 58","Calgary",1,8,2,106,56,1,1,175,576
48014,"Calgary Skyview/Calgary Skyview"," 59","Calgary",0,5,0,73,44,1,0,123,452
48014,"Calgary Skyview/Calgary Skyview"," 60","Calgary",2,4,0,70,35,2,1,114,372
48014,"Calgary Skyview/Calgary Skyview"," 61","Calgary",0,3,0,70,42,2,0,117,460
48014,"Calgary Skyview/Calgary Skyview"," 62","Calgary",4,4,1,70,49,0,0,128,438
48014,"Calgary Skyview/Calgary Skyview"," 63","Calgary",1,3,2,60,63,5,0,134,477
48014,"Calgary Skyview/Calgary Skyview"," 64","Calgary",1,5,1,74,69,1,0,151,554
48014,"Calgary Skyview/Calgary Skyview"," 65","Calgary",2,2,0,83,43,1,1,132,461
48014,"Calgary Skyview/Calgary Skyview"," 66","Calgary",0,11,3,73,43,0,0,130,486
48014,"Calgary Skyview/Calgary Skyview"," 67","Calgary",2,3,1,112,50,0,0,168,501
48014,"Calgary Skyview/Calgary Skyview"," 68","Calgary",0,3,6,90,31,0,1,131,540
48014,"Calgary Skyview/Calgary Skyview"," 69","Calgary",1,6,2,124,69,2,1,205,485
48014,"Calgary Skyview/Calgary Skyview"," 70","Calgary",1,4,2,95,47,2,0,151,424
48014,"Calgary Skyview/Calgary Skyview"," 71","Calgary",0,9,1,148,73,1,0,232,684
48014,"Calgary Skyview/Calgary Skyview"," 72","Calgary",0,6,4,157,45,0,1,213,653
48014,"Calgary Skyview/Calgary Skyview"," 73","Calgary",4,8,3,109,52,6,3,185,464
48014,"Calgary Skyview/Calgary Skyview"," 74","Calgary",0,7,3,94,49,0,0,153,447
48014,"Calgary Skyview/Calgary Skyview"," 75","Calgary",0,2,3,124,70,3,1,203,551
48014,"Calgary Skyview/Calgary Skyview"," 76","Calgary",0,6,5,128,69,0,2,210,507
48014,"Calgary Skyview/Calgary Skyview"," 77","Calgary",3,9,4,97,54,1,0,168,399
48014,"Calgary Skyview/Calgary Skyview"," 78","Calgary",1,7,6,77,43,2,0,136,378
48014,"Calgary Skyview/Calgary Skyview"," 79","Calgary",0,5,4,69,50,0,0,128,446
48014,"Calgary Skyview/Calgary Skyview"," 80","Calgary",1,4,2,88,43,0,2,140,440
48014,"Calgary Skyview/Calgary Skyview"," 81","Calgary",1,5,1,53,50,1,2,113,403
48014,"Calgary Skyview/Calgary Skyview"," 82","Calgary",1,5,4,118,62,1,2,193,661
48014,"Calgary Skyview/Calgary Skyview"," 83","Calgary",0,6,3,99,68,1,3,180,395
48014,"Calgary Skyview/Calgary Skyview"," 84","Calgary",1,5,3,75,48,1,1,134,512
48014,"Calgary Skyview/Calgary Skyview"," 85","Calgary",0,3,2,69,66,1,1,142,408
48014,"Calgary Skyview/Calgary Skyview"," 86","Calgary",2,3,4,46,51,2,0,108,420
48014,"Calgary Skyview/Calgary Skyview"," 87","Calgary",0,8,1,84,30,3,0,126,430
48014,"Calgary Skyview/Calgary Skyview"," 88","Calgary",1,4,0,69,45,0,0,119,388
48014,"Calgary Skyview/Calgary Skyview"," 89","Calgary",2,4,2,87,74,1,0,170,501
48014,"Calgary Skyview/Calgary Skyview"," 90","Calgary",2,5,3,98,53,1,3,165,498
48014,"Calgary Skyview/Calgary Skyview"," 91","Calgary",0,4,5,112,73,1,1,196,556
48014,"Calgary Skyview/Calgary Skyview"," 92","Calgary",0,11,4,82,44,0,0,141,416
48014,"Calgary Skyview/Calgary Skyview"," 93","Calgary",1,6,4,102,45,2,0,160,437
