Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Hilda Baughan,Jamie Fox,Anna Keenan,Heath MacDonald,Cassie Mackay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11004,"Malpeque/Malpeque"," 31","Kensington--Long River",1,74,8,56,3,3,145,402
11004,"Malpeque/Malpeque"," 32","Clermont",1,64,10,61,7,2,145,474
11004,"Malpeque/Malpeque"," 33","Kensington--Kelvin Grove",1,72,6,62,3,0,144,510
11004,"Malpeque/Malpeque"," 34","Kensington",0,63,7,49,3,2,124,365
11004,"Malpeque/Malpeque"," 35","Kensington",1,72,12,70,2,0,157,477
11004,"Malpeque/Malpeque"," 36","Travellers Rest",0,26,1,24,0,2,53,143
11004,"Malpeque/Malpeque"," 37","New Annan",3,66,8,66,2,0,145,430
11004,"Malpeque/Malpeque"," 38","Milton Station",0,34,4,58,0,0,96,263
11004,"Malpeque/Malpeque"," 39","Springvale",3,77,14,98,3,0,195,411
11004,"Malpeque/Malpeque"," 40","Milton Station",0,65,12,85,3,2,167,347
11004,"Malpeque/Malpeque"," 41","Darlington",5,66,10,72,2,1,156,424
11004,"Malpeque/Malpeque"," 42","Warren Grove",1,58,9,100,4,2,174,351
11004,"Malpeque/Malpeque"," 43","Breadalbane",2,117,6,110,0,1,236,493
11004,"Malpeque/Malpeque"," 44","Hampshire",1,78,10,110,1,3,203,417
11004,"Malpeque/Malpeque"," 45","Cornwall",2,51,8,66,4,0,131,420
11004,"Malpeque/Malpeque"," 46","Cornwall",0,42,6,93,6,1,148,378
11004,"Malpeque/Malpeque"," 47","Cornwall",0,45,1,92,1,1,140,458
11004,"Malpeque/Malpeque"," 48","Cornwall",1,37,9,85,1,1,134,419
11004,"Malpeque/Malpeque"," 49","Cornwall",0,51,3,115,2,1,172,455
11004,"Malpeque/Malpeque"," 50","Cornwall",1,48,1,89,1,0,140,383
11004,"Malpeque/Malpeque"," 51","Cornwall",2,69,5,116,5,2,199,524
11004,"Malpeque/Malpeque"," 52","Cornwall",0,45,3,72,3,0,123,437
11004,"Malpeque/Malpeque"," 53","Cornwall",0,78,5,83,3,0,169,492
11004,"Malpeque/Malpeque"," 54","Cornwall",0,48,6,89,0,0,143,363
11004,"Malpeque/Malpeque"," 55","Cornwall",0,73,4,106,4,1,188,451
11004,"Malpeque/Malpeque"," 56","Cornwall",1,37,4,82,3,1,128,411
11004,"Malpeque/Malpeque"," 57","Mill Valley",1,54,6,43,5,0,109,265
11004,"Malpeque/Malpeque"," 58","Emyvale",1,60,8,149,4,2,224,509
11004,"Malpeque/Malpeque"," 59","Elmwood--Riverdale",2,41,11,38,1,1,94,238
11004,"Malpeque/Malpeque"," 60","Green Bay",0,82,12,116,2,1,213,353
11004,"Malpeque/Malpeque"," 61","Freetown",1,61,9,64,0,0,135,292
11004,"Malpeque/Malpeque"," 62","Kinkora",2,53,11,67,1,1,135,343
11004,"Malpeque/Malpeque"," 63","South Freetown",0,64,4,38,0,1,107,295
11004,"Malpeque/Malpeque"," 64","Maple Plains",0,71,10,73,2,1,157,453
11004,"Malpeque/Malpeque"," 65","Kingston",0,90,12,90,4,2,198,457
11004,"Malpeque/Malpeque"," 66","Strathgartney",1,97,4,129,0,1,232,468
11004,"Malpeque/Malpeque"," 67","Hyde Point",1,74,7,102,3,1,188,457
11004,"Malpeque/Malpeque"," 68","Central Bedeque",0,44,5,38,1,1,89,167
11004,"Malpeque/Malpeque"," 69","South Melville",4,104,14,127,3,5,257,507
11004,"Malpeque/Malpeque"," 70","West River",4,92,5,132,1,1,235,442
11004,"Malpeque/Malpeque"," 70-1","Rocky Point 3",Combined with No./Résultats combinés à ceux du n°70,,,,,,,41
11004,"Malpeque/Malpeque"," 71","New Dominion",2,66,4,82,3,0,157,390
11004,"Malpeque/Malpeque"," 72","Rice Point",0,59,14,132,4,1,210,461
11004,"Malpeque/Malpeque"," 73","Cumberland",2,73,13,134,7,2,231,505
11004,"Malpeque/Malpeque"," 74","Cape Traverse",3,93,9,88,1,2,196,415
11004,"Malpeque/Malpeque"," 75","North Carleton",1,83,12,69,2,1,168,395
11004,"Malpeque/Malpeque"," 76","Borden-Carleton",2,144,5,97,2,4,254,427
11004,"Malpeque/Malpeque"," 77","Maplewood",1,108,13,130,4,1,257,467
11004,"Malpeque/Malpeque"," 78","Victoria",0,95,8,191,1,0,295,462
11004,"Malpeque/Malpeque"," 79","Tryon",2,90,11,94,4,3,204,443
11004,"Malpeque/Malpeque"," 80","Argyle Shore",2,56,6,75,1,0,140,298
11004,"Malpeque/Malpeque"," 81","Argyle Shore",0,83,15,86,1,2,187,373
11004,"Malpeque/Malpeque"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,14
11004,"Malpeque/Malpeque"," 501","Mobile poll/Bureau itinérant",1,19,2,33,1,1,57,49
11004,"Malpeque/Malpeque"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,17
11004,"Malpeque/Malpeque"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,22
11004,"Malpeque/Malpeque"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,25
11004,"Malpeque/Malpeque"," 505","Mobile poll/Bureau itinérant",1,18,1,30,2,5,57,50
11004,"Malpeque/Malpeque"," 506","Mobile poll/Bureau itinérant",0,12,5,26,2,1,46,49
11004,"Malpeque/Malpeque"," 600","Kensington",4,306,31,496,19,10,866,
11004,"Malpeque/Malpeque"," 601","Kensington--New London",4,474,52,727,15,9,1281,
11004,"Malpeque/Malpeque"," 602","North Rustico",2,417,58,939,16,16,1448,
11004,"Malpeque/Malpeque"," 603","Brackley Beach",4,425,33,786,18,9,1275,
11004,"Malpeque/Malpeque"," 604","Brackley",6,387,27,815,18,8,1261,
11004,"Malpeque/Malpeque"," 605","Miltonvale Park",1,381,43,790,14,4,1233,
11004,"Malpeque/Malpeque"," 606","Cornwall",5,433,37,1103,15,9,1602,
11004,"Malpeque/Malpeque"," 607","Rocky Point 3",0,2,0,14,1,0,17,
11004,"Malpeque/Malpeque"," 608","New Haven",3,416,49,782,8,5,1263,
11004,"Malpeque/Malpeque"," 609","Hunter River",4,240,29,454,4,2,733,
11004,"Malpeque/Malpeque"," 610","Kinkora ",5,371,34,493,6,4,913,
11004,"Malpeque/Malpeque",,Group 1/Groupe 1, 6,207,29,551,21,26,840,91
11004,"Malpeque/Malpeque",,Group 2/Groupe 2, 2,256,20,401,1,11,691,
