Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gilles Babin,Sébastien Beaulieu,Kevin Coutu,Mélanie Dorion,Marilène Gill,Marika Lalime,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 1","Schefferville",Combined with No./Résultats combinés à ceux du n°3,,,,,,,,225
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 2","Lac-John",Combined with No./Résultats combinés à ceux du n°4,,,,,,,,19
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 3","Matimekosh",0,1,60,5,1,0,1,68,382
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 4","Kawawachikamach",1,2,70,8,4,13,1,99,470
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 5","Blanc-Sablon",3,0,55,19,3,0,1,81,194
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 6","Lourdes-de-Blanc-Sablon",0,1,59,19,21,4,3,107,337
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 7","Lourdes-de-Blanc-Sablon",1,2,55,29,14,3,1,105,348
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 8","Bonne-Espérance",Combined with No./Résultats combinés à ceux du n°8-1,,,,,,,,29
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 8-1","Middle Bay",2,0,71,10,5,3,2,93,19
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 8-2","Rivière-Saint-Paul",Combined with No./Résultats combinés à ceux du n°8-1,,,,,,,,337
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 9","Vieux-Fort",0,1,76,20,5,2,0,104,241
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 10A","La Tabatière",0,0,71,14,11,1,0,97,271
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 10B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,6
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 11","Saint-Augustin",3,3,58,12,5,3,0,84,326
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 12","Pakuashipi",0,2,19,4,8,2,0,35,291
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 13","Mutton Bay",Combined with No./Résultats combinés à ceux du n°14,,,,,,,,20
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 14","Baie-des-Moutons",0,0,21,8,2,0,0,31,54
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 15","Tête-à-la-Baleine",0,0,12,4,14,0,2,32,108
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 16","La Romaine",Combined with No./Résultats combinés à ceux du n°18,,,,,,,,66
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 17","Romaine 2",2,2,12,2,3,6,2,29,630
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 18","Romaine 2",1,1,15,3,5,0,0,25,158
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 19","Fermont",1,2,8,64,29,5,2,111,275
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 20","Fermont",0,1,5,89,33,0,2,130,326
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 21","Fermont",Combined with No./Résultats combinés à ceux du n°23,,,,,,,,176
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 22","Fermont",0,0,9,65,42,1,1,118,254
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 23","Fermont",0,0,22,65,74,3,3,167,221
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 24","Fermont",0,2,7,79,50,1,1,140,303
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 25","Chevery",0,1,53,28,11,4,0,97,191
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 26A","Harrington Harbour",0,1,71,19,7,0,1,99,138
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 26B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,9
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 26-1","Étamamiou",Combined with No./Résultats combinés à ceux du n°26A,,,,,,,,16
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 26-2","Aylmer Sound",Void/Supprimé,,,,,,,,
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 27","Baie-Johan-Beetz",1,2,17,9,24,1,0,54,73
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 28","Franquelin",1,2,27,36,86,3,2,157,251
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 28-1","Caniapiscau",Void/Supprimé,,,,,,,,
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 29","Nutashkuan",0,0,38,3,3,2,0,46,402
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 30","Nutashkuan",0,0,21,2,0,1,0,24,227
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 31","Havre-Saint-Pierre",Combined with No./Résultats combinés à ceux du n°32,,,,,,,,241
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 32","Havre-Saint-Pierre",0,4,28,50,111,2,0,195,245
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 33","Havre-Saint-Pierre",0,0,12,15,64,0,1,92,322
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 34","Havre-Saint-Pierre",Combined with No./Résultats combinés à ceux du n°42,,,,,,,,226
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 35","Natashquan",0,3,14,6,43,6,2,74,210
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 36","Aguanish",1,1,15,14,86,3,4,124,210
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 37","Kegaska",0,0,44,16,10,1,0,71,107
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 38","Moisie",0,9,34,84,85,4,4,220,244
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 39","Sept-Îles",Combined with No./Résultats combinés à ceux du n°38,,,,,,,,194
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 40","Havre-Saint-Pierre",0,2,17,35,64,0,5,123,359
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 41","Havre-Saint-Pierre",0,1,22,60,138,3,1,225,491
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 42","Havre-Saint-Pierre",0,3,28,47,98,3,4,183,315
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 43","Havre-Saint-Pierre",0,0,34,48,97,1,2,182,510
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 44","Mingan",0,0,18,0,3,2,0,23,413
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 45","Longue-Pointe",1,0,28,23,79,1,1,133,324
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 46","Rivière-Saint-Jean",0,2,13,24,62,1,2,104,195
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 47","Port-Menier",0,2,9,11,33,1,1,57,171
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 48","Rivière-au-Tonnerre",0,1,30,19,53,3,1,107,235
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 49","Lac-Walker",2,11,31,56,90,3,3,196,494
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 50","Sept-Îles",0,4,16,51,52,4,0,127,364
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 51","Sept-Îles",0,2,12,47,52,0,1,114,315
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 52","Sept-Îles",0,6,8,69,75,0,2,160,366
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 53","Sept-Îles",1,5,26,58,61,3,1,155,387
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 54","Sept-Îles",1,1,23,45,49,3,1,123,334
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 55","Lac-Walker",2,7,68,101,133,3,2,316,658
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 56","Sept-Îles",0,4,41,66,119,2,3,235,526
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 57","Sept-Îles",0,9,67,69,116,1,3,265,514
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 58","Sept-Îles",1,9,57,61,99,3,2,232,472
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 59","Sept-Îles",0,3,63,55,64,0,0,185,416
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 60","Malioténam 27A",0,2,47,6,4,6,2,67,581
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 61","Maliotenam",0,1,40,1,9,4,0,55,310
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 62","Malioténam 27A",0,2,44,3,9,1,0,59,390
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 63","Sept-Îles",0,4,26,66,85,4,2,187,416
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 64","Sept-Îles",0,3,12,28,38,1,2,84,189
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 65","Sept-Îles",1,8,36,57,52,3,0,157,380
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 66","Sept-Îles",1,2,23,35,66,3,3,133,327
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 67","Uashat",Combined with No./Résultats combinés à ceux du n°68,,,,,,,,143
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 68","Uashat 27",0,2,37,9,13,5,2,68,240
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 69","Uashat 27",0,0,45,4,5,3,0,57,541
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 70","Uashat 27",0,1,23,0,6,2,0,32,298
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 71","Uashat 27",Combined with No./Résultats combinés à ceux du n°68,,,,,,,,71
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 72","Sept-Îles",0,2,50,50,76,2,1,181,409
