Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Abdus S Kissana,Jeff Lal,Maninder Sidhu,Bob Dosanjh Singh,Haramrit Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35011,"Brampton East/Brampton-Est"," 1","Brampton",1,4,33,46,4,0,88,282
35011,"Brampton East/Brampton-Est"," 2","Brampton",0,12,87,91,2,2,194,586
35011,"Brampton East/Brampton-Est"," 3","Brampton",0,1,68,80,1,2,152,484
35011,"Brampton East/Brampton-Est"," 4","Brampton",0,15,87,87,3,4,196,568
35011,"Brampton East/Brampton-Est"," 5","Brampton",0,8,67,91,2,3,171,449
35011,"Brampton East/Brampton-Est"," 6","Brampton",3,20,104,107,5,3,242,674
35011,"Brampton East/Brampton-Est"," 7","Brampton",0,6,84,71,0,2,163,499
35011,"Brampton East/Brampton-Est"," 8","Brampton",0,10,89,81,6,2,188,519
35011,"Brampton East/Brampton-Est"," 9","Brampton",0,10,105,99,8,0,222,634
35011,"Brampton East/Brampton-Est"," 10","Brampton",1,9,131,104,3,1,249,627
35011,"Brampton East/Brampton-Est"," 11","Brampton",1,7,134,117,5,3,267,623
35011,"Brampton East/Brampton-Est"," 12","Brampton",0,22,83,110,2,0,217,616
35011,"Brampton East/Brampton-Est"," 13","Brampton",1,7,110,113,2,4,237,595
35011,"Brampton East/Brampton-Est"," 14","Brampton",0,12,68,101,4,1,186,546
35011,"Brampton East/Brampton-Est"," 15","Brampton",0,6,68,88,1,1,164,408
35011,"Brampton East/Brampton-Est"," 16","Brampton",1,14,100,109,0,0,224,602
35011,"Brampton East/Brampton-Est"," 17","Brampton",0,11,88,78,4,1,182,464
35011,"Brampton East/Brampton-Est"," 18","Brampton",0,12,102,108,3,0,225,541
35011,"Brampton East/Brampton-Est"," 19","Brampton",1,9,89,137,5,1,242,579
35011,"Brampton East/Brampton-Est"," 20","Brampton",1,24,157,104,7,5,298,576
35011,"Brampton East/Brampton-Est"," 21","Brampton",0,15,95,77,1,3,191,510
35011,"Brampton East/Brampton-Est"," 22","Brampton",2,30,108,121,1,1,263,558
35011,"Brampton East/Brampton-Est"," 23","Brampton",0,7,72,96,2,3,180,454
35011,"Brampton East/Brampton-Est"," 24","Brampton",2,26,105,101,3,3,240,584
35011,"Brampton East/Brampton-Est"," 25","Brampton",0,14,112,121,1,5,253,576
35011,"Brampton East/Brampton-Est"," 26","Brampton",0,20,86,83,4,0,193,427
35011,"Brampton East/Brampton-Est"," 27","Brampton",0,6,71,81,2,2,162,486
35011,"Brampton East/Brampton-Est"," 28","Brampton",1,22,98,126,2,2,251,459
