Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Corey Curtis,Tom Osborne,Mike Peach,Kaelem Tingate,Brenda Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Cape Spear/Cape Spear"," 1","St. John's",47,85,0,1,22,0,155,557
10002,"Cape Spear/Cape Spear"," 2","St. John's",20,119,2,1,23,3,168,442
10002,"Cape Spear/Cape Spear"," 3","St. John's",39,114,0,1,16,2,172,424
10002,"Cape Spear/Cape Spear"," 4","St. John's",33,134,1,2,38,0,208,534
10002,"Cape Spear/Cape Spear"," 5","St. John's",31,118,0,4,21,2,176,406
10002,"Cape Spear/Cape Spear"," 6","St. John's",37,142,1,3,19,2,204,525
10002,"Cape Spear/Cape Spear"," 7","St. John's",32,121,0,2,17,7,179,413
10002,"Cape Spear/Cape Spear"," 8","St. John's",38,104,1,1,8,1,153,421
10002,"Cape Spear/Cape Spear"," 9","St. John's",30,76,1,0,19,0,126,400
10002,"Cape Spear/Cape Spear"," 10","St. John's",27,114,1,3,15,2,162,509
10002,"Cape Spear/Cape Spear"," 11","St. John's",56,76,0,0,11,1,144,467
10002,"Cape Spear/Cape Spear"," 12","St. John's",24,99,1,0,7,2,133,334
10002,"Cape Spear/Cape Spear"," 13","St. John's",32,59,0,1,15,2,109,382
10002,"Cape Spear/Cape Spear"," 14","St. John's",31,83,0,0,6,1,121,407
10002,"Cape Spear/Cape Spear"," 15","St. John's",38,128,0,3,15,3,187,416
10002,"Cape Spear/Cape Spear"," 16","St. John's",32,98,3,0,13,1,147,411
10002,"Cape Spear/Cape Spear"," 17","St. John's",33,109,2,3,16,1,164,437
10002,"Cape Spear/Cape Spear"," 18","St. John's",23,59,0,0,12,0,94,380
10002,"Cape Spear/Cape Spear"," 19","St. John's",25,93,1,1,16,0,136,360
10002,"Cape Spear/Cape Spear"," 20","St. John's",29,46,0,0,11,0,86,342
10002,"Cape Spear/Cape Spear"," 21","St. John's",42,96,1,2,21,3,165,409
10002,"Cape Spear/Cape Spear"," 22","St. John's",45,112,0,0,10,4,171,502
10002,"Cape Spear/Cape Spear"," 23","St. John's",51,129,0,0,9,1,190,375
10002,"Cape Spear/Cape Spear"," 24","St. John's",62,130,1,2,10,1,206,381
10002,"Cape Spear/Cape Spear"," 25","St. John's",48,157,1,0,8,2,216,386
10002,"Cape Spear/Cape Spear"," 26","St. John's",70,81,0,0,3,7,161,340
10002,"Cape Spear/Cape Spear"," 27","St. John's",29,103,0,0,18,0,150,376
10002,"Cape Spear/Cape Spear"," 28","St. John's",42,112,3,2,14,2,175,549
10002,"Cape Spear/Cape Spear"," 29","St. John's",39,129,0,2,18,4,192,536
10002,"Cape Spear/Cape Spear"," 30","St. John's",38,133,0,2,16,1,190,538
10002,"Cape Spear/Cape Spear"," 31","St. John's",26,82,1,0,8,0,117,416
10002,"Cape Spear/Cape Spear"," 32","St. John's",32,117,1,1,20,2,173,551
10002,"Cape Spear/Cape Spear"," 33","St. John's",32,95,1,0,2,0,130,382
10002,"Cape Spear/Cape Spear"," 34","St. John's",39,80,0,0,8,1,128,331
10002,"Cape Spear/Cape Spear"," 35","St. John's",58,119,2,0,10,0,189,518
10002,"Cape Spear/Cape Spear"," 36","St. John's",56,107,1,0,16,0,180,511
10002,"Cape Spear/Cape Spear"," 37","St. John's",29,111,0,0,9,2,151,561
10002,"Cape Spear/Cape Spear"," 38","St. John's",29,66,1,0,6,1,103,350
10002,"Cape Spear/Cape Spear"," 39","St. John's",65,113,0,0,11,3,192,392
10002,"Cape Spear/Cape Spear"," 40","St. John's",26,63,0,5,8,0,102,332
10002,"Cape Spear/Cape Spear"," 41","St. John's",52,151,0,1,11,4,219,522
10002,"Cape Spear/Cape Spear"," 42","St. John's",51,130,0,0,11,0,192,566
10002,"Cape Spear/Cape Spear"," 43","St. John's",46,147,1,0,5,2,201,545
10002,"Cape Spear/Cape Spear"," 44","St. John's",38,129,0,2,14,5,188,489
10002,"Cape Spear/Cape Spear"," 45","St. John's",31,132,0,0,6,1,170,366
10002,"Cape Spear/Cape Spear"," 46","St. John's",36,108,0,0,13,3,160,392
10002,"Cape Spear/Cape Spear"," 47","St. John's",38,106,0,0,7,2,153,389
10002,"Cape Spear/Cape Spear"," 48","St. John's",29,89,4,1,5,1,129,395
10002,"Cape Spear/Cape Spear"," 49","St. John's",30,45,1,2,11,1,90,369
10002,"Cape Spear/Cape Spear"," 50","St. John's",44,87,1,0,8,0,140,434
10002,"Cape Spear/Cape Spear"," 51","St. John's",41,102,0,0,11,0,154,458
10002,"Cape Spear/Cape Spear"," 52","St. John's",26,84,1,2,6,1,120,382
10002,"Cape Spear/Cape Spear"," 53","St. John's",35,110,1,0,5,1,152,406
10002,"Cape Spear/Cape Spear"," 54","St. John's",34,85,0,1,11,0,131,419
10002,"Cape Spear/Cape Spear"," 55","St. John's",56,117,2,3,15,2,195,530
10002,"Cape Spear/Cape Spear"," 56","St. John's",23,115,0,0,5,0,143,379
10002,"Cape Spear/Cape Spear"," 57","St. John's",31,111,0,0,2,3,147,364
10002,"Cape Spear/Cape Spear"," 58","St. John's",51,105,1,0,13,3,173,439
10002,"Cape Spear/Cape Spear"," 59","St. John's",45,87,0,0,4,0,136,470
10002,"Cape Spear/Cape Spear"," 60","St. John's",26,106,3,1,7,2,145,430
10002,"Cape Spear/Cape Spear"," 61","St. John's",46,74,1,1,12,0,134,371
10002,"Cape Spear/Cape Spear"," 62","Mount Pearl",29,119,0,0,8,0,156,390
10002,"Cape Spear/Cape Spear"," 63","Mount Pearl",64,110,0,0,9,1,184,507
10002,"Cape Spear/Cape Spear"," 64","Mount Pearl",96,134,2,2,8,1,243,603
10002,"Cape Spear/Cape Spear"," 65","Mount Pearl",58,89,0,2,17,1,167,381
10002,"Cape Spear/Cape Spear"," 66","Mount Pearl",59,79,0,0,9,4,151,393
10002,"Cape Spear/Cape Spear"," 67","Mount Pearl",13,40,0,0,0,3,56,320
10002,"Cape Spear/Cape Spear"," 68","Mount Pearl",59,115,0,1,9,2,186,550
10002,"Cape Spear/Cape Spear"," 69","Mount Pearl",56,112,0,3,8,2,181,515
10002,"Cape Spear/Cape Spear"," 70","Mount Pearl",76,126,0,0,11,0,213,533
10002,"Cape Spear/Cape Spear"," 71","Mount Pearl",62,117,0,1,13,0,193,501
10002,"Cape Spear/Cape Spear"," 72","St. John's",47,122,4,0,6,1,180,485
10002,"Cape Spear/Cape Spear"," 73","St. John's",55,98,0,0,12,1,166,333
10002,"Cape Spear/Cape Spear"," 74","St. John's",33,121,1,0,14,2,171,427
10002,"Cape Spear/Cape Spear"," 75","St. John's",50,74,1,0,10,0,135,364
10002,"Cape Spear/Cape Spear"," 76","St. John's",42,66,2,0,3,0,113,318
10002,"Cape Spear/Cape Spear"," 77","St. John's",58,90,0,1,24,3,176,458
10002,"Cape Spear/Cape Spear"," 78","St. John's",64,115,1,1,16,0,197,535
10002,"Cape Spear/Cape Spear"," 79","St. John's",29,113,1,0,10,0,153,488
10002,"Cape Spear/Cape Spear"," 80","Mount Pearl",53,95,2,0,8,0,158,508
10002,"Cape Spear/Cape Spear"," 81","Mount Pearl",39,66,1,0,12,0,118,339
10002,"Cape Spear/Cape Spear"," 82","Mount Pearl",65,84,0,0,10,1,160,445
10002,"Cape Spear/Cape Spear"," 83","Mount Pearl",31,90,1,0,8,2,132,420
10002,"Cape Spear/Cape Spear"," 84","Mount Pearl",43,84,0,0,6,1,134,375
10002,"Cape Spear/Cape Spear"," 85","St. John's",50,109,1,2,8,1,171,414
10002,"Cape Spear/Cape Spear"," 86","Petty Harbour-Maddox Cove",70,134,1,0,13,6,224,467
10002,"Cape Spear/Cape Spear"," 87","Petty Harbour-Maddox Cove",42,116,1,1,6,2,168,339
10002,"Cape Spear/Cape Spear"," 88","Paradise",86,141,2,3,2,1,235,531
10002,"Cape Spear/Cape Spear"," 89","Paradise",53,130,1,1,12,2,199,463
10002,"Cape Spear/Cape Spear"," 90","Paradise",96,91,0,0,6,1,194,495
10002,"Cape Spear/Cape Spear"," 91","Paradise",52,104,0,1,9,1,167,390
10002,"Cape Spear/Cape Spear"," 92","Paradise",68,105,1,0,16,0,190,528
10002,"Cape Spear/Cape Spear"," 93","Paradise",77,122,0,0,7,0,206,455
10002,"Cape Spear/Cape Spear"," 94","Paradise",48,72,1,0,19,1,141,404
10002,"Cape Spear/Cape Spear"," 95","Paradise",48,106,1,1,4,1,161,405
10002,"Cape Spear/Cape Spear"," 96","Paradise",49,100,0,0,5,2,156,404
10002,"Cape Spear/Cape Spear"," 97","Paradise",66,109,2,0,9,1,187,483
10002,"Cape Spear/Cape Spear"," 98","Paradise",63,112,1,1,8,4,189,439
10002,"Cape Spear/Cape Spear"," 99","St. John's",73,88,0,0,11,0,172,483
10002,"Cape Spear/Cape Spear"," 100","Paradise",84,99,0,0,8,1,192,538
10002,"Cape Spear/Cape Spear"," 101","Paradise",52,66,2,0,4,0,124,358
10002,"Cape Spear/Cape Spear"," 102","Paradise",57,97,1,0,9,0,164,499
10002,"Cape Spear/Cape Spear"," 103","Paradise",101,111,2,1,13,1,229,646
10002,"Cape Spear/Cape Spear"," 104","Paradise",62,85,0,3,4,2,156,482
10002,"Cape Spear/Cape Spear"," 105","Mount Pearl",48,101,0,0,13,1,163,435
10002,"Cape Spear/Cape Spear"," 106","St. John's",68,151,1,0,6,1,227,528
10002,"Cape Spear/Cape Spear"," 107","Mount Pearl",28,89,0,2,10,0,129,400
10002,"Cape Spear/Cape Spear"," 108","Mount Pearl",38,68,0,0,12,0,118,404
10002,"Cape Spear/Cape Spear"," 109","Paradise",84,84,1,0,13,2,184,460
10002,"Cape Spear/Cape Spear"," 110","Paradise",62,81,0,0,5,1,149,397
10002,"Cape Spear/Cape Spear"," 111","Mount Pearl",58,134,1,0,15,3,211,545
10002,"Cape Spear/Cape Spear"," 112","Mount Pearl",28,78,0,0,8,2,116,315
10002,"Cape Spear/Cape Spear"," 113","Mount Pearl",56,129,0,1,15,3,204,512
10002,"Cape Spear/Cape Spear"," 114","Mount Pearl",69,117,2,3,10,0,201,523
10002,"Cape Spear/Cape Spear"," 115","Mount Pearl",39,131,1,0,6,0,177,416
10002,"Cape Spear/Cape Spear"," 116","Mount Pearl",32,88,0,0,11,1,132,417
10002,"Cape Spear/Cape Spear"," 117","Mount Pearl",33,142,0,0,9,2,186,460
10002,"Cape Spear/Cape Spear"," 118","Mount Pearl",30,85,0,1,3,1,120,364
10002,"Cape Spear/Cape Spear"," 119","Mount Pearl",60,140,1,0,10,3,214,519
10002,"Cape Spear/Cape Spear"," 120","Mount Pearl",60,99,3,2,16,3,183,497
10002,"Cape Spear/Cape Spear"," 121","Mount Pearl",19,70,0,1,5,1,96,342
10002,"Cape Spear/Cape Spear"," 122","Mount Pearl",37,73,1,0,8,0,119,362
10002,"Cape Spear/Cape Spear"," 123","Mount Pearl",65,115,0,0,14,1,195,505
10002,"Cape Spear/Cape Spear"," 124","Mount Pearl",62,133,3,0,7,0,205,560
10002,"Cape Spear/Cape Spear"," 125","Mount Pearl",50,88,1,0,9,0,148,394
10002,"Cape Spear/Cape Spear"," 126","Mount Pearl",62,134,2,1,13,0,212,526
10002,"Cape Spear/Cape Spear"," 127","Mount Pearl",58,174,0,0,6,2,240,519
10002,"Cape Spear/Cape Spear"," 128","St. John's",42,111,0,0,16,0,169,412
10002,"Cape Spear/Cape Spear"," 129","Mount Pearl",44,140,0,0,24,1,209,531
10002,"Cape Spear/Cape Spear"," 130","Mount Pearl",48,117,0,0,23,1,189,475
10002,"Cape Spear/Cape Spear"," 131","Mount Pearl",43,124,1,1,9,1,179,406
10002,"Cape Spear/Cape Spear"," 132","Mount Pearl",32,104,1,1,9,0,147,356
10002,"Cape Spear/Cape Spear"," 133","Mount Pearl",49,108,0,1,3,0,161,382
10002,"Cape Spear/Cape Spear"," 134","Mount Pearl",55,125,0,0,12,0,192,541
10002,"Cape Spear/Cape Spear"," 135","Paradise",90,129,0,0,13,3,235,476
10002,"Cape Spear/Cape Spear"," 136","Paradise",65,108,0,0,8,0,181,438
10002,"Cape Spear/Cape Spear"," 137","Paradise",90,116,0,0,4,0,210,623
10002,"Cape Spear/Cape Spear"," 138","Paradise",66,154,0,0,8,0,228,521
10002,"Cape Spear/Cape Spear"," 139","Paradise",80,127,1,0,3,0,211,598
10002,"Cape Spear/Cape Spear"," 140","Paradise",63,112,0,1,7,0,183,466
10002,"Cape Spear/Cape Spear"," 141","Paradise",81,78,1,1,8,1,170,485
10002,"Cape Spear/Cape Spear"," 142","Paradise",80,148,0,0,8,5,241,516
10002,"Cape Spear/Cape Spear"," 143","Paradise",77,98,1,0,8,3,187,601
10002,"Cape Spear/Cape Spear"," 144","Paradise",63,91,0,0,7,1,162,480
10002,"Cape Spear/Cape Spear"," 145","Paradise",67,95,3,0,11,1,177,463
10002,"Cape Spear/Cape Spear"," 146","Paradise",50,115,0,1,4,0,170,363
10002,"Cape Spear/Cape Spear"," 147","Paradise",82,136,0,0,8,1,227,524
10002,"Cape Spear/Cape Spear"," 148","Paradise",52,105,0,0,10,0,167,413
10002,"Cape Spear/Cape Spear"," 149","Paradise",91,108,1,0,8,0,208,453
