Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Joe Byrne,Sean Casey,Daniel Cousins,Natalie Jameson,Robert Lucas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11002,"Charlottetown/Charlottetown"," 1","Union Road--York",11,67,4,71,2,2,157,425
11002,"Charlottetown/Charlottetown"," 2","Charlottetown",12,179,3,120,2,2,318,555
11002,"Charlottetown/Charlottetown"," 3","Charlottetown",4,124,2,100,3,2,235,493
11002,"Charlottetown/Charlottetown"," 4","Charlottetown",9,162,3,106,3,4,287,580
11002,"Charlottetown/Charlottetown"," 5","Charlottetown",7,146,2,85,0,0,240,538
11002,"Charlottetown/Charlottetown"," 6","Charlottetown",5,91,1,67,1,1,166,380
11002,"Charlottetown/Charlottetown"," 7","Charlottetown",6,113,1,91,0,0,211,572
11002,"Charlottetown/Charlottetown"," 8","Charlottetown",5,80,1,54,0,0,140,354
11002,"Charlottetown/Charlottetown"," 9","Charlottetown",5,102,2,73,0,4,186,454
11002,"Charlottetown/Charlottetown"," 10","Charlottetown",11,141,1,54,1,1,209,441
11002,"Charlottetown/Charlottetown"," 11","Charlottetown",11,151,2,56,2,0,222,493
11002,"Charlottetown/Charlottetown"," 12","Charlottetown",4,88,3,74,1,2,172,367
11002,"Charlottetown/Charlottetown"," 13","Charlottetown",6,93,1,58,2,2,162,459
11002,"Charlottetown/Charlottetown"," 14","Charlottetown",5,104,0,63,1,3,176,448
11002,"Charlottetown/Charlottetown"," 15","Charlottetown",6,82,4,60,2,3,157,407
11002,"Charlottetown/Charlottetown"," 16","Charlottetown",3,75,5,97,0,0,180,435
11002,"Charlottetown/Charlottetown"," 17","Charlottetown",11,123,3,64,1,0,202,475
11002,"Charlottetown/Charlottetown"," 18","Charlottetown",3,134,6,98,0,2,243,505
11002,"Charlottetown/Charlottetown"," 19","Charlottetown",14,125,4,86,2,2,233,485
11002,"Charlottetown/Charlottetown"," 20","Charlottetown",6,66,7,76,0,1,156,475
11002,"Charlottetown/Charlottetown"," 21","Charlottetown",12,136,0,57,1,2,208,471
11002,"Charlottetown/Charlottetown"," 22","Charlottetown",12,135,3,56,2,1,209,482
11002,"Charlottetown/Charlottetown"," 23","Charlottetown",3,75,2,29,1,2,112,447
11002,"Charlottetown/Charlottetown"," 24","Charlottetown",7,64,2,42,3,1,119,491
11002,"Charlottetown/Charlottetown"," 25","Charlottetown",9,59,4,47,2,0,121,367
11002,"Charlottetown/Charlottetown"," 26","Charlottetown",2,68,1,35,0,2,108,340
11002,"Charlottetown/Charlottetown"," 27","Charlottetown",7,72,1,25,1,2,108,352
11002,"Charlottetown/Charlottetown"," 28","Charlottetown",8,91,1,45,2,1,148,422
11002,"Charlottetown/Charlottetown"," 29","Charlottetown",6,68,3,33,3,0,113,446
11002,"Charlottetown/Charlottetown"," 30","Charlottetown",20,90,3,46,2,7,168,435
11002,"Charlottetown/Charlottetown"," 31","Charlottetown",11,116,2,40,2,2,173,454
11002,"Charlottetown/Charlottetown"," 32","Charlottetown",15,73,2,36,1,0,127,398
11002,"Charlottetown/Charlottetown"," 33","Charlottetown",13,115,3,50,0,0,181,386
11002,"Charlottetown/Charlottetown"," 34","Charlottetown",10,117,5,85,2,1,220,570
11002,"Charlottetown/Charlottetown"," 35","Charlottetown",3,87,1,61,0,0,152,334
11002,"Charlottetown/Charlottetown"," 36","Charlottetown",4,82,0,51,1,4,142,399
11002,"Charlottetown/Charlottetown"," 37","Charlottetown",4,121,3,65,1,0,194,540
11002,"Charlottetown/Charlottetown"," 38","Charlottetown",5,88,4,56,1,1,155,371
11002,"Charlottetown/Charlottetown"," 39","Charlottetown",3,116,3,59,2,1,184,499
11002,"Charlottetown/Charlottetown"," 40","Charlottetown",5,111,1,52,0,3,172,456
11002,"Charlottetown/Charlottetown"," 41","Charlottetown",1,76,3,46,0,2,128,365
11002,"Charlottetown/Charlottetown"," 42","Charlottetown",6,84,1,56,1,0,148,408
11002,"Charlottetown/Charlottetown"," 43","Charlottetown",6,59,4,37,0,0,106,413
11002,"Charlottetown/Charlottetown"," 44","Charlottetown",5,53,2,44,0,0,104,407
11002,"Charlottetown/Charlottetown"," 45","Charlottetown",13,46,3,20,3,0,85,311
11002,"Charlottetown/Charlottetown"," 46","Charlottetown",7,78,4,21,0,1,111,393
11002,"Charlottetown/Charlottetown"," 47","Charlottetown",3,117,2,45,1,0,168,478
11002,"Charlottetown/Charlottetown"," 48","Charlottetown",4,83,2,42,1,0,132,457
11002,"Charlottetown/Charlottetown"," 49","Charlottetown",15,74,4,28,3,4,128,415
11002,"Charlottetown/Charlottetown"," 50","Charlottetown",8,85,1,40,6,1,141,448
11002,"Charlottetown/Charlottetown"," 51","Charlottetown",17,99,1,34,1,3,155,478
11002,"Charlottetown/Charlottetown"," 52","Charlottetown",3,76,2,42,0,1,124,469
11002,"Charlottetown/Charlottetown"," 53","Charlottetown",11,89,0,27,1,0,128,447
11002,"Charlottetown/Charlottetown"," 54","Charlottetown",8,68,2,37,1,1,117,419
11002,"Charlottetown/Charlottetown"," 55","Charlottetown",12,84,3,29,0,1,129,428
11002,"Charlottetown/Charlottetown"," 56","Charlottetown",3,73,0,20,0,3,99,354
11002,"Charlottetown/Charlottetown"," 57","Charlottetown",7,79,2,30,0,1,119,396
11002,"Charlottetown/Charlottetown"," 58","Charlottetown",5,75,0,30,2,0,112,458
11002,"Charlottetown/Charlottetown"," 59","Charlottetown",9,140,5,37,2,7,200,543
11002,"Charlottetown/Charlottetown"," 60","Charlottetown",8,107,3,32,1,1,152,495
11002,"Charlottetown/Charlottetown"," 61","Charlottetown",8,104,1,47,2,0,162,496
11002,"Charlottetown/Charlottetown"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,29
11002,"Charlottetown/Charlottetown"," 501","Mobile poll/Bureau itinérant",46,349,23,157,14,20,609,110
11002,"Charlottetown/Charlottetown"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,70
11002,"Charlottetown/Charlottetown"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,17
11002,"Charlottetown/Charlottetown"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,114
11002,"Charlottetown/Charlottetown"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,74
11002,"Charlottetown/Charlottetown"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,17
11002,"Charlottetown/Charlottetown"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,10
11002,"Charlottetown/Charlottetown"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,48
11002,"Charlottetown/Charlottetown"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,98
11002,"Charlottetown/Charlottetown"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,58
11002,"Charlottetown/Charlottetown"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,66
11002,"Charlottetown/Charlottetown"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,30
11002,"Charlottetown/Charlottetown"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,26
