Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kathleen Code,Blair Herbert,Jeff Kibble,Alistair MacGregor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 29","North Cowichan",2,14,50,24,1,91,333
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 30","North Cowichan",9,34,72,44,0,159,447
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 31","North Cowichan",3,43,128,73,1,248,598
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 32","Sahtlam",4,22,77,45,0,148,402
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 33","North Cowichan",5,25,64,59,1,154,530
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 34","North Cowichan",0,21,59,45,0,125,361
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 35","North Cowichan",4,40,101,82,1,228,681
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 36","North Cowichan",3,15,59,48,0,125,430
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 37","Sahtlam",1,24,40,42,0,107,351
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 38","North Cowichan",1,39,102,61,0,203,550
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 39A","North Cowichan",5,45,69,39,0,158,424
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 39B","Mobile poll/Bureau itinérant",4,28,26,25,0,83,85
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 40","North Cowichan",6,64,124,99,0,293,692
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 41","North Cowichan",6,21,66,79,1,173,518
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 42","North Cowichan",5,32,46,78,1,162,505
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 43","North Cowichan",2,27,44,48,0,121,337
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 44","North Cowichan",1,40,49,62,1,153,423
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 45","North Cowichan",4,31,42,53,0,130,405
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 46","North Cowichan",4,28,61,77,0,170,471
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 47","North Cowichan",2,17,41,41,0,101,337
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 48","North Cowichan",1,41,47,40,0,129,435
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 49","North Cowichan",2,4,24,45,0,75,250
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 50","Honeymoon Bay--Caycuse",7,32,95,59,0,193,344
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 51A","Honeymoon Bay",6,24,63,30,3,126,310
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 51B","Honeymoon Bay",8,17,43,56,0,124,170
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 51-1","Gorden River 2",Combined with No./Résultats combinés à ceux du n°51B,,,,,,79
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 52","North Cowichan",1,21,39,34,0,95,364
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 53","Duncan",5,19,52,64,2,142,423
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 54","Duncan",1,12,40,62,2,117,368
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 55","North Cowichan",2,27,39,47,0,115,378
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 56","North Cowichan",4,9,37,29,1,80,437
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 57","North Cowichan",2,10,35,37,0,84,342
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 58","Duncan",5,13,40,33,2,93,365
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 59","Duncan",3,26,46,44,1,120,385
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 60","Duncan",0,13,21,36,0,70,350
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 61","Duncan",3,26,57,55,1,142,453
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 62","Duncan",4,25,49,58,0,136,426
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 63","Duncan",2,25,24,29,1,81,333
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 64","Duncan",2,29,33,40,0,104,286
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 65","Duncan",7,21,24,55,0,107,450
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 66","Duncan",1,23,28,18,0,70,385
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 67","Duncan",4,24,49,43,0,120,462
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 68","North Cowichan",3,48,69,58,0,178,527
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 69","North Cowichan",1,21,53,46,0,121,386
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 70","North Cowichan",3,46,43,46,0,138,443
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 71","North Cowichan",0,40,40,62,1,143,413
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 72","North Cowichan",0,43,97,104,2,246,602
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 73","North Cowichan",2,30,60,53,0,145,375
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 74","North Cowichan",7,43,59,72,1,182,406
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 75","Cowichan",0,3,1,53,0,57,148
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 76","North Cowichan",1,29,44,20,1,95,256
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 77","Cowichan",1,7,9,103,1,121,332
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 77-1","Cowichan",Combined with No./Résultats combinés à ceux du n°77,,,,,,33
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 78A","Deerholme",5,18,67,34,0,124,373
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 78B","Deerholme",3,18,63,40,0,124,370
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 79","Cowichan",5,12,21,125,0,163,460
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 80","North Cowichan",0,15,9,11,0,35,245
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 81","Koksilah",2,14,69,29,0,114,404
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 82","Cowichan Valley E",0,16,44,43,0,103,309
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 83","Cowichan",0,3,4,140,0,147,478
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 84","Eagle Heights",5,21,56,50,2,134,341
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 85","Cowichan",3,5,14,81,3,106,314
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 86","North Cowichan",4,29,49,56,0,138,392
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 87","North Cowichan",2,38,72,58,0,170,323
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 88","North Cowichan",2,54,86,54,0,196,443
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 89","North Cowichan",6,39,57,61,0,163,417
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 90","North Cowichan",0,46,77,68,0,191,412
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 91","North Cowichan",5,55,87,66,0,213,470
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 92","North Cowichan",4,21,52,73,2,152,372
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 93","North Cowichan",3,54,91,72,0,220,523
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 94","North Cowichan",4,47,44,51,0,146,410
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 95","Cowichan 1",1,23,39,32,0,95,285
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 96","Lake Cowichan",1,37,66,31,0,135,358
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 97","Cowichan Lake",3,29,72,34,0,138,402
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 98","Lake Cowichan",4,39,44,43,1,131,313
