Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Peter Fonseca,Amit Gupta,Winston Harding,Khawar Hussain,Nita Kang,Dagmar Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 1","Mississauga",83,3,0,1,106,1,1,195,472
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 2","Mississauga",69,9,0,3,90,1,0,172,515
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 3","Mississauga",59,4,2,3,72,0,0,140,440
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 4","Mississauga",131,5,2,1,161,0,0,300,578
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 5","Mississauga",91,2,0,4,100,0,0,197,427
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 6","Mississauga",59,7,0,2,87,0,0,155,334
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 7","Mississauga",102,3,0,5,65,0,0,175,437
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 8","Mississauga",63,3,0,2,93,0,1,162,380
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 9","Mississauga",57,2,0,4,95,1,0,159,391
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 10","Mississauga",53,2,0,2,58,0,1,116,361
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 11","Mississauga",83,3,0,6,88,0,3,183,486
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 12","Mississauga",89,3,3,6,120,1,2,224,522
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 13","Mississauga",114,5,0,16,122,2,9,268,642
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 14","Mississauga",61,2,1,2,94,0,1,161,407
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 15","Mississauga",83,5,1,2,113,1,3,208,445
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 16","Mississauga",85,5,1,6,92,0,2,191,444
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 17","Mississauga",98,6,0,2,69,0,0,175,427
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 18","Mississauga",73,2,1,8,110,1,0,195,364
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 19","Mississauga",98,4,0,5,115,1,3,226,534
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 20","Mississauga",77,1,0,2,95,0,0,175,421
