Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jeff Boudreault,Steve Charbonneau,Michelle Corcos,Zoé Larose,Jack McLeod,Louis Villeneuve,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Brome--Missisquoi/Brome--Missisquoi"," 236","Frelighsburg",44,28,9,14,0,79,2,176,342
24014,"Brome--Missisquoi/Brome--Missisquoi"," 237","Frelighsburg",46,25,14,12,2,103,3,205,355
24014,"Brome--Missisquoi/Brome--Missisquoi"," 238","Frelighsburg",39,38,3,7,3,90,2,182,365
24014,"Brome--Missisquoi/Brome--Missisquoi"," 239","Venise-en-Québec",46,55,2,5,1,49,1,159,447
24014,"Brome--Missisquoi/Brome--Missisquoi"," 240","Venise-en-Québec",37,33,1,1,3,51,1,127,318
24014,"Brome--Missisquoi/Brome--Missisquoi"," 241","Venise-en-Québec",Combined with No./Résultats combinés à ceux du n°244,,,,,,,,239
24014,"Brome--Missisquoi/Brome--Missisquoi"," 242","Venise-en-Québec",46,9,1,1,2,47,2,108,320
24014,"Brome--Missisquoi/Brome--Missisquoi"," 243","Venise-en-Québec",64,43,2,6,0,66,1,182,449
24014,"Brome--Missisquoi/Brome--Missisquoi"," 244","Venise-en-Québec",62,67,3,2,0,46,3,183,241
24014,"Brome--Missisquoi/Brome--Missisquoi"," 245","Saint-Armand",35,46,2,8,3,89,1,184,313
24014,"Brome--Missisquoi/Brome--Missisquoi"," 246","Saint-Armand",36,48,8,11,3,108,4,218,334
24014,"Brome--Missisquoi/Brome--Missisquoi"," 247","Saint-Armand",56,53,4,5,1,109,5,233,419
24014,"Brome--Missisquoi/Brome--Missisquoi"," 248","Saint-Georges-de-Clarenceville",37,30,5,3,0,47,2,124,301
24014,"Brome--Missisquoi/Brome--Missisquoi"," 249","Saint-Georges-de-Clarenceville",42,55,2,4,2,56,0,161,397
24014,"Brome--Missisquoi/Brome--Missisquoi"," 250","Saint-Georges-de-Clarenceville",58,51,1,4,0,43,3,160,364
24014,"Brome--Missisquoi/Brome--Missisquoi"," 251","Noyan",63,47,5,3,0,68,5,191,358
24014,"Brome--Missisquoi/Brome--Missisquoi"," 252","Noyan",103,49,3,6,5,60,6,232,458
24014,"Brome--Missisquoi/Brome--Missisquoi"," 253","Noyan",66,64,3,2,4,97,3,239,476
24014,"Brome--Missisquoi/Brome--Missisquoi"," 500","Magog",15,4,0,0,1,41,1,62,108
24014,"Brome--Missisquoi/Brome--Missisquoi"," 501","Mobile poll/Bureau itinérant",35,12,1,3,0,61,2,114,107
24014,"Brome--Missisquoi/Brome--Missisquoi"," 502","Magog",Combined with No./Résultats combinés à ceux du n°62,,,,,,,,17
24014,"Brome--Missisquoi/Brome--Missisquoi"," 503","Mobile poll/Bureau itinérant",16,7,3,0,3,39,7,75,104
24014,"Brome--Missisquoi/Brome--Missisquoi"," 504","Magog",Combined with No./Résultats combinés à ceux du n°62,,,,,,,,6
24014,"Brome--Missisquoi/Brome--Missisquoi"," 505","Magog",Combined with No./Résultats combinés à ceux du n°51,,,,,,,,61
24014,"Brome--Missisquoi/Brome--Missisquoi"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,28
24014,"Brome--Missisquoi/Brome--Missisquoi"," 507","Mobile poll/Bureau itinérant",17,9,2,2,1,27,1,59,148
24014,"Brome--Missisquoi/Brome--Missisquoi"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,72
24014,"Brome--Missisquoi/Brome--Missisquoi"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,40
24014,"Brome--Missisquoi/Brome--Missisquoi"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,14
24014,"Brome--Missisquoi/Brome--Missisquoi"," 511","Mobile poll/Bureau itinérant",16,2,0,1,0,54,0,73,90
24014,"Brome--Missisquoi/Brome--Missisquoi"," 512","Mobile poll/Bureau itinérant",5,10,2,2,0,36,4,59,61
24014,"Brome--Missisquoi/Brome--Missisquoi"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,74
24014,"Brome--Missisquoi/Brome--Missisquoi"," 514","Mobile poll/Bureau itinérant",7,6,0,0,3,42,3,61,66
24014,"Brome--Missisquoi/Brome--Missisquoi"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,50
24014,"Brome--Missisquoi/Brome--Missisquoi"," 516","Cowansville",10,4,1,1,0,31,6,53,106
24014,"Brome--Missisquoi/Brome--Missisquoi"," 517","Cowansville",37,19,3,2,0,135,5,201,293
24014,"Brome--Missisquoi/Brome--Missisquoi"," 518","Mobile poll/Bureau itinérant",5,4,0,1,0,13,4,27,66
24014,"Brome--Missisquoi/Brome--Missisquoi"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,19
24014,"Brome--Missisquoi/Brome--Missisquoi"," 520","Cowansville",Combined with No./Résultats combinés à ceux du n°187A,,,,,,,,14
24014,"Brome--Missisquoi/Brome--Missisquoi"," 521","Cowansville",42,16,1,0,0,111,6,176,240
24014,"Brome--Missisquoi/Brome--Missisquoi"," 522","Mobile poll/Bureau itinérant",3,3,1,0,0,23,0,30,56
24014,"Brome--Missisquoi/Brome--Missisquoi"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,40
24014,"Brome--Missisquoi/Brome--Missisquoi"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,19
24014,"Brome--Missisquoi/Brome--Missisquoi"," 525","Mobile poll/Bureau itinérant",1,5,0,1,2,16,2,27,39
24014,"Brome--Missisquoi/Brome--Missisquoi"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,,25
24014,"Brome--Missisquoi/Brome--Missisquoi"," 527","Mobile poll/Bureau itinérant",15,5,2,0,1,24,3,50,48
24014,"Brome--Missisquoi/Brome--Missisquoi"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,,26
24014,"Brome--Missisquoi/Brome--Missisquoi"," 600","Orford",209,80,9,13,0,358,5,674,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 601","Orford",233,77,8,5,6,589,6,924,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 602","Austin",381,131,11,13,11,814,9,1370,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 603","Magog",215,100,5,13,3,302,4,642,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 604","Magog",582,175,13,26,4,936,22,1758,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 605","Magog",321,144,13,26,5,461,15,985,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 606","Magog",577,205,19,31,6,1098,11,1947,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 607","Austin",274,74,17,23,1,676,4,1069,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 608","Orford",153,44,3,5,2,293,5,505,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 609","Orford",46,27,0,3,0,66,1,143,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 610","Lac-Brome",86,25,4,10,0,234,2,361,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 611","Potton",121,140,7,15,4,419,7,713,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 612","Sutton",179,119,15,29,2,572,5,921,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 613","Sutton",165,91,10,12,0,591,1,870,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 614","Lac-Brome",128,186,8,23,1,823,6,1175,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 615","Lac-Brome",117,142,5,14,1,684,5,968,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 616","Bromont",423,175,17,31,3,1091,15,1755,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 617","Bromont",263,156,12,7,1,755,6,1200,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 618","Bromont",211,92,8,13,1,472,1,798,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 619","Brigham",274,152,5,12,5,592,8,1048,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 620","Cowansville",272,221,13,29,4,572,13,1124,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 621","Cowansville",396,255,20,34,14,713,18,1450,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 622","Brigham",83,83,5,9,2,158,7,347,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 623","Farnham",203,91,6,9,4,253,6,572,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 624","Farnham",365,179,15,25,12,425,17,1038,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 625","Farnham",249,131,6,12,5,232,6,641,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 626","Bedford",92,48,1,10,1,172,0,324,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 627","Dunham",162,135,11,17,1,317,6,649,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 628","Dunham",136,72,7,9,4,367,2,597,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 629","Bedford",184,150,4,12,3,395,8,756,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 630","Venise-en-Québec",162,90,4,10,1,248,2,517,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 631","Venise-en-Québec",217,103,7,10,4,312,11,664,
24014,"Brome--Missisquoi/Brome--Missisquoi"," 632","Plage-Desranleau--Gloria Village",105,76,3,11,4,189,7,395,
24014,"Brome--Missisquoi/Brome--Missisquoi",,Group 1/Groupe 1, 164,102,29,30,1,457,35,818,223
24014,"Brome--Missisquoi/Brome--Missisquoi",,Group 2/Groupe 2, 358,236,23,33,6,1157,73,1886,
