Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jeff Boudreault,Steve Charbonneau,Michelle Corcos,Zoé Larose,Jack McLeod,Louis Villeneuve,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Brome--Missisquoi/Brome--Missisquoi"," 29","Magog",94,58,3,8,0,91,0,254,526
24014,"Brome--Missisquoi/Brome--Missisquoi"," 30","Stukely-Sud",81,48,6,3,1,77,1,217,375
24014,"Brome--Missisquoi/Brome--Missisquoi"," 31","Stukely-Sud",42,62,3,5,64,1,1,178,306
24014,"Brome--Missisquoi/Brome--Missisquoi"," 32","Stukely-Sud",65,64,4,11,2,68,1,215,362
24014,"Brome--Missisquoi/Brome--Missisquoi"," 33","Magog",57,21,1,4,2,69,0,154,404
24014,"Brome--Missisquoi/Brome--Missisquoi"," 34","Magog",49,27,0,1,0,50,5,132,371
24014,"Brome--Missisquoi/Brome--Missisquoi"," 35","Magog",35,26,1,3,0,30,2,97,301
24014,"Brome--Missisquoi/Brome--Missisquoi"," 36","Magog",69,56,2,7,1,70,0,205,387
24014,"Brome--Missisquoi/Brome--Missisquoi"," 37","Magog",46,27,0,2,2,47,4,128,335
24014,"Brome--Missisquoi/Brome--Missisquoi"," 38","Magog",34,35,1,2,2,45,7,126,411
24014,"Brome--Missisquoi/Brome--Missisquoi"," 39A","Magog",42,24,0,2,0,47,1,116,461
24014,"Brome--Missisquoi/Brome--Missisquoi"," 39B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,32
24014,"Brome--Missisquoi/Brome--Missisquoi"," 40","Magog",35,27,3,3,0,58,1,127,389
24014,"Brome--Missisquoi/Brome--Missisquoi"," 41","Magog",48,24,1,7,0,88,0,168,633
24014,"Brome--Missisquoi/Brome--Missisquoi"," 42","Magog",59,32,4,0,0,99,0,194,510
24014,"Brome--Missisquoi/Brome--Missisquoi"," 43","Magog",58,20,3,4,2,88,2,177,590
24014,"Brome--Missisquoi/Brome--Missisquoi"," 44","Magog",27,34,3,6,1,69,3,143,391
24014,"Brome--Missisquoi/Brome--Missisquoi"," 45","Magog",68,53,5,6,6,56,2,196,464
24014,"Brome--Missisquoi/Brome--Missisquoi"," 46","Magog",55,39,2,4,2,60,10,172,341
24014,"Brome--Missisquoi/Brome--Missisquoi"," 47","Magog",37,15,0,4,1,55,0,112,421
24014,"Brome--Missisquoi/Brome--Missisquoi"," 48","Magog",84,53,3,2,6,68,4,220,479
24014,"Brome--Missisquoi/Brome--Missisquoi"," 49","Magog",65,21,5,6,6,40,1,144,377
24014,"Brome--Missisquoi/Brome--Missisquoi"," 50","Magog",33,19,3,3,2,39,2,101,354
24014,"Brome--Missisquoi/Brome--Missisquoi"," 51","Magog",45,22,6,5,2,26,3,109,441
24014,"Brome--Missisquoi/Brome--Missisquoi"," 52","Magog",29,19,1,3,1,19,0,72,337
24014,"Brome--Missisquoi/Brome--Missisquoi"," 53","Magog",36,17,0,2,1,33,1,90,255
24014,"Brome--Missisquoi/Brome--Missisquoi"," 54","Magog",57,28,4,2,0,51,1,143,378
24014,"Brome--Missisquoi/Brome--Missisquoi"," 55","Magog",55,20,1,5,2,51,2,136,491
24014,"Brome--Missisquoi/Brome--Missisquoi"," 56A","Magog",Combined with No./Résultats combinés à ceux du n°57,,,,,,,,137
24014,"Brome--Missisquoi/Brome--Missisquoi"," 56B","Magog",74,54,3,4,3,70,1,209,519
24014,"Brome--Missisquoi/Brome--Missisquoi"," 57","Magog",97,66,6,10,6,79,2,266,384
24014,"Brome--Missisquoi/Brome--Missisquoi"," 58","Magog",92,46,1,7,0,91,5,242,552
24014,"Brome--Missisquoi/Brome--Missisquoi"," 59","Magog",63,26,4,5,2,58,1,159,381
24014,"Brome--Missisquoi/Brome--Missisquoi"," 60","Saint-Étienne-de-Bolton",88,42,3,1,3,112,0,249,401
24014,"Brome--Missisquoi/Brome--Missisquoi"," 61","Saint-Étienne-de-Bolton",115,26,5,7,4,128,5,290,444
24014,"Brome--Missisquoi/Brome--Missisquoi"," 62","Magog",56,8,3,1,2,125,10,205,311
24014,"Brome--Missisquoi/Brome--Missisquoi"," 63","Magog",42,22,3,3,3,41,2,116,387
24014,"Brome--Missisquoi/Brome--Missisquoi"," 64","Magog",26,15,1,1,1,42,3,89,374
24014,"Brome--Missisquoi/Brome--Missisquoi"," 65","Magog",63,40,4,7,0,122,0,236,584
24014,"Brome--Missisquoi/Brome--Missisquoi"," 66","Magog",62,39,5,7,2,92,2,209,478
24014,"Brome--Missisquoi/Brome--Missisquoi"," 67","Magog",51,44,2,4,5,53,2,161,429
24014,"Brome--Missisquoi/Brome--Missisquoi"," 68","Magog",35,17,3,5,6,43,1,110,393
24014,"Brome--Missisquoi/Brome--Missisquoi"," 69","Magog",39,24,2,2,0,45,2,114,352
24014,"Brome--Missisquoi/Brome--Missisquoi"," 70","Magog",48,21,0,4,1,75,0,149,413
24014,"Brome--Missisquoi/Brome--Missisquoi"," 71","Magog",68,33,6,9,1,107,2,226,508
24014,"Brome--Missisquoi/Brome--Missisquoi"," 72","Magog",49,39,1,10,2,82,1,184,456
24014,"Brome--Missisquoi/Brome--Missisquoi"," 73","Magog",31,16,4,2,1,93,0,147,480
24014,"Brome--Missisquoi/Brome--Missisquoi"," 74","Magog",63,34,3,3,3,102,1,209,552
24014,"Brome--Missisquoi/Brome--Missisquoi"," 75","Magog",63,41,2,1,1,103,2,213,579
24014,"Brome--Missisquoi/Brome--Missisquoi"," 76","Magog",33,14,0,0,0,87,1,135,356
24014,"Brome--Missisquoi/Brome--Missisquoi"," 77","Magog",52,32,0,0,0,69,1,154,396
24014,"Brome--Missisquoi/Brome--Missisquoi"," 78","Magog",72,38,3,3,3,83,1,203,544
24014,"Brome--Missisquoi/Brome--Missisquoi"," 79","Bromont",42,25,4,1,0,70,1,143,385
24014,"Brome--Missisquoi/Brome--Missisquoi"," 80","Bromont",31,12,1,3,0,75,0,122,309
24014,"Brome--Missisquoi/Brome--Missisquoi"," 81","Bromont",38,15,5,6,3,65,5,137,394
24014,"Brome--Missisquoi/Brome--Missisquoi"," 82","Bromont",56,9,2,1,1,66,1,136,421
24014,"Brome--Missisquoi/Brome--Missisquoi"," 83","Bromont",25,26,2,5,0,66,1,125,348
24014,"Brome--Missisquoi/Brome--Missisquoi"," 84","Bromont",25,16,1,1,0,79,1,123,352
24014,"Brome--Missisquoi/Brome--Missisquoi"," 85","Bromont",30,28,2,4,1,64,2,131,335
24014,"Brome--Missisquoi/Brome--Missisquoi"," 86","Bromont",45,23,4,4,0,74,2,152,454
24014,"Brome--Missisquoi/Brome--Missisquoi"," 87","Bromont",46,35,0,0,0,83,1,165,448
24014,"Brome--Missisquoi/Brome--Missisquoi"," 88","Bromont",49,35,1,2,0,149,3,239,312
24014,"Brome--Missisquoi/Brome--Missisquoi"," 89","Austin",49,22,5,7,3,85,3,174,428
24014,"Brome--Missisquoi/Brome--Missisquoi"," 90","Austin",56,36,6,1,0,95,1,195,472
24014,"Brome--Missisquoi/Brome--Missisquoi"," 91","Austin",49,52,3,4,1,79,2,190,391
24014,"Brome--Missisquoi/Brome--Missisquoi"," 92","Austin",34,49,2,6,0,118,3,212,392
24014,"Brome--Missisquoi/Brome--Missisquoi"," 93","Bromont",25,11,1,1,0,59,2,99,301
24014,"Brome--Missisquoi/Brome--Missisquoi"," 94","Bromont",32,14,1,0,0,68,0,115,303
24014,"Brome--Missisquoi/Brome--Missisquoi"," 95","Bromont",33,26,6,11,6,47,3,132,430
24014,"Brome--Missisquoi/Brome--Missisquoi"," 96","Bromont",47,27,1,0,1,78,2,156,352
24014,"Brome--Missisquoi/Brome--Missisquoi"," 97","Bromont",35,31,5,2,1,82,2,158,363
24014,"Brome--Missisquoi/Brome--Missisquoi"," 98","Bromont",42,28,2,4,1,79,0,156,441
24014,"Brome--Missisquoi/Brome--Missisquoi"," 99","Bromont",55,37,7,4,1,77,0,181,485
24014,"Brome--Missisquoi/Brome--Missisquoi"," 100","Bromont",58,40,5,10,1,121,0,235,532
24014,"Brome--Missisquoi/Brome--Missisquoi"," 101","Bromont",30,21,4,2,0,70,0,127,378
24014,"Brome--Missisquoi/Brome--Missisquoi"," 102","Bromont",52,28,4,0,0,64,0,148,370
24014,"Brome--Missisquoi/Brome--Missisquoi"," 103","Bromont",32,22,3,3,0,54,0,114,298
24014,"Brome--Missisquoi/Brome--Missisquoi"," 104","Bromont",Combined with No./Résultats combinés à ceux du n°88,,,,,,,,267
24014,"Brome--Missisquoi/Brome--Missisquoi"," 105","Bromont",Combined with No./Résultats combinés à ceux du n°106,,,,,,,,232
24014,"Brome--Missisquoi/Brome--Missisquoi"," 106","Bromont",66,49,4,4,7,70,0,200,285
24014,"Brome--Missisquoi/Brome--Missisquoi"," 107","Bromont",32,17,3,1,1,78,1,133,312
24014,"Brome--Missisquoi/Brome--Missisquoi"," 108","Lac-Brome",37,36,3,2,0,68,1,147,395
24014,"Brome--Missisquoi/Brome--Missisquoi"," 109","Lac-Brome",32,29,1,2,1,94,0,159,429
24014,"Brome--Missisquoi/Brome--Missisquoi"," 110","Lac-Brome",23,23,1,1,1,74,1,124,356
24014,"Brome--Missisquoi/Brome--Missisquoi"," 111","Lac-Brome",17,34,6,5,1,95,0,158,445
24014,"Brome--Missisquoi/Brome--Missisquoi"," 112","Lac-Brome",16,49,0,2,0,88,0,155,503
24014,"Brome--Missisquoi/Brome--Missisquoi"," 113","Lac-Brome",17,15,5,8,1,72,0,118,331
24014,"Brome--Missisquoi/Brome--Missisquoi"," 114","Lac-Brome",23,26,3,3,1,85,2,143,394
24014,"Brome--Missisquoi/Brome--Missisquoi"," 115","Bolton-Ouest",26,26,6,2,1,92,0,153,317
24014,"Brome--Missisquoi/Brome--Missisquoi"," 116","Bolton-Ouest",21,45,4,4,0,83,0,157,318
24014,"Brome--Missisquoi/Brome--Missisquoi"," 117","Bolton-Est",56,29,6,2,2,94,1,190,329
24014,"Brome--Missisquoi/Brome--Missisquoi"," 118","Bolton-Est",59,26,4,4,1,95,0,189,365
24014,"Brome--Missisquoi/Brome--Missisquoi"," 119","Bolton-Est",35,60,8,11,2,87,3,206,396
24014,"Brome--Missisquoi/Brome--Missisquoi"," 120","Bromont",36,26,9,1,2,57,0,131,237
24014,"Brome--Missisquoi/Brome--Missisquoi"," 121","Bromont",99,66,2,6,2,91,2,268,395
24014,"Brome--Missisquoi/Brome--Missisquoi"," 122","Bromont",60,49,5,6,2,54,2,178,299
24014,"Brome--Missisquoi/Brome--Missisquoi"," 123","Lac-Brome",45,52,2,2,0,112,2,215,548
24014,"Brome--Missisquoi/Brome--Missisquoi"," 124","Lac-Brome",20,28,0,1,2,92,3,146,434
24014,"Brome--Missisquoi/Brome--Missisquoi"," 125","Lac-Brome",6,10,1,1,1,47,1,67,215
24014,"Brome--Missisquoi/Brome--Missisquoi"," 126","Lac-Brome",24,24,1,3,0,42,1,95,309
24014,"Brome--Missisquoi/Brome--Missisquoi"," 127","Lac-Brome",20,46,4,2,1,77,1,151,354
24014,"Brome--Missisquoi/Brome--Missisquoi"," 128","Lac-Brome",45,45,5,11,2,134,1,243,441
24014,"Brome--Missisquoi/Brome--Missisquoi"," 129","Farnham",41,30,1,2,3,46,1,124,286
24014,"Brome--Missisquoi/Brome--Missisquoi"," 130","Farnham",42,41,1,3,0,37,5,129,376
24014,"Brome--Missisquoi/Brome--Missisquoi"," 131","Farnham",59,40,1,6,0,25,1,132,337
24014,"Brome--Missisquoi/Brome--Missisquoi"," 132","Farnham",51,24,2,4,1,36,1,119,266
24014,"Brome--Missisquoi/Brome--Missisquoi"," 133","Farnham",48,43,1,4,0,42,3,141,376
24014,"Brome--Missisquoi/Brome--Missisquoi"," 134","Farnham",46,34,1,1,0,47,4,133,379
24014,"Brome--Missisquoi/Brome--Missisquoi"," 135","Farnham",28,33,3,5,8,28,6,111,320
24014,"Brome--Missisquoi/Brome--Missisquoi"," 136","Farnham",28,50,2,4,0,28,0,112,262
24014,"Brome--Missisquoi/Brome--Missisquoi"," 137","Brigham",48,54,3,6,2,50,4,167,358
24014,"Brome--Missisquoi/Brome--Missisquoi"," 138","Brigham",50,47,1,1,1,41,6,147,288
24014,"Brome--Missisquoi/Brome--Missisquoi"," 139","Brigham",24,51,2,6,0,49,5,137,316
24014,"Brome--Missisquoi/Brome--Missisquoi"," 140","Brigham",58,47,1,2,4,60,4,176,334
24014,"Brome--Missisquoi/Brome--Missisquoi"," 141","Brigham",66,41,6,2,1,71,2,189,344
24014,"Brome--Missisquoi/Brome--Missisquoi"," 142","Brigham",60,47,3,8,0,60,1,179,318
24014,"Brome--Missisquoi/Brome--Missisquoi"," 143","East Farnham",64,55,2,3,0,65,3,192,295
24014,"Brome--Missisquoi/Brome--Missisquoi"," 144","East Farnham",37,47,2,7,0,67,4,164,282
24014,"Brome--Missisquoi/Brome--Missisquoi"," 145","Farnham",70,35,4,5,3,45,3,165,490
24014,"Brome--Missisquoi/Brome--Missisquoi"," 146","Farnham",42,26,3,2,0,41,2,116,301
24014,"Brome--Missisquoi/Brome--Missisquoi"," 147","Farnham",81,42,2,4,3,58,4,194,578
