Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jules Côté,Jeff Howe,John Kidder,Kevin Sinclair,Brad Vis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 1","Douglas 8",11,2,3,3,4,0,23,30
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 1-1","Skookumchuck 4",0,0,0,0,0,0,0,16
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 1-2","Q'alatkú7em",0,0,0,0,0,0,0,44
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 2","Bear Creek",8,20,2,1,22,0,53,94
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 2-1","Chehalis 5",19,32,0,0,19,0,70,399
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 3","Harrison Hot Springs",14,77,3,0,108,1,203,607
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 4","Kent",10,62,2,2,70,0,146,466
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 5","Harrison Hot Springs",13,95,2,2,72,0,184,583
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 6","Kent",3,24,1,0,106,0,134,446
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 7","Durieu",14,61,4,2,162,1,244,444
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 8","Durieu",12,52,2,4,169,0,239,418
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 9","Harrison Mills",10,70,2,1,70,0,153,313
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 10","Harrison Mills",6,76,0,0,83,0,165,304
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 11A","Kent",4,36,0,0,59,1,100,235
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 11B","Kent",3,31,0,1,82,1,118,277
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 12A","Kent",Combined with No./Résultats combinés à ceux du n°11A,,,,,,,34
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 12B","Kent",Combined with No./Résultats combinés à ceux du n°11B,,,,,,,24
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 13","Abbotsford",6,65,3,1,124,1,200,416
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 14","Abbotsford",12,64,4,2,140,0,222,441
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 15","Abbotsford",7,40,3,3,122,0,175,377
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 16","Mission",6,49,2,2,113,1,173,330
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 17","Mission",5,36,1,0,97,0,139,364
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 18","Mission",15,71,4,1,128,0,219,598
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 19","Mission",2,34,2,0,97,0,135,400
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 20","Mission",12,53,0,1,108,2,176,447
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 21","Mission",14,63,5,2,123,1,208,514
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 22","Mission",10,81,3,2,101,0,197,447
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 23","Mission",15,64,8,1,117,0,205,569
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 24","Mission",10,42,3,0,86,1,142,414
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 25","Mission",7,53,6,1,122,1,190,483
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 26","Mission",12,50,3,2,133,1,201,584
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 27","Mission",10,56,4,3,75,0,148,321
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 28","Mission",18,82,5,0,138,0,243,578
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 29","Mission",19,55,3,2,117,2,198,461
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 30","Mission",7,58,5,5,115,3,193,499
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 31","Mission",15,93,4,0,115,0,227,560
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 32","Mission",11,64,3,2,105,1,186,551
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 33","Mission",12,71,1,3,111,1,199,459
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 34","Mission",11,41,1,3,71,0,127,320
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 35","Mission",9,43,2,1,91,0,146,396
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 36","Mission",21,65,1,2,120,2,211,555
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 37","Mission",12,46,3,3,73,0,137,359
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 38","Mission",9,63,1,4,77,0,154,457
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 39","Mission",13,61,1,0,91,2,168,466
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 40","Mission",12,45,1,1,80,4,143,325
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 41","Mission",12,42,3,0,77,1,135,357
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 42","Mission",17,76,3,0,116,0,212,489
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 43","Mission",16,81,2,0,105,1,205,596
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 44","Mission",15,60,3,1,102,1,182,418
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 45","Mission",13,75,9,3,86,0,186,472
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 46","Mission",13,55,1,1,119,0,189,515
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 47","Mission",10,55,4,2,86,3,160,434
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 48","Mission",21,57,3,2,69,0,152,481
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 49","Mission",14,60,3,1,119,0,197,506
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 50","Mission",19,63,4,2,69,2,159,431
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 51","Mission",4,47,3,0,69,1,124,382
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 52","Mission",5,45,3,0,78,3,134,411
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 53","Mission",11,59,6,2,94,0,172,572
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 54","Mission",7,65,3,2,87,0,164,489
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 55","Mission",8,57,2,1,104,0,172,481
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 56","Mission",11,54,5,1,103,1,175,447
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 57","Mission",7,44,1,0,96,2,150,486
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 58","Mission",14,56,1,1,100,1,173,468
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 59","Mission",5,39,2,2,99,1,148,439
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 60","Mission",16,56,3,2,73,1,151,421
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 61","Mission",11,80,2,3,132,3,231,636
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 62","Mission",6,50,5,5,90,0,156,438
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 63","Mission",9,49,2,0,66,1,127,491
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 64","Abbotsford",6,42,3,0,105,0,156,436
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 65","Abbotsford",2,35,0,2,130,1,170,339
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 65-1","Matsqui Main 2",0,22,0,0,4,0,26,92
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 66","Abbotsford",8,38,3,0,132,0,181,368
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 67","Mission",10,59,2,3,95,0,169,534
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 68","Mission",10,63,6,4,95,1,179,492
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 69","Mission",13,56,3,0,89,0,161,453
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 70","Mission",20,88,2,5,104,0,219,607
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 71","Mission",16,76,3,3,84,0,182,564
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 72","Mission",16,75,4,1,92,0,188,520
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 73","Mission",21,52,1,0,96,0,170,663
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 74","Mission",22,71,6,2,72,1,174,540
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 75","Mission",9,59,0,5,64,0,137,423
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 76","Deroche",14,75,5,2,144,0,240,431
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 76-1","Lakahahmen 1--Skweahm 10",14,65,3,2,43,1,128,327
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 77","Lake Errock",5,60,8,1,66,1,141,295
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 77-1","Squawkum Creek 3",0,7,1,0,6,0,14,83
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 78","Holachten 8",12,37,1,0,35,0,85,241
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 79","Skweahm 10",5,19,1,1,59,0,85,153
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 80","Hatzic Island",12,59,4,3,88,0,166,443
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 81","Dewdney",5,31,1,2,89,0,128,261
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 82","Dewdney",6,46,1,1,110,0,164,246
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 83","Nicomen",5,26,2,1,97,0,131,221
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 84A","Abbotsford",1,28,3,6,106,0,144,433
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 84B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,17
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 85","Abbotsford",1,42,1,3,47,0,94,214
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 86","Abbotsford",3,44,2,0,93,1,143,417
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 87","Abbotsford",3,49,0,0,78,1,131,441
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 88","Abbotsford",4,37,0,1,76,1,119,445
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 89","Abbotsford",7,77,1,0,131,3,219,616
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 90","Abbotsford",2,85,5,0,64,2,158,476
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 91","Abbotsford",7,95,0,1,100,1,204,544
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 92","Abbotsford",10,65,1,5,171,1,253,474
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 93","Abbotsford",6,62,5,3,143,0,219,463
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 94","Abbotsford",3,38,0,2,108,0,151,410
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 95","Abbotsford",3,35,2,1,69,1,111,241
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 96","Abbotsford",4,43,2,8,150,3,210,396
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 97","Abbotsford",12,95,1,1,121,0,230,498
