Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,James Collins,Robyn Kiki Eshkibok,Laura Mayer,Terry Sheehan,Hugh Stevenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 52","Elliot Lake",0,5,8,40,39,1,93,377
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 53","Sault Ste. Marie",0,0,8,92,119,1,220,507
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 54","Sault Ste. Marie",3,2,3,67,109,2,186,436
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 55","Sault Ste. Marie",0,2,5,94,78,1,180,363
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 56","Sault Ste. Marie",2,1,15,80,58,1,157,342
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 57","Sault Ste. Marie",0,1,5,94,77,1,178,356
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 58","Sault Ste. Marie",0,2,4,93,63,0,162,377
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 59","Sault Ste. Marie",1,3,7,69,54,0,134,357
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 60","Prince",0,1,17,134,202,1,355,585
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 61","Sault Ste. Marie",0,0,4,79,137,0,220,454
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 62","Sault Ste. Marie",1,1,9,79,139,0,229,407
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 63","Prince",3,2,5,88,162,0,260,404
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 64","Sault Ste. Marie",6,1,8,75,135,1,226,398
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 65","Sault Ste. Marie",1,0,5,104,127,1,238,443
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 66","Sault Ste. Marie",1,0,5,105,121,1,233,432
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 67","Sault Ste. Marie",0,1,10,46,95,0,152,288
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 68","Sault Ste. Marie",3,1,17,116,147,0,284,523
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 69","Sault Ste. Marie",0,0,4,74,87,0,165,319
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 70","Rankin Location 15D",0,6,11,66,28,0,111,343
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 71","Rankin Location 15D",1,4,18,56,19,0,98,311
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 72","Sault Ste. Marie",0,3,6,93,132,0,234,442
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 73","Sault Ste. Marie",0,3,16,92,112,0,223,425
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 74","Sault Ste. Marie",0,1,23,98,95,0,217,451
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 75","Sault Ste. Marie",0,3,11,70,64,0,148,473
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 76","Sault Ste. Marie",4,1,12,64,107,2,190,393
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 77","Sault Ste. Marie",0,2,7,85,80,2,176,339
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 78","Sault Ste. Marie",0,3,13,81,97,1,195,381
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 79","Sault Ste. Marie",0,3,15,65,116,2,201,393
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 80","Sault Ste. Marie",0,3,3,97,95,2,200,486
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 81","Sault Ste. Marie",1,2,10,75,40,0,128,360
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 82","Sault Ste. Marie",0,0,9,83,74,2,168,347
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 83","Sault Ste. Marie",0,0,10,103,101,0,214,464
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 84","Sault Ste. Marie",1,3,12,67,81,2,166,555
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 85","Sault Ste. Marie",0,1,10,55,44,1,111,326
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 86","Sault Ste. Marie",0,1,1,45,55,0,102,255
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 87","Sault Ste. Marie",0,0,4,92,91,1,188,432
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 88","Sault Ste. Marie",0,0,4,75,49,0,128,358
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 89","Sault Ste. Marie",0,1,2,101,80,1,185,412
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 90","Sault Ste. Marie",1,5,16,42,52,2,118,431
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 91","Sault Ste. Marie",1,3,4,52,37,1,98,303
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 92","Sault Ste. Marie",0,3,17,100,127,1,248,436
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 93","Sault Ste. Marie",1,3,8,97,119,4,232,437
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 94","Sault Ste. Marie",0,2,20,89,106,1,218,419
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 95","Sault Ste. Marie",0,1,14,74,92,0,181,445
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 96","Sault Ste. Marie",0,2,5,56,84,0,147,298
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 97","Sault Ste. Marie",0,2,23,100,105,0,230,517
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 98","Sault Ste. Marie",3,3,13,98,108,2,227,487
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 99","Sault Ste. Marie",0,0,13,53,77,1,144,365
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 100","Sault Ste. Marie",1,3,22,108,100,2,236,483
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 101","Sault Ste. Marie",1,1,14,107,140,1,264,470
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 102","Sault Ste. Marie",2,4,20,85,111,1,223,467
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 103","Sault Ste. Marie",2,2,12,60,107,0,183,447
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 104","Sault Ste. Marie",0,1,7,47,90,0,145,398
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 105","Elliot Lake",3,7,16,121,66,1,214,484
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 106","Sault Ste. Marie",0,2,10,65,57,0,134,361
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 107","Sault Ste. Marie",2,2,16,98,127,3,248,422
