Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,James Collins,Robyn Kiki Eshkibok,Laura Mayer,Terry Sheehan,Hugh Stevenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 186","Sault Ste. Marie",3,0,10,44,18,2,77,266
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 187","Sault Ste. Marie",0,0,5,80,71,0,156,441
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 188","Sault Ste. Marie",0,0,8,71,93,2,174,448
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 189","Sault Ste. Marie",0,2,8,52,31,1,94,442
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 190","Sault Ste. Marie",0,0,4,84,33,0,121,367
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 191","Sault Ste. Marie",1,1,40,115,45,5,207,461
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 192","Sault Ste. Marie",3,1,12,70,82,1,169,526
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 193","Sault Ste. Marie",0,2,5,66,63,0,136,376
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 194","Sault Ste. Marie",0,0,3,58,39,0,100,308
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 195","Sault Ste. Marie",0,1,4,41,36,0,82,252
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 196","Sault Ste. Marie",0,2,4,72,116,0,194,439
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 197","Sault Ste. Marie",1,0,5,55,48,0,109,357
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 198","Sault Ste. Marie",1,4,12,53,86,0,156,445
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 199","Sault Ste. Marie",0,1,6,59,61,0,127,342
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 200","Sault Ste. Marie",1,0,2,56,51,0,110,395
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 201","Sault Ste. Marie",1,0,1,50,41,1,94,348
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 202","Sault Ste. Marie",0,2,3,102,67,0,174,509
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 203","Sault Ste. Marie",0,0,3,70,56,0,129,384
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 204","Echo Bay",1,0,12,96,160,1,270,414
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 205","Sylvan Valley",0,0,6,74,117,0,197,314
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 206","Echo Bay",6,5,34,120,239,2,406,692
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 207","Sault Ste. Marie",0,0,8,109,53,0,170,322
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 208","Sault Ste. Marie",0,2,4,101,46,0,153,417
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 209","Sault Ste. Marie",1,2,10,88,67,0,168,515
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 210","Ansonia--Little Rapids",Combined with No./Résultats combinés à ceux du n°211,,,,,,,71
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 211","Nestorville--Little Rapids",2,1,25,82,132,0,242,429
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 212","Bar River",0,1,21,90,152,2,266,454
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 213","Blind River",1,1,13,70,65,1,151,530
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 214","Blind River",0,0,8,41,20,0,69,291
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 215","Blind River",1,0,10,16,26,0,53,272
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 216","Blind River",0,0,18,52,65,0,135,460
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 217","Blind River",2,1,5,26,22,0,56,277
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 218","Blind River",3,0,8,38,53,0,102,326
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 219","Bruce Station",6,4,20,120,269,0,419,725
