Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ronald Brochu,Kirk Cayer,Christopher Everingham,Jose Flores,Mike Lake,Katherine Swampy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 174","Wetaskiwin County No. 10",25,0,0,0,118,10,1,154,477
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 175","Louis Bull 138B",33,0,0,3,15,40,0,91,350
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 176","Ermineskin 138",91,2,0,2,37,150,3,285,2518
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 177","Malmo",18,5,1,1,239,6,1,271,521
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 178","Samson 137",35,1,0,2,6,39,2,85,180
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 179","Samson 137",104,3,0,5,43,140,1,296,1047
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 180","Montana 139",20,0,0,0,4,32,0,56,215
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,11
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,71
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 502","Mobile poll/Bureau itinérant",6,0,0,0,18,2,1,27,41
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 503","Mobile poll/Bureau itinérant",25,1,0,0,40,11,1,78,123
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,30
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 505","Mobile poll/Bureau itinérant",19,1,1,0,53,6,5,85,99
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 506","Mobile poll/Bureau itinérant",16,1,1,1,74,6,6,105,107
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 507","Mobile poll/Bureau itinérant",12,0,0,3,60,7,0,82,75
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,34
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,44
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,17
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 511","Millet",Combined with No./Résultats combinés à ceux du n°142,,,,,,,,10
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,17
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 513","Mobile poll/Bureau itinérant",13,2,3,2,42,8,4,74,18
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,40
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 515","Mobile poll/Bureau itinérant",6,1,0,1,24,1,0,33,64
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,26
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 517","Mobile poll/Bureau itinérant",10,0,0,1,59,5,2,77,92
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,89
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 600","Warburg",74,6,4,9,648,27,1,769,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 601","Calmar",124,4,2,7,868,31,7,1043,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 602","Leduc County",399,7,3,28,1461,122,15,2035,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 603","Leduc",236,9,3,6,1055,64,14,1387,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 604","Leduc",337,4,2,13,1159,54,6,1575,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 605","Leduc",246,2,1,10,903,58,2,1222,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 606","Leduc County",166,5,0,5,548,34,1,759,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 607","Beaumont",421,6,5,12,1302,85,4,1835,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 608","Beaumont",395,6,2,13,1209,80,9,1714,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 609","Beaumont",331,3,1,6,1024,73,8,1446,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 610","Beaumont",280,4,6,14,877,67,5,1253,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 611","Camrose County",167,6,3,18,1183,48,1,1426,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 612","Leduc County",219,3,3,17,942,66,2,1252,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 613","Millet",196,9,1,19,1302,64,5,1596,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 614","Mulhurst--Westerose--Fallon",138,1,1,17,912,46,2,1117,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 615","Winfield--Buck Lake",80,3,0,4,548,19,2,656,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 616","Pigeon Lake 138A",0,0,0,1,1,2,0,4,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 617","Louis Bull 138B",3,0,0,0,1,9,0,13,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 618","Wetaskiwin County No. 10",216,6,1,6,917,89,5,1240,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 619","Wetaskiwin",177,9,3,13,678,81,3,964,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 620","Wetaskiwin County No. 10",225,3,3,11,997,85,5,1329,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 621","Ermineskin 138",27,0,0,0,14,77,0,118,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 622","Ermineskin 138",1,0,0,1,4,5,0,11,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 623","Samson 137",18,1,0,0,7,49,1,76,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 624","Montana 139",4,0,0,1,1,6,0,12,
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin",,Group 1/Groupe 1, 205,1,2,19,557,88,54,926,240
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin",,Group 2/Groupe 2, 816,14,8,30,4404,206,39,5517,
