Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,James Bezan,Josef Estabrooks,Byron Gryba,Wayne James,Rhonda Nichol,Chris Riddell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 1","Grahamdale",50,6,0,0,11,0,0,67,277
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 2","Grahamdale",118,7,1,0,38,0,0,164,361
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 3A","Moosehorn",145,7,0,3,25,0,0,180,362
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 3B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°5B,,,,,,,,9
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 4A","Hodgson",81,2,0,1,11,0,2,97,207
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 4B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°10C,,,,,,,,9
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 5A","Ashern",45,8,0,3,19,2,0,77,271
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 5B","Mobile poll/Bureau itinérant",15,1,0,0,4,0,1,21,13
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 6","Silver Bay",56,6,0,0,10,0,1,73,192
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 7A","Ashern",63,4,1,1,28,2,1,100,267
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 7B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°5B,,,,,,,,7
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 7C","Mobile poll/Bureau itinérant",12,2,0,1,3,0,0,18,10
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 7D","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°7C,,,,,,,,15
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 8","Camper",43,0,0,2,5,0,0,50,159
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 9","Sylvan",86,3,1,0,19,4,0,113,255
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 10A","Fisher Branch",77,13,3,2,9,0,0,104,272
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 10B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°10C,,,,,,,,14
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 10C","Mobile poll/Bureau itinérant",6,10,1,3,3,2,0,25,16
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 11","Fisherton",114,3,0,0,19,0,3,139,374
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 12","Okno",58,0,0,0,3,16,1,78,301
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 13","Vidir",78,2,0,0,8,1,1,90,277
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 14","Dog Creek",8,11,1,0,52,0,0,72,573
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 15","Overton",89,8,1,0,18,1,1,118,298
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 16A","Eriksdale",82,11,0,0,19,0,0,112,359
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 16B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,18
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 16C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,4
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 16D","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,8
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 17","Hecla--Washow Bay",97,7,1,0,19,6,0,130,263
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 18","Shorncliffe--Ledwyn",43,9,1,2,9,9,2,75,221
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 19","Riverton",54,8,1,0,23,0,0,86,216
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 20","Riverton",65,15,5,1,16,2,0,104,271
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 21","Balaton Beach",53,6,3,2,24,0,0,88,229
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 22","Silver Harbour",85,11,5,2,46,2,1,152,438
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 23","Camp Morton",48,4,0,1,14,1,1,69,387
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 24","Brewster Bay",34,3,1,0,25,0,0,63,298
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 25","Framnes",80,4,1,2,11,0,0,98,232
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 26","Arborg",94,13,1,2,25,7,3,145,327
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 27A","Arborg",79,6,2,1,21,5,1,115,364
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 27B","Mobile poll/Bureau itinérant",46,7,1,1,7,0,3,65,8
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 27C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°27B,,,,,,,,27
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 27D","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°27B,,,,,,,,32
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 27E","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°27B,,,,,,,,4
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 27F","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°27B,,,,,,,,36
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 28","Geyser",96,3,1,0,48,4,1,153,382
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 29A","Chatfield",107,4,3,2,14,1,0,131,262
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 29B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°10C,,,,,,,,8
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 30","Rembrandt",118,10,2,6,25,15,1,177,398
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 31A","Lundar",169,12,5,4,33,1,1,225,416
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 31B","Mobile poll/Bureau itinérant",12,3,0,0,7,0,0,22,16
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 31C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°31B,,,,,,,,10
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 32","Minnewakan",211,7,4,2,35,3,0,262,427
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 33","West Interlake",47,3,0,1,15,0,0,66,132
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 34A","Fraserwood",118,8,4,0,28,5,0,163,317
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 34B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°36B,,,,,,,,7
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 35A","Gimli",46,8,1,1,51,2,0,109,398
