Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Réal Batrhino Martel,Nataël Bureau,Philippe D'Arcangeli,Henri Donascimento,Daniel Lebel,Éric Lefebvre,Alain Saint-Pierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 26","Victoriaville",2,3,0,1,35,102,54,0,197,454
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 27","Victoriaville",1,8,4,1,41,72,64,3,194,509
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 28","Victoriaville",1,2,0,0,50,105,74,4,236,520
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 29","Victoriaville",4,2,4,0,36,78,47,6,177,434
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 30","Victoriaville",1,1,2,1,37,49,38,5,134,356
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 31A","Victoriaville",2,2,2,0,40,92,31,6,175,434
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 31B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,29
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 32A","Victoriaville",1,1,1,1,29,65,24,4,126,317
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 32B","Victoriaville",Combined with No./Résultats combinés à ceux du n°401,,,,,,,,,86
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 33","Victoriaville",0,1,1,0,26,59,25,0,112,391
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 34","Saint-Christophe-d'Arthabaska",0,1,0,0,35,65,40,6,147,376
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 35","Victoriaville",1,5,2,0,38,84,51,1,182,484
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 36","Victoriaville",3,1,2,0,39,63,62,3,173,421
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 37","Victoriaville",2,1,2,0,16,34,18,0,73,323
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 38","Victoriaville",2,4,2,0,83,82,85,5,263,534
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 39","Victoriaville",0,5,2,1,64,64,78,13,227,474
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 40","Victoriaville",0,1,1,0,61,50,64,5,182,402
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 41","Victoriaville",3,2,1,0,41,65,57,3,172,358
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 42","Victoriaville",6,3,4,1,49,51,57,3,174,423
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 43","Victoriaville",1,6,1,0,34,52,34,3,131,359
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 44","Victoriaville",2,2,1,0,33,46,36,3,123,431
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 45","Victoriaville",1,4,1,1,36,34,30,3,110,344
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 46","Victoriaville",1,6,3,1,20,62,33,1,127,337
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 47","Victoriaville",1,5,1,0,32,42,29,5,115,379
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 48A","Victoriaville",1,5,2,2,59,57,38,5,169,424
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 48B","Victoriaville",1,1,2,0,27,28,42,11,112,60
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 49","Victoriaville",4,7,2,0,33,40,43,2,131,376
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 50","Victoriaville",2,2,5,0,36,103,31,0,179,485
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 51","Victoriaville",0,2,1,0,23,40,25,2,93,384
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 52","Victoriaville",1,5,5,0,37,77,53,3,181,427
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 53","Victoriaville",0,9,0,0,40,121,63,5,238,550
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 54","Victoriaville",4,3,1,0,28,82,44,5,167,391
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 55","Victoriaville",3,0,3,0,46,62,29,6,149,372
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 56","Victoriaville",0,9,1,0,43,114,79,1,247,560
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 57","Victoriaville",1,3,0,1,42,60,44,4,155,368
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 58","Victoriaville",0,4,2,0,48,67,48,3,172,338
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 59","Victoriaville",0,5,1,0,46,91,42,6,191,463
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 60","Victoriaville",0,7,0,1,58,54,51,3,174,517
