Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Réal Batrhino Martel,Nataël Bureau,Philippe D'Arcangeli,Henri Donascimento,Daniel Lebel,Éric Lefebvre,Alain Saint-Pierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 204","Val-Joli",2,1,2,0,58,53,43,2,161,393
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 205","Saint-François-Xavier-de-Brompton",1,2,4,1,58,79,45,6,196,391
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 206","Windsor",1,3,1,2,38,58,49,1,153,397
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 207","Windsor",2,9,0,1,64,60,36,1,173,455
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 208","Windsor",2,4,2,0,67,50,43,4,172,468
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 209","Windsor",2,4,1,2,44,42,28,2,125,403
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 210","Windsor",1,3,1,2,64,47,39,3,160,332
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 211","Melbourne",0,3,2,2,31,28,38,1,105,224
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 212","Melbourne",4,7,2,1,45,27,51,3,140,248
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 213","Saint-François-Xavier-de-Brompton",2,5,0,0,37,45,25,3,117,307
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 214","Saint-François-Xavier-de-Brompton",1,7,5,1,51,63,48,5,181,369
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 215","Saint-François-Xavier-de-Brompton",1,3,0,1,86,40,37,4,172,360
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 216","Saint-François-Xavier-de-Brompton",0,9,1,1,61,53,39,7,171,387
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 217","Saint-François-Xavier-de-Brompton",0,2,1,0,64,38,31,1,137,258
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 218","Saint-François-Xavier-de-Brompton",0,6,2,0,44,38,37,2,129,250
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 219","Saint-Denis-de-Brompton",0,4,0,0,40,44,73,1,162,408
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 220","Saint-Denis-de-Brompton",0,3,1,1,55,73,43,4,180,392
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 221","Saint-Denis-de-Brompton",0,6,0,2,68,55,68,4,203,405
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 222","Saint-Denis-de-Brompton",1,7,3,0,56,54,41,5,167,387
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 223","Saint-Denis-de-Brompton",3,5,2,0,53,75,54,3,195,455
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 224","Saint-Denis-de-Brompton",0,4,2,1,46,25,93,1,172,470
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 225","Saint-Denis-de-Brompton",0,3,2,0,48,53,54,0,160,377
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 226","Saint-Denis-de-Brompton",2,6,3,0,59,61,64,4,199,481
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 227","Saint-Denis-de-Brompton",1,5,0,2,48,32,91,0,179,490
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 400","Victoriaville",0,2,0,0,27,48,99,10,186,227
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 401","Victoriaville",1,0,1,1,29,37,115,5,189,157
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 402","Victoriaville",Combined with No./Résultats combinés à ceux du n°48B,,,,,,,,,105
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 403","Asbestos",2,1,2,0,29,20,61,8,123,177
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 500","Mobile poll/Bureau itinérant",0,1,0,1,9,14,25,0,50,74
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 501","Victoriaville",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,21
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 502","Victoriaville",1,2,0,0,6,10,21,4,44,42
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 503","Victoriaville",0,0,0,0,37,41,107,12,197,86
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 504","Victoriaville",0,0,1,0,14,25,63,8,111,24
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 505","Victoriaville",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,78
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 506","Victoriaville",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,19
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 507","Victoriaville",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,81
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 508","Victoriaville",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,34
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 509","Victoriaville",2,3,2,0,18,24,24,7,80,48
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,,58
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 511","Victoriaville",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,36
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,,23
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 513","Victoriaville",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,72
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,,26
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 515","Victoriaville",Combined with No./Résultats combinés à ceux du n°48A,,,,,,,,,44
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,,20
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 517","Mobile poll/Bureau itinérant",2,1,0,2,11,25,18,4,63,83
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 518","Victoriaville",1,0,2,3,29,24,79,3,141,214
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 519","Victoriaville",Combined with No./Résultats combinés à ceux du n°79,,,,,,,,,43
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 520","Ham-Nord",Combined with No./Résultats combinés à ceux du n°121,,,,,,,,,17
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 521","Mobile poll/Bureau itinérant",1,1,0,1,3,8,14,0,28,34
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 522","Mobile poll/Bureau itinérant",1,2,2,1,13,17,43,4,83,101
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 523","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,,25
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 525","Cleveland",0,4,0,0,4,7,81,2,98,157
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 526","Mobile poll/Bureau itinérant",1,2,0,0,9,11,34,1,58,47
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,,12
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 528","Windsor",1,1,0,0,19,12,57,3,93,156
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 600","Daveluyville",8,3,2,0,89,164,105,7,378,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 601","Daveluyville",1,3,3,2,87,140,78,9,323,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 602","Saint-Albert",2,7,3,2,102,155,105,5,381,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 603","Victoriaville",2,3,11,1,324,497,475,10,1323,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 604","Victoriaville",8,17,9,5,326,303,448,18,1134,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 605","Victoriaville",5,14,10,1,298,418,453,20,1219,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 606","Victoriaville",2,5,2,2,182,273,252,5,723,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 607","Victoriaville",4,16,10,1,397,436,676,17,1557,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 608","Victoriaville",8,20,7,3,351,357,503,13,1262,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 609","Victoriaville",7,21,8,1,305,321,516,27,1206,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 610","Victoriaville",3,7,10,2,258,246,371,19,916,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 611","Victoriaville",4,17,7,3,261,378,311,21,1002,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 612","Warwick",14,13,14,0,215,245,342,10,853,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 613","Sainte-Clotilde-de-Horton",2,7,1,0,110,150,120,6,396,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 614","Kingsey Falls",2,13,7,2,175,205,203,5,612,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 615","Ham-Nord",3,8,5,0,93,92,139,4,344,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 616","Ham-Nord",2,13,8,3,170,143,233,8,580,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 617","Danville",1,10,9,2,309,272,536,19,1158,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 618","Danville",8,11,7,1,271,224,338,7,867,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 619","Richmond",7,20,6,3,134,178,346,10,704,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 620","Richmond",1,15,5,8,141,167,424,12,773,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 621","Windsor",3,20,2,5,279,198,323,12,842,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 622","Windsor",1,5,3,2,189,146,209,4,559,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 623","Saint-François-Xavier-de-Brompton",6,7,8,1,204,175,235,16,652,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 624","Saint-Denis-de-Brompton",9,20,4,1,416,181,544,7,1182,
24061,"Richmond--Arthabaska/Richmond--Arthabaska",,Group 1/Groupe 1, 4,16,7,1,105,81,162,17,393,99
24061,"Richmond--Arthabaska/Richmond--Arthabaska",,Group 2/Groupe 2, 8,15,10,4,325,380,655,20,1417,
