Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Scott Anderson,Leah Ellen Main,Anna Warwick Sears,Blair Visscher,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 510","Mobile poll/Bureau itinérant",31,8,27,2,3,71,99
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 511","Mobile poll/Bureau itinérant",26,13,19,2,1,61,56
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,34
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,22
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 514","Mobile poll/Bureau itinérant",21,5,24,0,0,50,56
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,24
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 516","Mobile poll/Bureau itinérant",3,3,4,2,0,12,6
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,3
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,4
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 600","Okanagan (Part) 1",717,71,740,11,4,1543,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 601","Spallumcheen",400,24,162,12,1,599,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 602","Vernon",724,55,551,10,2,1342,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 603","Vernon",614,33,638,9,7,1301,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 604","Coldstream",471,21,406,2,1,901,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 605","Coldstream",563,29,703,7,1,1303,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 606","Vernon",641,33,713,11,5,1403,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 607","Vernon",583,69,723,16,6,1397,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 608","Vernon",495,75,826,9,8,1413,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 609","Vernon",557,74,698,11,6,1346,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 610","Vernon",577,82,682,21,10,1372,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 611","Vernon",779,71,861,15,5,1731,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 612","Priest's Valley 6",Combined with No./Résultats combinés à ceux du n°611,,,,,,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 613","Vernon",571,43,609,17,1,1241,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 614","Killiney Beach",165,9,100,3,0,277,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 615","Lake Country",982,29,1018,15,5,2049,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 616","Lake Country",1031,43,732,17,30,1853,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 617","Duck Lake 7",400,50,331,6,3,790,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 618","Lake Country",655,26,499,10,27,1217,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 619","Kelowna--Ellison",422,9,313,6,10,760,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 620","Lumby",958,64,510,32,2,1566,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 621","Nakusp",471,52,408,10,2,943,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 622","New Denver",165,70,246,12,0,493,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 623","Winlaw--Slocan Park",319,113,376,28,8,844,
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee",,Group 1/Groupe 1, 487,54,464,18,71,1094,253
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee",,Group 2/Groupe 2, 1416,97,1483,36,69,3101,
