Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Scott Anderson,Leah Ellen Main,Anna Warwick Sears,Blair Visscher,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 28","Vernon",120,8,65,3,1,197,457
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 29","Kedleston",176,8,100,4,1,289,585
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 30A","Vernon",91,3,57,3,0,154,338
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 30B","Vernon",84,55,8,1,0,148,276
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 31","Vernon",123,10,111,3,1,248,533
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 32","Vernon",123,5,84,3,0,215,471
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 33","Silver Star",105,11,111,8,3,238,559
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 34","Kedleston",180,2,80,10,0,272,588
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 35","North Okanagan C",147,15,78,7,1,248,536
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 36","Vernon",116,16,77,4,1,214,480
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 37A","Vernon",98,2,87,1,0,188,440
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 37B","Vernon",64,6,55,7,1,133,363
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 38A","Vernon",61,3,82,0,1,147,371
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 38B","Vernon",61,0,46,1,0,108,321
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 39","Vernon",81,7,65,2,2,157,420
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 40","Vernon",84,10,62,1,0,157,618
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 41","Vernon",82,14,99,2,0,197,501
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 42","Vernon",61,2,72,3,1,139,451
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 43","Vernon",70,15,50,3,0,138,451
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 44","Vernon",80,18,68,3,2,171,483
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 45","Vernon",53,15,42,4,1,115,472
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 46","Vernon",36,13,39,1,0,89,453
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 47","Vernon",77,8,47,6,2,140,511
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 48","Vernon",47,12,41,10,0,110,470
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 49","Vernon",68,3,66,9,0,146,456
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 50","Vernon",64,5,60,1,1,131,423
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 51","Vernon",57,7,47,2,0,113,333
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 52","Vernon",77,12,84,2,0,175,426
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 53","Priest's Valley 6",85,19,68,2,3,177,562
